CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6541635,2014,2014-09-08,0112,2014-07-12,2500,326,,6,5,5,0112,0,0,0,,0,004,"MONARCH BAY DR","FAIRWAY DR",1581.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,A,I,A,A,H,-,C,D,0,,,,,Y,,-,,1,0,0,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,"SAN LEANDRO",-122.18410394999999,37.691855390000001
6880542,2015,2015-04-29,0106,2015-03-18,0744,436,,3,5,6,0106,0,0,0,,0,00C,"MACABEE WY","MORROW ST",5.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21800,A,N,G,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",37.66187,-122.09226,ALAMEDA,HAYWARD,-122.09227446,37.661866009999997
6896717,2015,2015-05-08,0109,2015-01-12,1817,9251,2,1,5,7,0109,0,0,0,,0,32Y,"98TH AV","OLIVE ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,3,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,,A,01,1,0,1,0,0,0,0,0,1,"- ","- ",,,ALAMEDA,OAKLAND,-122.16399996,37.74742998
7190397,2016,2016-09-23,0106,2016-06-07,1715,403,,2,5,6,0106,0,0,0,,0,00F,"HAYMAN ST","ZEPHYR AV",540.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,3,A,-,03,22350,,N,C,E,A,A,B,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.613329999999998,-122.04474999999999,ALAMEDA,HAYWARD,-122.04526978,37.612863730000001
8427154,2017,2017-08-16,0109,2017-04-19,1109,9549,1,3,5,7,0109,0,0,0,,0,08X,BROADWAY,"23RD ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,M,G,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26628989,37.812129939999998
9136283,2020,2020-10-05,0109,2020-07-23,1153,8658,1,4,5,7,0109,0,0,0,,0,14X,"HARRISON ST","BAY ST",40.00,S,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,11,21950,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26160430908203,37.812732696533203
92022871,2023,2023-09-11,9345,2023-01-30,"510 ",022029,,1,3,9,0100,0,1,S,,2,581,"I-580 EB TO I-238 NB","SR-185 (EAST 14TH STREET)",1219.00,W,N,B,-,Y,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.690391540527344,-122.10188293457031,ALAMEDA,UNINCORPORATED,-122.10188293457031,37.690391540527344
92054465,2023,2023-04-27,9370,2023-03-26,"135 ",022826,,7,3,7,0109,0,1,1,,2,177,"I-880 S/B","OAK ST",1122.00,S,N,A,-,Y,ALA,,880," "," ",30.861,H,,L,N,2,0,2,4,A,-,01,23152,A,N,C,2,E,A,H,-,C,D,0,Y,,,,Y,Y,A,01,1,1,0,0,2,0,0,0,0,"- ","- ",37.792919158935547,-122.26361083984375,ALAMEDA,OAKLAND,-122.26344299316406,37.793048858642578
92144354,2023,2023-08-15,9390,2023-08-02,"647 ",019587,,3,1,9,0100,0,1,1,,2,053,"I-580 EASTBOUND","GREENVILLE ROAD",2112.00,E,N,A,-,Y,ALA,,580," ",R,7.860,H,,L,Y,1,1,0,3,A,-,03,22350,,N,C,2,E,A,H,-,A,D,0,Y,,,Y,Y,,G,25,0,0,0,1,0,0,0,0,0,"- ","- ",37.719261169433594,-121.69300842285156,ALAMEDA,UNINCORPORATED,-121.69302368164062,37.719306945800781
92208275,2023,2023-10-25,9390,2023-10-18,1500,020368,,3,2,9,0100,0,1,1,,2,065,"I-680 NORTHBOUND","SR-238 / NORTH MISSION BOULEVARD",2640.00,N,N,A,-,Y,ALA,,680," ",R,6.894,H,,R,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.546501159667969,-121.91985321044922,ALAMEDA,UNINCORPORATED,-121.91978454589844,37.546497344970703
94516908,2024,2024-12-26,9390,2024-12-18,1815,022681,,3,2,9,0100,0,1,1,,2,050,"I-580 W/B","EDEN CANYON ROAD",5280.00,E,N,B,-,Y,ALA,,580," ",R,25.204,H,,R,Y,2,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",37.703651428222656,-122.00257873535156,ALAMEDA,UNINCORPORATED,-122.00258636474609,37.703720092773438
91241753,2020,2020-05-25,9390,2020-05-17,1420,021677,,7,2,6,0105,0,1,1,,2,064,"I-680 SOUTHBOUND","EAST WARREN AVENUE UNDERCROSSING",90.00,N,N,A,-,Y,,,680,,,,,,S,Y,2,0,2,1,A,-,01,23152,F,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",37.490760803222656,-121.91886901855469,ALAMEDA,FREMONT,-121.91891479492188,37.490730285644531
91284099,2020,2020-08-11,9370,2020-08-03,2150,022424,,1,2,7,0109,0,1,1,,2,053,"I-580 W/B","SHEFFIELD AVE",171.00,W,N,A,-,Y,,,580,,,,,,W,Y,2,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.799568176269531,-122.22161102294922,ALAMEDA,OAKLAND,-122.22162628173828,37.799484252929688
91293632,2020,2021-08-13,9375,2020-06-20,0630,019570,,6,1,9,0100,0,2,4,,1,042,"REDWOOD ROAD","MARCIEL ROAD",2112.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,1,A,-,01,23152,G,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",37.763561248779297,-122.10836029052734,ALAMEDA,UNINCORPORATED,-122.10826110839844,37.76422119140625
