CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9530293,1,1,Y,M,32,A,-,W,P,W,,-,3,-,-,"- ",,,-,-,0,1,B,,-,C,03,,W,,-,-,2022
9530293,2,1,N,F,71,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2015,-,A,07,,B,,-,-,2022
9474443,1,4,Y,M,47,A,-,W,-,-,,-,3,-,,00,21201,,A,-,0,1,Q,,-,L,04,,,,-,-,2022
9474443,2,1,N,M,59,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2012,-,A,01,,A,,-,-,2022
91139734,1,1,Y,M,25,B,-,E,L,G,N,-,3,-,,31,22107,,A,-,0,1,R,2006,TOYO,A,01,,H,,-,-,2019
90986995,1,1,Y,M,64,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,R,2014,HARL,C,02,,W,,-,-,2019
90924146,1,1,Y,M,37,A,-,W,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2016,BMW,C,02,,W,,-,-,2019
90674575,1,1,Y,M,32,A,-,S,P,G,Y,-,3,-,,00,21070,,A,-,0,1,B,2015,FREIGH,F,26,,H,,-,-,2018
90674575,2,1,N,M,28,A,-,S,P,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,1992,TOYO,D,22,,W,,-,-,2018
90674575,3,1,N,F,35,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2013,KIA,A,07,,W,,-,-,2018
