CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6395208,2014,2015-11-25,9295,2014-03-01,1540,16881,,6,2,9,0300,0,1,3,,1,053,"RT 88","PIONEER CREEK RD",15.00,W,N,A,-,Y,AMA,10,88,-,-,29.400,I,5,E,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",38.43141,-120.57353000000001,AMADOR,UNINCORPORATED,-120.57335479,38.431467720000001
8003953,2015,2017-01-13,0303,2015-11-11,1824,9398,JKC,3,5,2,0303,0,0,0,,0,JKC,"RT 49","MATTLEY ST",266.00,N,N,A,-,Y,AMA,10,49,-,-,4.370,H,-,S,Y,2,0,1,2,A,-,10,21950,A,N,G,B,C,A,H,-,C,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,AMADOR,JACKSON,-120.77566261,38.351143440000001
90736164,2018,2018-05-29,9295,2018-05-25,0530,018736,,5,3,9,0300,0,3,5,,2,001,"FIDDLETOWN RD","MOUNT WHITNEY DR",3696.00,W,N,C,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,F,A,A,B,H,-,B,D,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",38.499050140380859,-120.73941040039062,AMADOR,UNINCORPORATED,-120.73951721191406,38.499103546142578
9127159,2020,2021-02-22,0302,2020-09-28,0524,L3805,IOC,1,5,2,0302,0,0,0,,0,IOC,"RT 104","COLLINS RD",1056.00,S,N,A,-,Y,AMA,10,104,-,R,4.220,H,-,E,Y,2,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,C,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.368801116943359,-120.95934295654297,AMADOR,IONE,-120.95692443847656,38.367820739746094
90334810,2016,2016-12-01,9295,2016-10-01,1040,018736,,6,1,9,0300,0,1,3,,1,016,SR-16,"WELSH POND RD",1584.00,E,N,A,-,Y,,,16,,,,,,,Y,1,1,0,2,A,-,05,21650,,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.455330000000004,-120.92281,AMADOR,UNINCORPORATED,-120.92284075000001,38.455270310000003
94664031,2025,2025-04-25,9295,2025-04-16,1350,022458,,3,1,9,0300,0,2,4,,1,045,"RIDGE RD","DRUID LANE",20.00,E,N,B,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.414138793945312,-120.68251037597656,AMADOR,UNINCORPORATED,-120.68279266357422,38.414173126220703
6452066,2014,2016-04-11,9295,2014-04-16,1416,015164,,3,2,9,0300,0,1,3,,1,053,"RT 88","ROCKY LN",500.00,W,N,A,-,Y,AMA,10,88,-,-,27.120,H,-,E,Y,2,0,2,2,A,-,08,22107,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,1,0,0,0,0,0,0,"- ","- ",38.41563,-120.6101,AMADOR,UNINCORPORATED,-120.60755087,38.417855830000001
90501875,2017,2017-07-17,9295,2017-07-13,2145,019003,,4,2,9,0300,0,3,5,,2,005,"FIDDLETOWN RD","JURA LN",280.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,05,21650,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.503210000000003,-120.66674999999999,AMADOR,UNINCORPORATED,-120.66764809,38.502833549999998
92147835,2023,2023-08-18,9295,2023-08-07,1500,016881,,1,2,9,0300,0,1,3,,1,064,SR-88,"88 MPM R59.50",1282.00,W,N,A,-,Y,AMA,,88," ",R,59.176,H,,R,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,G,25,1,0,0,0,0,0,0,0,0,"- ","- ",38.625148773193359,-120.20382690429688,AMADOR,UNINCORPORATED,-120.20377349853516,38.625175476074219
91060300,2019,2019-08-27,9295,2019-08-22,1555,019387,,4,2,9,0300,0,1,3,,1,064,"STATE ROUTE 88","KIRKWOOD MEADOWS DR",10560.00,W,N,A,-,Y,,,88,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.705501556396484,-120.11003112792969,AMADOR,UNINCORPORATED,-120.11003112792969,38.705497741699219
