CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6456413,2014,2016-03-26,9240,2014-04-14,0945,018046,,1,1,9,0400,0,3,5,,2,030,"GARDEN DR","RT 70",0.00,,Y,A,-,Y,BUT,3,70,-,-,16.478,R,4,E,Y,2,0,1,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,D,1,,,Y,,Y,,D,22,1,0,0,0,0,0,0,0,1,"- ",TO,39.534970000000001,-121.58189,BUTTE,UNINCORPORATED,-121.58096026,39.533083189999999
9515691,2022,2022-11-30,0404,2022-10-06,1917,686,E,4,5,3,0404,0,0,0,,0,00E,"OLIVE HWY","FOOTHILL BL",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,D,-,00,,,N,H,G,E,A,H,-,D,A,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",39.503768920898438,-121.52864837646484,BUTTE,OROVILLE,-121.53144073486328,39.501449584960938
9746504,2024,2024-11-05,0405,2024-10-26,1422,TUC01,5S,6,5,4,0405,0,0,0,,0,00S,SKYWAY,"BIRCH ST",37.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,01,23152,,F,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",39.754688262939453,-121.6278076171875,BUTTE,PARADISE,-121.62796020507812,39.754600524902344
90263939,2016,2016-09-08,9241,2016-08-01,2035,016555,,1,2,9,0400,0,3,5,,2,008,"MCINTOSH AVE","UNION PACIFIC R/R TRACKS",80.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,1,A,-,01,23152,E,N,E,I,A,A,H,-,B,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",39.712679999999999,-121.83476,BUTTE,UNINCORPORATED,-121.83461844999999,39.712642270000003
90438888,2017,2017-04-20,9241,2017-04-08,0700,017114,,6,1,9,0400,0,2,4,,2,070,"SKYWAY N/B","COUTOLENC RD.",1584.00,N,N,B,C,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,B,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.815579999999997,-121.58105,BUTTE,UNINCORPORATED,-121.58181055,39.893768610000002
90985069,2019,2019-05-09,9285,2019-04-21,1730,020224,,7,2,9,0400,0,3,5,,1,008,"FORBESTOWN RESERVOIR RD","FORBESTOWN RD",8448.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,1,A,-,08,22107,,N,F,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",39.540248870849609,-121.21935272216797,BUTTE,UNINCORPORATED,-121.24053192138672,39.524570465087891
91210950,2020,2020-03-18,9240,2020-03-08,1400,020318,,7,2,9,0400,0,3,5,,2,010,"FORBESTOWN RD","REBIE WAY",10.00,W,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.504600524902344,-121.33785247802734,BUTTE,UNINCORPORATED,-121.33768600000001,39.504477000000001
91577825,2021,2021-09-23,9240,2021-09-13,0820,015532,,1,1,9,0400,0,3,5,,2,020,"LARKIN RD","OBRIEN AVE",270.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,05,21650,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.346931457519531,-121.66000366210938,BUTTE,UNINCORPORATED,-121.65995025634766,39.346488952636719
92286213,2024,2024-01-12,9241,2024-01-07,2020,022635,,7,2,5,0402,0,1,3,,2,100,"SR-99 S/B","GARNER LN",2745.00,S,N,A,-,Y,BUT,,99," ",R,37.235,H,,L,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,C,D,0,,,,Y,Y,Y,F,55,1,0,0,0,0,0,0,0,0,"- ","- ",39.784168243408203,-121.88559722900391,BUTTE,CHICO,-121.88553619384766,39.784214019775391
6940862,2015,2015-07-17,0402,2015-06-18,1309,290721,CHICO,4,5,5,0402,0,0,0,,0,006,"E 5TH AV","SHERMAN AV",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,12,22450,A,N,B,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,BUTTE,CHICO,-121.83727999,39.746940000000002
