CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9541890,1,1,Y,M,54,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2013,-,A,01,,W,,-,-,2022
9541890,2,2,N,F,61,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2022
92424909,1,1,Y,F,90,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,C,2007,"HONDA ",A,07,,W,,-,-,2024
90588286,1,1,Y,M,65,A,-,W,-,V,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,SUZUKI,C,02,,W,,-,-,2017
9830970,1,1,Y,F,18,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2012,FORD,A,01,,A,,-,-,2025
9830970,2,1,N,M,78,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,-,A,01,,W,,-,-,2025
7115080,1,1,Y,F,44,A,-,E,M,G,Y,-,3,-,,33,21802,A,A,-,0,0,E,2014,FORD,-,,,,,-,-,2015
7115080,2,1,N,M,49,D,-,S,P,A,Y,-,3,-,-,"- ",,,N,-,0,1,B,1991,HARLEY-DAVIDSON,C,02,,W,,-,-,2015
92254108,1,1,Y,F,16,A,-,E,L,G,Y,-,4,-,-,"- ",,,N,-,0,1,B,2007,CHRY,A,01,,W,,-,-,2023
91905365,1,1,Y,M,33,A,-,S,P,V,Y,-,3,-,,31,22107,,A,-,0,1,C,2000,"HARLEY DAVIDSON",C,02,,W,,-,-,2022
6484112,1,1,Y,M,31,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,FORD,E,22,35,W,,-,G,2014
6484112,2,1,N,M,33,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,CHEVROLET,D,22,,H,,-,-,2014
91220252,1,1,Y,M,22,B,-,S,B,G,N,-,3,-,,31,22107,,A,-,0,1,M,2009,MAZD,A,01,,W,,-,-,2020
91018251,1,1,Y,F,57,B,-,W,M,G,Y,-,3,-,,25,22350,,A,-,0,1,B,1997,SATURN,A,01,,W,,-,-,2019
91018251,2,1,N,M,34,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,G,2014,CHEV,D,22,,H,,-,-,2019
6962187,1,1,Y,M,22,A,-,W,P,W,Y,-,-,-,-,"- ",,,N,-,0,1,M,2000,KAWASAKI,C,02,,W,,-,-,2015
6940862,1,4,Y,M,14,G,G,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2015
6940862,2,1,N,F,51,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,CHEVROLET,A,01,,W,,-,-,2015
92286213,1,1,Y,M,44,B,-,S,M,G,Y,-,1,-,,31,22107,,A,-,0,1,R,2018,INTL,F,55,,W,,-,-,2024
91577825,1,1,Y,M,41,A,I,N,M,G,Y,-,4,-,,31,22107,,A,-,0,1,C,2004,TOYT,D,22,,H,,-,-,2021
91210950,1,1,Y,F,33,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,HONDA,A,01,,W,,-,-,2020
90985069,1,1,Y,M,58,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,M,1995,VOLVO,A,01,,W,,-,-,2019
90438888,1,1,Y,M,38,B,-,N,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,2002,DODG,D,22,,W,,-,-,2017
90263939,1,1,Y,M,44,-,E,N,-,V,N,-,3,-,,25,22350,,A,N,1,0,B,2006,KAWA,C,02,,W,,-,-,2016
9746504,1,1,Y,M,27,B,-,S,M,B,Y,-,-,E,,24,22450,,A,-,0,0,E,2015,-,A,01,,B,,-,-,2024
9746504,2,1,N,F,72,A,-,S,M,G,Y,-,-,E,-,"- ",,,N,-,0,2,B,2021,FORD,A,01,,W,,-,-,2024
91975670,1,1,Y,M,37,B,-,N,L,B,Y,-,3,-,,31,22107,,A,-,0,1,C,2011,TOYT,D,22,,W,,-,-,2023
9515691,1,2,N,F,53,G,G,W,-,-,O,-,-,E,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2022
9515691,2,1,N,M,59,A,-,W,M,E,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,-,A,01,,W,,-,-,2022
6456413,1,1,Y,M,75,A,-,N,M,G,Y,-,3,-,,33,21802,A,A,-,0,0,E,2004,CHEVROLET,D,22,,W,,-,-,2014
6456413,2,1,N,M,56,A,-,-,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,1993,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
90240019,1,1,Y,F,62,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,I,2006,CHEVY,A,07,,H,,-,-,2016
90240019,2,1,N,F,68,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1996,TOYO,A,01,,O,,-,-,2016
9120603,1,1,Y,M,34,B,-,S,-,F,N,-,3,-,,20,23152,A,A,M,0,1,C,2003,-,A,07,,W,,-,-,2020
8616692,1,4,Y,M,44,G,G,E,-,-,O,-,3,-,,39,21201,D,A,-,0,1,B,,-,L,04,,W,,-,-,2018
8616692,2,1,N,M,20,A,-,S,M,B,Y,-,3,-,-,"- ",,,-,-,0,0,B,1999,TOYOTA,A,01,,W,,-,-,2018
