CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90505832,2017,2017-11-07,9255,2017-07-02,1415,019557,,7,2,9,0500,0,3,5,,2,001,SR-49,"DEL ORTO RD.",6336.00,N,N,A,-,Y,,,49,,,,,,,Y,1,1,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,1,1,"- ","- ",38.306069999999998,-120.72905,CALAVERAS,UNINCORPORATED,-120.72904973,38.306050079999999
91012673,2019,2019-06-18,9255,2019-06-15,0250,013939,,6,3,9,0500,0,2,4,,2,042,"PARROTS FERRY ROAD","CONFLUENCE LANE",36.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.081951141357422,-120.45937347412109,CALAVERAS,UNINCORPORATED,-120.45936584472656,38.081779479980469
91443077,2021,2021-04-05,9255,2021-02-10,1751,019996,,3,2,9,0500,0,1,3,,1,021,"STATE ROUTE 4","HORSESHOE ROAD",2112.00,W,N,A,B,Y,,,4,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.952579498291016,-120.69513702392578,CALAVERAS,UNINCORPORATED,-120.69505310058594,37.952522277832031
90868702,2018,2018-11-27,9255,2018-11-25,1120,020142,,7,1,9,0500,0,1,3,,1,011,SR-26,"CAMPO SECO TPKE",3696.00,W,N,A,-,Y,,,26,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.274150848388672,-120.73123168945312,CALAVERAS,UNINCORPORATED,-120.73118591308594,38.274162292480469
92096788,2023,2023-06-19,9255,2023-06-11,1810,017324,,7,2,9,0500,0,3,5,,2,002,"ROCK CREEK ROAD","FELIX DRIVE",8448.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,03,2,0,0,0,0,0,0,0,2,"- ","- ",38.021209716796875,-120.69587707519531,CALAVERAS,UNINCORPORATED,-120.74790191650391,38.018802642822266
91585680,2021,2021-10-01,9255,2021-09-25,0630,018492,,6,1,9,0500,0,1,3,,2,050,SR-4,"SKYLINE DR",1056.00,E,N,A,-,Y,,,4,,,,,,,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.419010162353516,-120.09349822998047,CALAVERAS,UNINCORPORATED,-120.09349822998047,38.41900634765625
91694695,2022,2022-02-07,9255,2022-01-22,1925,020142,,6,2,9,0500,0,3,5,,2,004,"FULLEN ROAD","AVERY SHEEP RANCH ROAD",120.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,F,F,A,A,A,H,-,D,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.194339752197266,-120.40409851074219,CALAVERAS,UNINCORPORATED,-120.40414428710938,38.194377899169922
90538374,2017,2017-08-31,9255,2017-08-26,1425,015872,,6,2,9,0500,0,1,3,,2,040,SR-4,"SUNSET RIDGE COURT",192.00,E,N,A,-,Y,,,4,,,,,,,Y,2,0,3,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,07,3,0,0,0,0,0,0,0,0,"- ","- ",38.168520000000001,-120.41448,CALAVERAS,UNINCORPORATED,-120.41446062,38.168496130000001
90722672,2018,2018-05-09,9255,2018-05-03,1544,017324,,4,2,9,0500,0,2,4,,1,022,"O'BYRNES FERRY ROAD","DUCHESS DR",528.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.902111053466797,-120.580810546875,CALAVERAS,UNINCORPORATED,-120.58115386962891,37.903011322021484
92302235,2024,2024-01-31,9255,2024-01-27,1000,017537,,6,1,9,0500,0,3,5,,2,004,"VALECITO RD",SR-4,200.00,S,N,B,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.078578948974609,-120.52706146240234,CALAVERAS,UNINCORPORATED,-120.5384521484375,38.068283081054688
91300680,2020,2020-09-08,9255,2020-09-02,0725,017324,,3,1,9,0500,0,1,3,,2,040,"STATE ROUTE 4","TANNER STREET",356.00,E,N,A,-,Y,,,4,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.142578125,-120.45176696777344,CALAVERAS,UNINCORPORATED,-120.45179748535156,38.142608642578125
