CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91585680,1,1,Y,M,55,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2006,DODG,D,22,,W,,-,-,2021
91694695,1,1,Y,M,21,A,-,N,P,W,N,-,4,-,,27,21650,,A,-,0,1,B,1993,HOND,C,02,,W,,-,-,2022
91694695,2,1,N,M,998,G,G,S,-,-,N,-,4,-,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2022
90722672,1,1,Y,M,62,A,I,S,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,M,2008,HARL,C,02,,W,,-,-,2018
94365342,1,1,Y,M,41,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2007,TOYT,A,07,,W,,-,-,2024
92198872,1,1,Y,M,62,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2000,JAGU,A,01,,W,,-,-,2023
94395282,1,1,Y,M,23,B,-,E,P,B,Y,-,4,-,,27,21460,,A,-,1,0,N,1993,GMC,D,22,,W,,-,-,2024
94395282,2,1,N,M,21,A,-,W,L,G,Y,-,4,-,-,"- ",,,N,-,1,1,B,2024,FORD,A,01,,W,,-,-,2024
90843554,1,1,Y,M,48,B,-,W,L,G,N,-,3,-,,31,22107,,A,-,0,5,N,2003,DODG,D,22,,H,,-,-,2018
90843554,2,1,N,M,65,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2010,CHEV,D,22,,W,,-,-,2018
92108206,1,1,Y,M,43,A,-,W,P,P,N,-,3,-,-,"- ",,,N,-,0,1,C,,UNKNOWN,M,46,,H,,-,-,2023
90228082,1,1,Y,F,73,B,-,E,L,G,Y,-,3,-,,27,21460,A,A,-,0,2,N,2006,SUZU,A,07,,W,,-,-,2016
90228082,2,1,N,F,40,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1998,FORD,A,07,,W,,-,-,2016
91047874,1,1,Y,M,30,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,I,2006,TOYOTA,A,01,,W,,-,-,2019
91047874,2,1,N,M,51,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,DODGE,D,22,,W,,-,-,2019
91927660,1,1,Y,M,23,B,-,W,L,H,N,-,4,-,,31,22107,,A,-,0,1,M,2018,CHEV,A,07,,H,,-,-,2022
92093339,1,1,Y,F,82,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2018,KIA,A,01,,W,,-,-,2023
92093339,2,1,N,M,40,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,2,B,2003,HD,C,02,,W,,-,-,2023
92093339,3,1,N,M,48,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2006,FORD,A,07,,H,,-,-,2023
90024356,1,1,Y,M,56,B,-,S,M,H,Y,-,3,-,,31,22107,,A,-,0,1,C,2005,DODGE,D,22,,W,,-,-,2015
94567365,1,1,Y,F,34,B,-,S,L,G,Y,-,3,-,,31,22107,,A,-,0,1,M,2009,TOYT,A,01,,W,,-,-,2025
91958294,1,1,Y,M,35,A,-,E,B,B,Y,-,4,-,-,"- ",,,N,-,1,0,M,2018,LNDR,A,07,,H,,-,-,2022
90495810,1,1,Y,M,43,B,-,N,-,W,Y,-,3,-,,27,21650,,A,-,0,1,C,2007,HARL,C,02,,W,,-,-,2017
90242900,1,1,Y,F,17,A,-,E,L,G,Y,-,3,-,-,"- ",,,F,-,0,1,N,1995,NISS,A,01,,W,K,-,-,2016
90242900,2,1,N,F,58,C,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2001,DODG,D,22,,W,,-,-,2016
6718504,1,1,Y,M,18,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,N,2000,DODGE,A,01,,W,,-,-,2014
6718504,2,1,N,M,52,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2003,BUICK,A,01,,W,,-,-,2014
90183343,1,1,Y,M,58,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,CHEV,A,01,,W,,-,-,2016
90183343,2,1,N,F,43,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2015,CHEV,D,22,,W,,-,-,2016
90183343,3,1,N,M,68,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2005,FORD,D,22,,W,,-,-,2016
9547141,1,1,Y,M,24,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2008,-,D,22,,W,,-,-,2022
9547141,2,1,N,M,27,A,-,N,M,G,Y,-,3,-,,47,12500,A,A,-,0,1,B,2004,-,A,01,,W,,-,-,2022
92094611,1,1,Y,M,32,D,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,C,2004,SUZI,C,02,,W,,-,-,2023
6718046,1,1,Y,M,79,D,E,E,M,G,Y,-,3,-,-,"- ",,,N,-,1,1,N,2001,CHEVROLET,D,22,,W,,-,-,2014
6718046,2,1,N,M,37,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,"INTERNATIONAL HARVESTER",G,26,31,W,,-,-,2014
92091896,1,1,Y,F,47,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,BUIC,A,01,,W,,-,-,2023
91159992,1,1,Y,M,33,A,-,W,M,H,N,-,3,-,-,"- ",,,N,-,0,1,C,2002,CHEV,A,07,,W,,-,-,2019
91859090,1,1,Y,M,62,A,E,W,M,G,Y,-,3,-,,31,22107,,A,-,1,0,B,2003,FORD,D,22,,W,,-,-,2022
91388094,1,1,Y,M,46,A,-,N,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2006,KAWA,C,02,,W,,-,-,2021
92159744,1,1,Y,M,53,G,G,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2007,HD,C,02,,W,,-,-,2023
91300680,1,1,Y,M,42,A,-,W,-,V,N,-,3,-,-,"- ",,,N,-,0,1,B,1995,HARL,C,02,,W,,-,-,2020
92302235,1,1,Y,M,58,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2009,HD,C,02,,W,,-,-,2024
90538374,1,1,Y,M,61,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,N,2013,FORD,A,07,,W,,-,-,2017
90538374,2,1,N,F,65,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2013,SUBARU,A,01,,W,,-,-,2017
90656173,1,1,Y,M,76,A,I,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,FORD,D,22,,W,,-,-,2018
92096788,1,1,Y,M,30,B,-,N,P,V,N,-,3,-,,25,22350,,A,-,0,2,C,2005,VESP,C,03,,W,,-,-,2023
90868702,1,1,Y,M,30,A,-,E,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2007,SUZU,C,02,,H,,-,-,2018
91443077,1,1,Y,M,47,D,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,1,0,C,2021,YAMA,C,02,,W,,-,-,2021
91012673,1,1,Y,M,30,A,-,S,-,V,N,-,3,-,-,"- ",,,N,-,0,1,B,2006,KAWK,C,02,,W,,-,-,2019
