CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90799906,2018,2018-08-28,9155,2018-08-26,0510,021060,,7,3,9,0600,0,1,1,,2,051,"I-5 N/B","GREENBAY RD",220.00,N,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.966480255126953,-122.02599334716797,COLUSA,UNINCORPORATED,-122.02603149414062,38.966457366943359
91888787,2022,2022-10-12,9155,2022-06-26,1630,021060,,7,2,9,0600,0,3,5,,2,004,"FOREST RTE 17N22","FOUTS SPRINGS RD",11088.00,W,N,A,-,N,,,,,,,,,,N,1,1,2,1,B,-,22,,,N,F,A,A,A,G,-,A,D,0,,,Y,,Y,,C,06,1,1,0,0,0,0,0,1,2,"- ","- ",39.335418701171875,-122.65342712402344,COLUSA,UNINCORPORATED,-122.66092681884766,39.3507080078125
90468965,2017,2017-06-01,9155,2017-05-30,1159,018866,,2,1,9,0600,0,1,3,,2,023,"SR-20 W/B","BEAR VALLEY RD",13200.00,W,N,B,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.00759,-122.40616,COLUSA,UNINCORPORATED,-122.39606596,39.006262100000001
91593956,2021,2021-10-12,9155,2021-09-09,1205,016414,,4,1,9,0600,0,1,3,,2,023,"RT 20","RT 16",13728.00,E,N,A,-,Y,,,20,,,,,,,Y,2,0,4,2,A,-,08,22107,,F,H,A,A,A,H,-,A,D,0,,,,,Y,,-,99,4,0,0,0,0,0,0,0,0,"- ","- ",39.04296875,-122.34072113037109,COLUSA,UNINCORPORATED,-122.34061431884766,39.042991638183594
91491692,2021,2021-06-08,9160,2021-05-27,1715,015118,,4,2,9,0600,0,2,S,,2,904,"FOREST ROUTE 18N03","FOUTS SPRINGS ROAD",12144.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,B,-,22,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,06,1,0,0,0,0,0,0,0,1,"- ","- ",39.379989624023438,-122.64869689941406,COLUSA,UNINCORPORATED,-122.63747406005859,39.403209686279297
92008992,2023,2023-03-03,9155,2023-02-18,1155,019973,,6,1,9,0600,0,3,5,,2,002,"WILDWOOD RD","NONPAREIL AVE",1600.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.971950531005859,-122.06082916259766,COLUSA,UNINCORPORATED,-122.06084442138672,38.972156524658203
91572991,2021,2021-09-17,9155,2021-09-06,0445,021152,,1,3,9,0600,0,1,3,,2,023,SR-20,"E STREET",3696.00,W,N,A,-,Y,,,20,,,,,,,Y,2,0,2,4,A,-,01,23153,A,N,A,C,A,A,H,-,D,D,0,,,,Y,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.152641296386719,-122.1868896484375,COLUSA,UNINCORPORATED,-122.1868896484375,39.152626037597656
91837931,2022,2022-08-11,9155,2022-08-09,0555,019094,,2,3,9,0600,0,3,5,,2,002,"GREENBAY RD","GABBY RD",475.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.965911865234375,-122.02599334716797,COLUSA,UNINCORPORATED,-122.02609252929688,38.965869903564453
91845737,2022,2022-08-22,9155,2022-08-10,1945,018981,,3,2,9,0600,0,3,5,,2,004,"GIBSON RD","FRESHWATER RD",690.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,M,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.176528930664062,-122.18919372558594,COLUSA,UNINCORPORATED,-122.18912506103516,39.176376342773438
6699403,2014,2016-06-21,9155,2014-10-17,2150,019973,,5,2,9,0600,0,1,3,,2,023,"RT 20","WALNUT DR",2640.00,W,N,A,-,Y,COL,3,20,-,-,11.760,H,-,E,Y,2,0,2,2,A,-,08,22107,,N,D,C,A,A,H,-,D,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",39.113,-122.29984,COLUSA,UNINCORPORATED,-122.3074998,39.107530310000001
