CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8057157,2016,2016-06-11,0704,2016-05-22,0008,0551,,7,5,6,0704,0,0,0,,0,004,"CLAYTON RD","OAKLAND AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,A,B,C,A,H,-,C,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",CONCORD,-122.02751994,37.975079960000002
8391222,2017,2017-06-20,0714,2017-05-11,0623,153,01,4,5,4,0714,0,0,0,,0,001,"MARINA VISTA",FAIRVIEW,197.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,08,22107,,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",38.025230000000001,-122.11794,"CONTRA COSTA",MARTINEZ,,
8404438,2017,2017-08-29,0708,2017-04-14,2029,285,,5,5,5,0708,0,0,0,,0,003,"WEST LELAND RD","BAILEY RD",20.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",PITTSBURG,-121.94198944,38.015329999999999
8432645,2017,2017-08-23,0740,2017-08-08,0728,SR060,SR072,2,5,4,0791,0,0,0,,0,002,"SAN RAMON VALLEY BL","RT 680",2200.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,00,21760,A,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,A,08,1,0,0,0,0,0,1,0,0,"- ",SF,37.722949999999997,-121.94239,"CONTRA COSTA","SAN RAMON",,
8519759,2017,2018-01-02,0708,2017-11-30,0506,331,046,4,5,5,0708,0,0,0,,0,004,"RAILROAD AV","WEST LELAND RD",454.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,00,21954,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",PITTSBURG,-121.89075833,38.013396989999997
8758228,2018,2019-01-29,0704,2018-11-13,1530,361,,2,5,6,0704,0,0,0,,0,003,"SAN MIGUEL RD","SCOTNELL PL",434.00,W,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,"CONTRA COSTA",CONCORD,-122.02455902099609,37.954929351806641
92381140,2024,2024-05-03,9320,2024-04-18,1315,023766,,4,1,9,0700,0,3,5,,2,040,"SHELL AVE","OLIVE ST",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21802,A,N,D,D,A,A,H,-,A,A,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",38.009849548339844,-122.11920928955078,"CONTRA COSTA",UNINCORPORATED,-122.11921691894531,38.009872436523438
94693687,2025,2025-05-20,9320,2025-05-11,2050,022835,,7,2,9,0700,0,2,4,,1,042,"SHELL AVE.","MARTINEZ AVE",100.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,C,A,0,,,Y,,Y,Y,C,03,1,0,0,0,0,0,0,0,1,"- ","- ",38.010860443115234,-122.118408203125,"CONTRA COSTA",UNINCORPORATED,-122.11838531494141,38.010845184326172
9189421,2020,2020-12-09,0704,2020-09-27,0940,601,,7,5,6,0704,0,0,0,,0,005,"COWELL RD","CONTRA COSTA CANAL TRAIL",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,3,A,-,09,21804,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA",CONCORD,,
9807452,2025,2025-06-12,0702,2025-05-04,"942 ",478A,202B,7,5,3,0702,0,0,0,,0,002,"BAIRD CIR","BRENTWOOD BL",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21802,A,N,H,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.949081420898438,-121.69618225097656,"CONTRA COSTA",BRENTWOOD,-121.69618225097656,37.949066162109375
81857463,2022,2022-09-06,0701,2022-04-17,1414,5561,,7,5,5,0701,0,0,0,,0,004,"JAMES DONLON BLVD","SILVERADO DR",400.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",ANTIOCH,-121.84053039550781,37.983184814453125
90124431,2016,2016-02-26,9320,2016-02-24,1626,017219,,3,2,9,0700,0,1,3,,2,403,"EB SR-4","BAILEY RD U/C",1500.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",UNINCORPORATED,-121.94711739,38.01875819
