CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8057157,1,2,Y,M,37,D,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2016
8057157,2,1,N,M,26,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,VOLKSWAGEN,A,01,,W,,-,-,2016
8391222,1,1,Y,M,55,A,-,W,M,B,Y,-,3,-,,31,22107,,A,-,0,0,-,2008,CHEVROLET,A,01,,W,,-,-,2017
8391222,2,5,N,-,998,G,G,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,2008,HARLEY-DAVIDSON,C,02,,,,-,-,2017
8404438,1,2,Y,F,56,B,-,N,-,-,O,-,3,-,,35,21456,A,A,-,1,0,-,,-,N,60,,W,,-,-,2017
8404438,2,1,N,M,59,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2004,BMW,A,07,,O,,-,-,2017
92381140,1,1,Y,F,46,A,-,N,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,E,2021,MAZD,A,01,,H,,-,-,2024
92381140,2,1,N,M,68,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,HD,C,02,,W,,-,-,2024
94693687,1,1,Y,M,23,B,-,E,P,W,Y,-,3,-,,31,22107,,A,-,0,1,M,2020,KAWK,C,03,,W,,-,-,2025
91639450,1,1,Y,F,64,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,FORD,B,07,35,W,,-,-,2021
