CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6291236,1,1,Y,F,79,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,B,1997,OLDSMOBILE,A,01,,W,,-,-,2014
6291236,2,1,N,M,47,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,5,B,2012,DODGE,A,08,,W,,-,-,2014
6291236,3,1,N,M,68,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2012,CHEVROLET,E,22,35,W,,-,-,2014
94757022,1,1,Y,F,48,-,E,N,L,G,Y,-,4,-,,27,21460,A,A,-,1,1,B,2003,KIA,A,01,,W,,-,-,2025
91786169,1,1,Y,F,50,A,-,N,L,G,N,-,3,-,-,"- ",,,N,-,0,2,C,1997,STRN,A,01,,W,,-,-,2022
6854631,1,1,Y,M,32,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,1,1,N,2002,JEEP,A,07,,W,,-,-,2015
6854631,2,1,N,M,35,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,LEXUS,A,01,,W,,-,-,2015
91886580,1,1,Y,M,37,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,I,2008,CHEV,D,22,,H,,-,-,2022
6876249,1,1,Y,M,40,G,G,S,L,H,Y,-,3,-,-,"- ",,,F,-,0,1,B,2007,CHEVROLET,A,01,,W,-,-,-,2015
6876249,2,1,N,M,55,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2000,FORD,E,22,35,W,,-,-,2015
6981327,1,1,Y,M,28,B,-,S,P,W,Y,-,3,-,,31,22107,,A,-,0,1,C,2007,KAWASAKI,C,02,,W,,-,-,2015
90853865,1,1,Y,F,68,A,-,S,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1989,MERB,A,01,,W,,-,-,2018
91847056,1,1,Y,M,50,G,G,E,P,V,N,-,4,-,-,"- ",,,N,-,1,0,B,2021,COLEMAN,C,02,,W,,-,-,2022
91847056,2,1,N,M,20,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,CHEV,E,22,35,B,,-,-,2022
91064683,1,1,Y,M,38,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,1990,HOND,A,01,,O,,-,-,2019
91064683,2,1,N,M,48,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,DODG,D,22,,W,,-,-,2019
91274558,1,1,Y,M,44,A,-,E,-,V,N,-,3,-,-,"- ",,,N,-,0,1,B,2000,YAMA,C,02,,W,,-,-,2020
91274558,2,1,N,F,60,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2009,NISS,A,01,,W,,-,-,2020
91813541,1,1,N,M,41,A,-,S,P,W,N,-,3,-,-,"- ",,,N,-,0,1,D,2018,HOND,C,06,,W,,-,-,2022
91048292,1,1,N,M,70,G,G,S,-,W,Y,-,3,-,-,"- ",,,N,-,2,0,H,2002,HOND,C,02,,W,,-,-,2019
91048292,2,1,N,M,52,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,FORD,E,22,35,W,,-,-,2019
6291817,1,1,Y,F,51,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,MERCEDES-BENZ,A,07,,A,,-,-,2014
6291817,2,2,N,M,19,C,E,S,-,-,O,-,3,-,,35,21956,A,A,-,1,0,-,,-,N,60,,W,,-,-,2014
90478123,1,1,Y,M,81,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,B,2010,HARL,C,02,,W,,-,-,2017
91109741,1,4,Y,M,33,A,-,S,-,V,O,-,3,-,-,"- ",,,N,-,0,1,M,,MONGOOSE,L,04,,H,,-,-,2019
91109741,2,1,N,F,39,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,CHRY,A,08,,W,,-,-,2019
