CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6325964,2014,2015-11-13,9245,2014-01-06,2034,17604,,1,2,9,0900,0,1,2,,2,120,"RT 50","SHINGLE SPRINGS DR",1584.00,E,N,B,-,Y,ED,3,50,-,R,10.620,H,-,E,Y,2,0,2,2,A,-,03,22350,,F,C,C,A,A,H,-,D,D,1,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",38.683390000000003,-120.91153,"EL DORADO",UNINCORPORATED,-120.91113611999999,38.683885609999997
90971272,2019,2019-04-19,9245,2019-04-13,1300,018663,,6,1,9,0900,0,2,4,,1,026,"ICE HOUSE RD","WEBER MILL RD",7392.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.789749145507812,-120.40663909912109,"EL DORADO",UNINCORPORATED,-120.43422698974609,38.776130676269531
91170355,2019,2020-01-22,9245,2019-11-02,1000,017320,,6,1,9,0900,0,1,3,,1,115,"WENTWORTH SPRINGS RD","STEAMERS LANE",1584.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,05,21650,,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",38.928810119628906,-120.78263092041016,"EL DORADO",UNINCORPORATED,-120.78337097167969,38.927791595458984
91329661,2020,2020-10-22,9245,2020-10-10,1125,018466,,6,1,9,0900,0,1,2,,2,110,US-50,"CAMBRIDGE RD",3168.00,E,N,A,-,Y,,,50,,,,,,,Y,2,0,2,3,A,-,01,23152,G,F,C,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",38.657299041748047,-120.98789978027344,"EL DORADO",UNINCORPORATED,-120.98789978027344,38.657318115234375
91842531,2022,2022-08-17,9245,2022-08-07,1400,019252,,7,2,9,0900,0,3,5,,2,004,"PACK SADDLE PASS RD","10N24 FOREST SERVICE RD",4294.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.739398956298828,-120.20429229736328,"EL DORADO",UNINCORPORATED,,
91913650,2022,2022-11-09,9245,2022-10-27,1155,015563,,4,1,9,0900,0,2,4,,1,014,"GOLD HILL ROAD","SERENITY VALLEY LANE",215.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.763538360595703,-120.86907958984375,"EL DORADO",UNINCORPORATED,-120.87020874023438,38.76300048828125
90008270,2015,2015-10-19,9245,2015-08-08,0230,018240,,6,3,9,0900,0,3,5,,2,003,"DUROCK RD","ROBIN LN",2400.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,E,D,0,,,,,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",38.65305,-120.96449,"EL DORADO",UNINCORPORATED,-120.96322775,38.653142189999997
90355033,2016,2016-12-27,9245,2016-12-18,1645,017756,,7,2,9,0900,0,1,2,,2,120,"US 50 WESTBOUND","GREENSTONE ROAD",570.00,E,N,A,-,Y,,,,,,,,,,Y,2,0,3,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",38.696300000000001,-120.8858,"EL DORADO",UNINCORPORATED,-120.88582336,38.696057420000002
90557168,2017,2017-09-27,9245,2017-09-21,0345,012833,,4,3,9,0900,0,2,4,,1,021,"MARSHALL RD","CREEK PARK RANCH RD",475.00,S,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,G,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.842649999999999,-120.87560999999999,"EL DORADO",UNINCORPORATED,-120.87576231,38.84242622
81739721,2022,2022-04-04,0902,2022-03-19,2322,244,,6,5,3,0902,0,0,0,,0,MID,"LAKE TAHOE BLVD","SILVER DOLLAR AVE",100.00,E,N,A,-,Y,ED,,50,,,76.677,H,,L,Y,2,0,1,2,A,-,01,23152,A,N,E,C,A,A,H,-,C,D,0,,,,Y,Y,Y,F,26,1,0,0,0,0,0,0,0,0,"- ","- ",38.924850463867188,-119.98709106445312,"EL DORADO","SOUTH LAKE TAHOE",-119.98707580566406,38.924839019775391
91138122,2019,2019-12-16,9245,2019-12-01,1206,017897,,7,1,9,0900,0,2,4,,1,041,"PLEASANT VALLEY RD","ZANDONELLA RD",25.00,E,N,B,C,N,,,,,,,,,,Y,2,0,4,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,2,0,0,0,0,0,0,"- ","- ",38.690090179443359,-120.78781890869141,"EL DORADO",UNINCORPORATED,-120.78813171386719,38.690422058105469
6292523,2015,2015-08-21,9245,2015-05-21,1424,12382,,4,2,9,0900,0,1,2,,1,160,"RT 50","USFS ROAD 11N53",3696.00,W,N,B,C,Y,ED,3,50,-,-,43.120,H,-,W,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,B,H,-,A,D,0,,,,,Y,,D,23,1,0,0,0,0,0,0,0,0,"- ","- ",38.772750000000002,-120.38982,"EL DORADO",UNINCORPORATED,-120.38940202000001,38.772724179999997
90026444,2015,2015-10-19,9246,2015-09-16,1230,014471,,3,1,9,0900,0,1,2,,1,021,"RT 50","ECHO LAKES SNO-PARK",3696.00,E,N,A,-,Y,,,50,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.818339999999999,-120.02769000000001,"EL DORADO",UNINCORPORATED,-120.02768896000001,38.818339270000003
90205278,2016,2016-06-20,9245,2016-06-08,1300,013929,,3,1,9,0900,0,3,5,,2,002,"WENTWORTH SPRINGS ROAD","ICE HOUSE ROAD",34320.00,W,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.93197,-120.48062,"EL DORADO",UNINCORPORATED,-120.48051847000001,38.932175039999997
90249990,2016,2016-08-22,9245,2016-08-14,1245,013463,,7,1,9,0900,0,3,5,,2,002,"WENTWORTH SPRINGS RD","BUCKEYE LAKE RD",135.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.924340000000001,-120.79606,"EL DORADO",UNINCORPORATED,-120.79594946,38.924400140000003
91075526,2019,2019-09-16,9245,2019-09-11,1232,016328,,3,1,9,0900,0,2,4,,2,031,"LATROBE RD","SUN RIDGE MEADOW RD",2220.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,3,A,-,05,21460,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.591251373291016,-121.01345825195312,"EL DORADO",UNINCORPORATED,-121.01387023925781,38.591773986816406
90078068,2015,2015-12-18,9245,2015-10-27,1015,012315,,2,1,9,0900,0,1,2,,2,120,US-50,"GREENSTONE RD",405.00,W,N,B,-,Y,,,50,,,,,,,Y,1,1,1,3,A,-,08,22107,,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.695920000000001,-120.88852,"EL DORADO",UNINCORPORATED,-120.88852593,38.695986240000003
91265608,2020,2020-07-08,9245,2020-07-07,1235,017040,,2,1,9,0900,0,1,3,,1,115,"SR-49 N/B","DEL ORO LN.",834.00,N,N,A,-,Y,,,49,,,,,,N,Y,2,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.81549072265625,-120.92066192626953,"EL DORADO",UNINCORPORATED,-120.92066192626953,38.815467834472656
92313974,2023,2024-02-14,9245,2023-09-30,1610,019193,,6,2,9,0900,0,1,2,,1,160,"US-50 E/B","RANDALL TRACT BRIDGE",7920.00,E,N,B,C,Y,ED,,50," ",R,44.298,H,,R,Y,1,1,4,2,A,-,01,23152,F,N,A,C,A,B,H,-,A,D,0,,,,,Y,,A,01,2,2,0,0,0,0,0,0,0,"- ","- ",38.766719818115234,-120.37139129638672,"EL DORADO",UNINCORPORATED,-120.37139129638672,38.766716003417969
