CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90971272,1,1,Y,F,50,G,G,S,L,G,N,-,3,-,-,"- ",,,N,-,0,1,M,2011,DODG,A,07,,W,,-,-,2019
6292523,1,1,Y,M,73,A,-,W,L,G,Y,-,3,-,-,"- ",,,F,-,0,1,N,2004,TOYOTA,D,23,,W,K,-,-,2015
6292523,2,1,N,M,78,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,B,1997,CHEVROLET,A,01,,H,,-,-,2015
91265608,1,1,Y,M,47,A,-,N,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2007,TRIU,C,02,,W,,-,-,2020
91265608,2,1,N,M,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2013,NISS,A,01,,B,,-,-,2020
91265608,3,1,N,F,62,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2005,TOYO,D,22,,W,,-,-,2020
6517553,1,1,Y,M,52,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2013,CHEVROLET,A,07,,W,,-,-,2014
6517553,2,1,N,M,34,A,-,S,P,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,KAWASAKI,C,02,,B,,-,-,2014
90862993,1,1,Y,M,25,A,-,N,-,W,N,-,3,-,-,"- ",,,N,-,0,1,N,1999,BMW,C,02,,W,,-,-,2018
90862993,2,1,N,M,59,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,MITS,A,07,,A,,-,-,2018
90008270,1,1,Y,M,21,B,-,W,P,G,N,-,3,-,,31,22107,,A,-,0,2,C,1992,HONDA,A,01,,W,,-,-,2015
91842531,1,1,Y,M,55,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2022,KTM,C,02,,W,,-,-,2022
6718128,1,1,Y,F,28,B,-,E,L,H,Y,-,-,-,,31,22107,,A,-,0,0,N,2001,CHEVROLET,A,08,,W,,-,-,2014
6718128,2,1,N,M,47,C,E,W,P,W,Y,-,-,-,-,"- ",,,-,-,2,0,-,2011,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
8465630,1,4,Y,M,33,B,E,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,Q,,-,L,04,,W,,-,-,2018
8465630,2,1,N,M,33,G,G,E,M,B,N,-,3,-,-,"- ",,,N,-,0,0,B,1996,CHEVROLET,A,07,,W,,-,-,2018
8465630,3,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,1994,"OTHER - DOMESTIC",K,45,,,,-,-,2018
91329661,1,1,Y,M,19,B,-,W,L,G,Y,-,3,-,,31,22107,,A,-,0,0,C,2014,KIA,A,01,,H,,-,-,2020
91329661,2,1,N,M,52,A,-,W,B,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,FORD,D,22,,W,,-,-,2020
91329661,3,1,N,M,58,A,-,W,B,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2015,TOYOTA,D,22,,W,,-,-,2020
6325964,1,1,Y,M,28,G,G,E,L,G,Y,-,1,-,-,"- ",,,F,-,0,1,B,2005,JEEP,A,07,,W,A,-,-,2014
6325964,2,1,N,M,31,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2003,CHEVROLET,D,22,,W,,-,-,2014
90249990,1,1,Y,M,59,G,G,W,-,G,Y,-,3,-,-,"- ",,,N,-,0,1,N,2007,HONDA,C,02,,W,,-,-,2016
90205278,1,1,Y,M,61,G,G,E,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2014,HARL,C,02,,W,,-,-,2016
91138122,1,1,Y,F,28,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1996,VOLK,A,01,,W,,-,-,2019
91138122,2,1,N,F,65,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2012,TOYT,D,22,,W,,-,-,2019
91138122,3,1,N,M,80,A,-,W,L,G,Y,-,3,-,,25,22350,,A,-,0,2,B,2011,HYUN,A,01,,W,,-,-,2019
81739721,1,1,Y,M,23,B,-,W,L,G,Y,-,3,-,-,"- ",,,A,-,0,0,B,2014,CHEVROLET,F,26,,H,,-,-,2022
81739721,2,1,N,F,56,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2002,FORD,A,07,,W,,-,-,2022
90557168,1,1,Y,M,32,B,E,N,P,H,N,-,3,-,,27,21650,,A,-,0,1,C,1990,FORD,D,22,,O,,-,-,2017
90355033,1,1,Y,M,57,-,I,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2013,SUBA,A,01,,W,,-,-,2016
91913650,1,1,Y,M,66,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2009,DUCATI,C,02,,W,,-,-,2022
91170355,1,1,Y,F,67,D,-,W,M,H,Y,-,-,-,-,"- ",,,N,-,1,0,C,2006,JEEP,A,07,,W,,-,-,2019
90022630,1,1,Y,M,70,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2000,TOYT,A,01,,W,,-,-,2015
90022630,2,1,N,F,26,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2000,SUBA,A,01,,,,-,-,2015
92316111,1,1,Y,M,16,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2013,FORD,A,07,,W,,-,-,2024
90496315,1,1,Y,M,59,B,-,W,M,G,Y,-,3,-,,28,21658,A,A,-,0,1,J,2015,HYUN,A,01,,W,,-,-,2017
90496315,2,1,N,F,47,A,-,W,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2007,TOYT,A,01,,H,,-,-,2017
90091172,1,2,Y,F,48,G,G,N,-,-,O,-,1,-,-,"- ",,,F,M,0,1,-,,-,N,60,,W,A,-,-,2015
90091172,2,1,N,M,17,A,-,S,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,B,2003,FORD,D,22,,W,,-,-,2015
6567775,1,1,Y,M,22,B,-,N,L,G,N,-,3,-,,27,21650,,A,-,0,1,N,2007,DODGE,A,01,,W,,-,-,2014
6567775,2,1,N,F,56,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2004,BMW,A,01,,W,,-,-,2014
90810084,1,1,Y,M,24,B,-,N,L,G,Y,-,3,-,,25,22350,,A,N,0,1,M,2003,SUBA,A,01,,W,,-,-,2018
91491111,1,1,Y,M,31,B,-,E,-,W,N,-,4,-,,25,22350,,A,-,0,1,H,2013,HOND,C,02,,W,,-,-,2021
91491111,2,1,N,M,36,G,G,W,M,G,Y,-,4,-,-,"- ",,,N,-,0,0,B,1996,CHEV,A,07,,H,,-,-,2021
82185226,1,1,Y,F,41,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2012,SUBARU,A,01,,W,,-,-,2023
82185226,2,4,N,M,55,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,TREK,L,04,,W,,-,-,2023
94664665,1,1,Y,M,16,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2014,HOND,A,01,,W,,-,-,2025
94664665,2,1,N,F,52,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2022,HD,C,02,,W,,-,-,2025
94736374,1,1,N,M,73,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2023,HD,C,02,,W,,-,-,2025
90257949,1,1,Y,-,998,G,G,W,N,B,N,-,-,-,-,"- ",,,N,-,0,0,I,,-,B,01,99,,,-,-,2016
90257949,2,4,N,M,50,G,G,W,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,,SPCLIZED,L,04,,W,,-,-,2016
91183923,1,1,Y,F,67,B,-,N,L,G,Y,-,3,-,,31,22107,,A,-,0,1,C,1999,TOYO,A,01,,W,,-,-,2020
6695731,1,1,Y,M,46,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2008,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
92313974,1,1,Y,F,28,A,E,W,L,G,Y,-,3,-,,27,21651,A,A,-,1,0,R,2023,KIA,A,01,,W,,-,-,2023
