CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8014174,2015,2016-04-14,1005,2015-06-10,1935,P1300,NW184,3,5,7,1005,0,0,0,,0,00A,"N BRAWLEY","WEST SHAW AV",200.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,A,B,F,B,H,-,A,D,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",,,FRESNO,FRESNO,-119.86273964,36.808928940000001
9786308,2024,2025-05-28,1005,2024-10-08,1636,P1684,CENTR,2,5,7,1005,0,0,0,,0,C/2152,"CLINTON AV","TEILMAN AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,1,0,"- ","- ",36.771659851074219,-119.82295227050781,FRESNO,FRESNO,-119.82212829589844,36.772010803222656
9786311,2024,2025-07-10,1005,2024-10-10,"642 ",P1298,SW,4,5,7,1005,0,0,0,,0,"E 2854","FRESNO ST","C ST",79.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.729759216308594,-119.801513671875,FRESNO,FRESNO,-119.80007171630859,36.730487823486328
81544095,2021,2021-08-13,1005,2021-08-07,2231,P1795,CENTR,6,5,7,1005,0,0,0,,0,00B,"BLACKSTONE AVE","GRIFFITH WAY",5.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21456,B,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",36.790390014648438,-119.79058074951172,FRESNO,FRESNO,-119.79062652587891,36.790447235107422
81951862,2022,2022-12-26,1005,2022-12-23,0320,P2117,SW,5,5,7,1005,0,0,0,,0,00D,"H ST","FRESNO ST",0.00,,N,E,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",36.733898162841797,-119.79562377929688,FRESNO,FRESNO,-119.79437255859375,36.73443603515625
90523833,2017,2017-08-15,9435,2017-07-21,1720,020082,,5,2,7,1005,0,1,3,,2,106,"SR-99 NORTHBOUND TO CLOVIS AVENUE","CLAYTON AVE",367.00,S,N,A,-,Y,,,,,,,,,,Y,1,1,0,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,Y,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",36.641509999999997,-119.69961000000001,FRESNO,FRESNO,,
91938636,2022,2022-12-09,9435,2022-12-03,2200,016507,,6,3,9,1000,0,1,3,,2,184,"STATE ROUTE 180","DUNLAP RD",26400.00,E,N,C,-,Y,FRE,,180,,,100.237,H,,R,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,B,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.749271392822266,-119.09146881103516,FRESNO,UNINCORPORATED,-119.09143829345703,36.749298095703125
92081682,2023,2023-05-30,9435,2023-04-22,"35  ",021544,,6,3,9,1000,0,3,5,,2,020,"MOUNT WHITNEY AVENUE","POLK AVENUE",500.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.430789947509766,-119.89817810058594,FRESNO,UNINCORPORATED,-119.89781951904297,36.430801391601562
90951520,2019,2019-04-09,9461,2019-03-12,0144,020385,,2,3,9,1000,0,1,1,,2,305,"I-5 N/B","RUSSELL AVE",3062.00,S,N,A,-,Y,,,5,,,,,,N,Y,2,0,3,4,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,G,25,1,0,2,0,0,0,0,0,0,"- ","- ",36.679309844970703,-120.65299987792969,FRESNO,UNINCORPORATED,-120.65309143066406,36.679241180419922
91230073,2020,2020-04-27,9435,2020-04-18,1845,020387,,6,2,5,1001,0,1,3,,1,168,"STATE ROUTE 168 WESTBOUND","CLOVIS AVENUE",583.00,E,N,A,-,Y,,,168,,,,,,W,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.840789794921875,-119.69773101806641,FRESNO,CLOVIS,-119.69771575927734,36.840728759765625
91308571,2020,2020-09-21,9435,2020-08-10,2038,020095,,1,2,2,1004,0,1,3,,2,106,"STATE ROUTE 99 SOUTHBUND","ADAMS AVENUE",1105.00,S,N,A,-,Y,,,99,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.632171630859375,-119.69051361083984,FRESNO,FOWLER,-119.69043731689453,36.632251739501953
91720918,2022,2022-05-17,9435,2022-03-02,0555,014363,,3,3,9,1000,0,3,5,,2,034,"CLARKSON AVENUE","MCCALL AVENUE",0.00,,Y,C,-,N,,,,,,,,,,N,2,0,4,2,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,2,1,0,0,0,0,0,0,"- ","- ",36.503578186035156,-119.61106872558594,FRESNO,UNINCORPORATED,-119.61103820800781,36.503585815429688
91758602,2022,2022-04-28,9435,2022-04-24,2045,020586,,7,2,9,1000,0,3,5,,2,025,"DEL REY AVENUE","HERNDON AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,D,A,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",36.837268829345703,-119.59185028076172,FRESNO,UNINCORPORATED,-119.59185028076172,36.8372802734375
91924621,2022,2022-11-22,9461,2022-11-12,1855,021056,,6,2,9,1000,0,1,3,,1,603,"SR-33 N/B","HUDSON AVE",528.00,N,N,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,-,"- ",2,2,0,0,0,0,0,0,0,"- ","- ",36.914558410644531,-120.55461120605469,FRESNO,UNINCORPORATED,-120.55460357666016,36.914577484130859
6482822,2014,2014-07-15,9435,2014-04-20,0435,018809,,7,3,7,1005,0,3,5,,2,015,"CHERRY AV","LINCOLN AV",745.00,S,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,11,21956,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,1,1,0,0,1,0,0,0,0,"- ","- ",36.64714,-119.78191,FRESNO,FRESNO,-119.78180999999999,36.646765000000002
6946696,2015,2016-06-15,9435,2015-05-07,1815,015181,,4,2,9,1000,0,3,5,,2,015,"CHATEAU FRESNO AV","CALIFORNIA AV",0.00,,Y,B,-,N,,,,,,,,,,Y,2,0,5,2,A,-,01,23152,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,07,2,1,2,0,0,0,0,0,0,"- ","- ",36.720489999999998,-119.93447999999999,FRESNO,UNINCORPORATED,-119.93435986999999,36.720700000000001
8282103,2016,2017-03-03,1008,2016-10-24,1905,J409,KINGS,1,5,2,1008,0,0,0,,0,0KI,"SIERRA ST","19TH AV",7.00,E,N,A,-,Y,FRE,6,201,-,-,0.830,I,5,E,Y,2,0,1,2,A,-,10,21950,A,N,A,B,B,A,H,-,C,D,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ","- ",,,FRESNO,KINGSBURG,-119.54647725,36.517919319999997
8527644,2017,2018-01-18,1011,2017-12-23,2244,K038,PARLI,6,5,3,1011,0,0,0,,0,0PA,"ERIC AV","ORIT AV",85.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,-,,1,0,0,0,1,0,0,0,0,"- ","- ",,,FRESNO,PARLIER,-119.53507933,36.607803250000003
8648110,2018,2018-09-26,1000,2018-03-05,1657,1603,CA010,1,5,2,1010,0,0,0,,0,0OC,"HILLS VALLEY RD","ADAMS AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,12,22450,A,N,D,C,A,A,H,-,B,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",36.631401062011719,-119.30470275878906,FRESNO,"ORANGE COVE",-119.30480194091797,36.631641387939453
84559022,2024,2025-02-03,1005,2024-10-22,"743 ",P1795,,2,5,7,1005,0,0,0,,0,00A,"CHESTNUT AVE","WELDON AVE",0.00,,Y,A,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ","- ",36.768589019775391,-119.73642730712891,FRESNO,FRESNO,-119.73644256591797,36.768608093261719
90271231,2016,2017-11-30,9435,2016-09-13,0800,015026,,2,1,7,1005,0,1,3,,2,410,"SR-41 N/B","SIERRA AVE",575.00,S,N,A,-,Y,,,41,,,,,,N,Y,2,0,3,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",36.828490000000002,-119.78483,FRESNO,FRESNO,-119.78493044,36.828489810000001
90338031,2016,2016-12-06,9435,2016-11-27,1213,019610,,7,1,9,1000,0,3,5,,2,015,"ELKHORN AVE","S. HIGHLAND AVE",0.00,,Y,A,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,05,21752,D,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.489170000000001,-119.63601,FRESNO,UNINCORPORATED,-119.63605987,36.489180019999999
91704492,2021,2022-02-18,9495,2021-10-30,2015,021354,,6,2,9,1000,0,1,1,,2,003,"INTERSTATE 5","GALE AVENUE",5280.00,S,N,A,-,Y,,,5,,,,,,,Y,1,1,0,2,A,-,01,23152,G,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",36.168811798095703,-120.18742370605469,FRESNO,UNINCORPORATED,-120.18746948242188,36.168766021728516
92073005,2022,2023-05-19,9435,2022-06-19,0832,020122,,7,1,9,1000,0,3,5,,2,020,"FLORAL AVENUE","HENDERSON ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,12,22450,A,F,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,0,0,0,0,0,0,0,1,0,"- ","- ",36.575901031494141,-119.87152862548828,FRESNO,UNINCORPORATED,-119.87149810791016,36.575855255126953
6291206,2014,2014-10-15,9495,2014-07-18,0654,18253,,5,1,9,1000,0,1,1,,2,003,"RT 5","RT 198",3168.00,S,N,A,-,Y,FRE,6,5,-,-,14.280,H,-,N,Y,1,1,4,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,1,,,,,Y,,A,07,3,0,1,0,0,0,0,0,0,"- ","- ",36.245750000000001,-120.23857,FRESNO,UNINCORPORATED,-120.23897556,36.246717179999997
6550274,2014,2014-08-21,9435,2014-06-11,1700,019385,,3,2,9,1000,0,3,5,,2,020,"NEBRASKA AV","WALNUT AV",125.00,E,N,A,-,N,,,,,,,,,,Y,2,0,3,3,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",36.561909999999997,-119.00039,FRESNO,UNINCORPORATED,-119.80844465,36.561790000000002
6721869,2014,2015-01-14,9435,2014-11-11,1040,015026,,2,1,9,1000,0,3,5,,2,010,"FELAND AV","MCKINLEY AV",550.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,H,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,FRESNO,UNINCORPORATED,-119.84882,36.766179770000001
82260584,2023,2023-12-13,1005,2023-11-24,1838,P1895,SE,5,5,7,1005,0,0,0,,0,00B,"ARMSTRONG AVE","DAKOTA AVE",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",36.78656005859375,-119.67312622070312,FRESNO,FRESNO,-119.67311859130859,36.786617279052734
82330914,2024,2024-03-06,1005,2024-03-04,1304,P1298,NW,1,5,7,1005,0,0,0,,0,"E / 16","SHAW AVE","MARKS AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,5,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",36.807998657226562,-119.84481048583984,FRESNO,FRESNO,-119.84452819824219,36.808406829833984
