CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9786308,1,1,Y,M,29,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2017,-,A,01,,H,,-,-,2024
9786308,2,1,N,M,67,G,G,E,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,B,2001,-,C,02,,W,,-,-,2024
9786311,1,2,Y,M,52,G,G,N,-,-,O,-,3,-,-,"- ",,,N,-,1,0,R,,-,N,60,,W,,-,-,2024
9786311,2,1,N,F,41,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,-,A,01,,W,,-,-,2024
91230073,1,1,Y,M,31,A,-,E,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,R,2003,TOYOTA,A,01,,H,,-,-,2020
91924621,1,1,N,F,40,B,-,S,L,G,Y,-,4,-,,31,22107,,A,-,0,1,C,2007,MAZD,A,01,,H,,-,-,2022
91924621,2,1,N,M,33,A,-,N,L,G,Y,-,4,-,-,"- ",,,N,-,0,3,B,2014,TOYT,A,01,,W,,-,-,2022
8648110,1,1,Y,F,34,A,-,E,M,G,,-,3,-,,25,22350,A,A,-,1,1,B,2007,TOYOTA,A,01,,H,,-,-,2018
8648110,2,1,N,M,30,A,-,S,L,G,Y,-,3,-,-,"- ",,,-,-,0,1,B,2014,FORD,D,22,,W,,-,-,2018
6291206,1,1,Y,F,44,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,1,4,R,1999,MERCURY,A,07,,H,,-,-,2014
6550274,1,1,Y,F,43,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,E,2000,MAZDA,A,01,,H,,-,-,2014
6550274,2,1,N,M,19,A,-,E,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,1995,CHEVROLET,A,08,,H,,-,-,2014
6550274,3,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2000,MERCURY,A,01,,,,-,-,2014
82330914,1,1,Y,M,51,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,FORD,A,08,,O,,-,-,2024
82330914,2,1,N,F,72,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,SUBARU,A,01,,W,,-,-,2024
82330914,3,1,N,M,60,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,FORD,A,08,,B,,-,-,2024
82330914,4,1,N,F,61,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2004,GMC,A,07,,H,,-,-,2024
82330914,5,1,N,F,66,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2008,NISSAN,A,01,,H,,-,-,2024
92081682,1,1,N,M,21,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,NISS,A,01,,H,,-,-,2023
92081682,2,2,Y,M,30,G,G,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,B,,-,-,2023
90615398,1,1,Y,F,61,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2001,LINC,A,01,,W,,-,-,2017
90615398,2,1,N,M,72,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,TOYT,D,22,,W,,-,-,2017
81951862,1,1,Y,M,998,G,G,S,L,G,N,-,-,-,-,"- ",,,N,-,1,0,C,2020,KIA,A,01,,B,,-,-,2022
8014174,1,1,N,F,54,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,R,2001,"LAND ROVER",A,01,,W,,-,-,2015
8014174,2,2,N,F,33,-,,S,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,,,-,-,2015
6482822,1,1,N,F,22,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,MERCURY,A,01,,W,,-,-,2014
6482822,2,2,Y,M,24,D,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2014
90951520,1,1,Y,M,40,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2016,INTL,G,25,32,B,,-,-,2019
90951520,2,1,N,M,37,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2016,KWE,G,25,32,O,,-,-,2019
90951520,3,1,N,M,78,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,1995,ISUZ,F,26,,A,,-,-,2019
90951520,4,1,N,M,39,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2015,CHEV,D,22,,H,,-,-,2019
8527644,1,1,Y,M,19,B,-,W,M,B,,-,-,-,-,"- ",,,A,E,0,0,E,2014,TOYOTA,-,,,H,,-,-,2017
8527644,2,2,N,M,35,-,-,N,-,-,O,-,-,-,-,"- ",,,M,-,0,1,B,,-,N,60,,H,,-,-,2017
91720918,1,1,Y,M,23,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,2,B,2021,HOND,A,01,,H,,-,-,2022
91720918,2,1,N,M,32,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2018,TOYT,A,01,,H,,-,-,2022
8404733,1,1,Y,M,23,G,G,E,M,B,Y,-,3,-,,00,21760,B,A,-,0,0,B,1999,HONDA,A,01,,A,,-,-,2017
8404733,2,4,N,M,24,-,E,E,-,-,O,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,H,,-,-,2017
92073005,1,1,Y,-,998,G,G,E,L,G,Y,-,4,-,-,"- ",,,N,-,0,0,B,2002,BMW,A,01,,,,-,-,2022
92073005,2,1,N,M,35,A,-,N,P,W,Y,-,4,-,-,"- ",,,N,-,1,0,B,2020,QIPAI,C,02,,H,,-,-,2022
84559022,1,1,Y,M,57,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,CHEVROLET,D,22,,W,,-,-,2024
84559022,2,2,N,F,9,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,A,,-,-,2024
90347964,1,1,Y,M,27,B,-,W,L,G,Y,-,3,-,,27,21460,C,A,-,0,2,N,2004,HOND,A,01,,H,,-,-,2016
90347964,2,1,N,M,20,A,-,E,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2002,FORD,D,22,,W,,-,-,2016
90347964,3,1,N,M,48,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2003,CHEV,D,22,,H,,-,-,2016
94510549,1,1,Y,M,30,B,-,N,L,H,Y,-,3,-,,31,22107,,A,-,0,3,R,2015,GMC,D,22,,H,,-,-,2024
91867931,1,1,N,M,24,A,-,W,M,F,Y,-,3,-,,31,22107,,A,-,0,1,D,2001,GMC,A,07,,H,,-,-,2022
91867931,2,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2016,MAZD,A,01,,,,-,-,2022
82333238,1,1,Y,F,38,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2019,NISSAN,A,01,,H,,-,-,2024
82333238,2,1,N,F,68,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,HYUNDAI,A,01,,O,,-,-,2024
82333238,3,3,N,-,998,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2002,PACEA,M,95,,,,-,-,2024
82260584,1,2,Y,M,52,G,G,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,A,,-,-,2023
82260584,2,1,N,F,53,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,NISSAN,A,01,,W,,-,-,2023
6721869,1,1,Y,M,44,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,HONDA,C,02,,W,,-,-,2014
6721869,2,1,N,M,18,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2005,CHEVROLET,A,07,,H,,-,-,2014
9165458,1,1,Y,F,21,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,-,A,01,,H,,-,-,2020
9165458,2,1,N,F,21,A,-,E,M,-,Y,-,3,-,-,"- ",,,N,-,0,1,E,2005,-,A,01,,H,,-,-,2020
91704492,1,1,Y,M,44,B,E,S,M,G,Y,-,4,-,,31,22107,,A,-,1,0,C,1999,FORD,A,07,,H,,-,-,2021
91704492,2,1,N,M,38,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,PORS,A,07,,A,,-,-,2021
90338031,1,1,Y,M,27,A,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,1999,YAMA,C,02,,W,,-,-,2016
90338031,2,1,N,F,22,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2004,CHRY,A,07,,H,,-,-,2016
90271231,1,1,Y,F,54,G,G,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2014,HONDA,A,01,,O,,-,-,2016
90271231,2,1,N,M,26,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,2008,INTE,F,21,,H,,-,-,2016
90271231,3,1,N,M,67,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2001,DODGE,D,22,,W,,-,-,2016
90257622,1,1,Y,F,19,A,-,E,L,H,N,-,3,-,-,"- ",,,N,-,0,1,M,2000,CHEV,A,08,,H,,-,-,2016
9611282,1,1,N,M,65,-,F,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2011,FORD,E,22,35,H,,-,-,2023
90355833,1,1,Y,M,63,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1995,MBZ,A,01,,A,,-,-,2016
90355833,2,1,N,M,67,A,-,N,L,G,Y,-,3,-,-,"- ",,,G,-,0,1,A,2007,PONT,A,01,,H,,-,-,2016
90355833,3,1,N,F,49,A,-,N,M,G,Y,-,3,-,-,"- ",,,G,-,0,0,A,2013,CHRY,A,08,,O,,-,-,2016
6745324,1,1,Y,M,69,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2013,CHEVROLET,A,01,,H,,-,-,2014
6745324,2,1,N,F,20,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2004,NISSAN,D,22,,H,,-,-,2014
8282103,1,1,Y,F,60,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2002,TOYOTA,D,22,,W,,-,-,2016
8282103,2,2,N,M,16,-,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2016
6946696,1,1,Y,M,26,B,-,S,L,G,N,-,3,-,,24,22450,A,A,-,0,3,B,2006,JEEP,A,07,,O,,-,-,2015
6946696,2,1,N,M,22,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,2,B,2015,TOYOTA,D,22,,H,,-,-,2015
91865348,1,1,Y,F,33,B,-,E,M,G,N,-,3,-,,31,22107,,A,-,0,1,C,2000,FORD,D,22,,W,,-,-,2022
81622285,1,1,Y,M,57,A,-,W,P,-,Y,-,3,-,-,"- ",,,H,-,0,0,L,2015,CHEVROLET,A,01,,W,,-,-,2021
81622285,2,1,N,M,37,G,G,N,-,W,N,-,-,-,-,"- ",,,N,-,0,1,B,2012,SUZUKI,C,02,,H,,-,-,2021
91758602,1,1,Y,M,27,A,-,N,L,G,N,-,2,-,-,"- ",,,N,-,0,2,E,2012,NISS,A,01,,H,,-,-,2022
91758602,2,1,N,M,63,B,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1997,DODG,D,22,,W,,-,-,2022
8465833,1,2,Y,F,43,-,E,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,A,,-,-,2019
8465833,2,1,N,M,46,G,G,S,M,B,N,-,3,-,,25,22350,,A,-,0,0,B,2000,FORD,A,07,,H,,-,-,2019
91308571,1,1,Y,M,46,B,-,S,L,H,N,-,3,-,,31,22107,,A,N,0,1,M,2004,HOND,A,01,,H,,-,-,2020
6432351,1,1,N,M,24,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2009,KAWASAKI,C,02,,H,,-,-,2014
90821314,1,1,Y,F,60,B,-,E,L,G,Y,-,3,-,,23,21453,A,A,-,0,0,B,2013,CHEV,A,07,,W,,-,-,2018
90821314,2,1,N,M,41,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,2,E,2017,DUCAT,C,02,,O,,-,-,2018
91938636,1,1,Y,M,41,B,-,W,L,G,N,-,3,-,,31,22107,,A,-,0,1,M,2010,TOYT,D,22,,H,,-,-,2022
90523833,1,1,Y,M,25,D,-,N,L,H,N,-,3,-,-,"- ",,,N,-,1,0,I,2003,FORD,A,01,,H,,-,-,2017
