CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91995436,2022,2023-02-15,9160,2022-01-30,0200,017873,,7,3,9,1100,0,3,5,,2,005,"COUNTY ROAD 9","5TH AVE",3168.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.766609191894531,-122.09265899658203,GLENN,UNINCORPORATED,-122.09315490722656,39.766571044921875
91523366,2021,2021-07-19,9160,2021-07-09,0220,020810,,5,3,9,1100,0,3,5,,2,007,"COUNTY RD Z","STATE ROUTE 162",570.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,08,22107,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,D,22,2,0,0,0,0,0,0,0,0,"- ","- ",39.462810516357422,-122.93006896972656,GLENN,UNINCORPORATED,-121.93016052246094,39.462577819824219
91699030,2022,2022-02-11,9160,2022-02-02,0415,015118,,3,3,9,1100,0,1,1,,2,004,"I-5 S/B","BOYD OVERFLOW U/C",292.00,N,N,A,-,Y,GLE,,5,,R,11.995,H,,L,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.555038452148438,-122.21492004394531,GLENN,UNINCORPORATED,-122.21486663818359,39.555034637451172
9254881,2021,2021-05-03,1101,2021-04-02,1055,510,ORLAN,5,5,2,1101,0,0,0,,0,ORLAND,"6TH ST","W MONTEREY ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,GLENN,ORLAND,-122.19699859619141,39.752944946289062
91158931,2019,2020-01-03,9160,2019-12-29,0815,018737,,7,1,9,1100,0,1,3,,2,014,SR-162,CR-302,13728.00,W,N,B,-,Y,,,162,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.580329895019531,-122.38829803466797,GLENN,UNINCORPORATED,-122.3883056640625,39.580307006835938
91790394,2022,2022-06-07,9160,2022-05-27,0909,018737,,5,1,9,1100,0,1,1,,2,006,"I-5 N/B","COUNTY ROAD 7",1056.00,N,N,B,-,Y,GLE,,5,,R,28.045,H,,R,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.787128448486328,-122.20395660400391,GLENN,UNINCORPORATED,-122.20394134521484,39.787128448486328
94590697,2024,2025-02-26,9160,2024-07-16,2130,020558,,2,2,9,1100,0,3,5,,2,007,"COUNTY ROAD X","COUNTY ROAD 34",0.00,,Y,A,-,N,,,,,,,,,,Y,1,2,0,1,A,-,01,23152,G,N,E,I,A,A,H,-,D,A,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.61614990234375,-122.02745056152344,GLENN,UNINCORPORATED,-122.02751159667969,39.616127014160156
90246558,2016,2016-08-17,9160,2016-06-20,0200,016473,,1,3,9,1100,0,1,3,,2,014,"STATE ROUTE 162","COUNTY ROAD 302",2640.00,W,N,A,-,Y,,,162,,,,,,,Y,1,1,1,1,A,-,01,23152,E,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.557920000000003,-122.36351000000001,GLENN,UNINCORPORATED,-122.36353008,39.557894849999997
91290522,2020,2020-08-21,9160,2020-08-11,1755,019043,,2,2,9,1100,0,3,5,,2,001,"CO RD 48","CO RD B",1056.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,C,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.538768768310547,-122.28070831298828,GLENN,UNINCORPORATED,-122.28319549560547,39.538734436035156
91509231,2020,2021-06-29,9160,2020-11-01,1844,018750,,7,2,2,1102,0,1,1,,2,004,"INTERSTATE 5 NORTHBOUND","STATE ROUTE 162",2640.00,S,N,A,-,Y,,,5,,,,,,N,Y,1,1,0,1,A,-,01,23152,F,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",39.517589569091797,-122.21312713623047,GLENN,WILLOWS,-122.21324157714844,39.517528533935547
