CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91699030,1,1,Y,M,68,A,I,S,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,1997,FORD,D,22,,W,,-,-,2022
91509231,1,1,Y,F,26,-,E,N,L,H,N,-,3,-,,31,22107,,A,-,1,0,R,1997,HOND,A,07,,W,,-,-,2020
91613506,1,1,Y,M,49,A,-,S,M,G,N,-,4,-,-,"- ",,,M,-,0,1,B,2003,FORD,A,07,,W,,-,-,2021
91626499,1,1,Y,F,60,A,I,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2007,BUIC,A,01,,W,,-,-,2021
91567725,1,1,Y,M,32,B,-,W,L,G,Y,-,4,-,,31,22107,,A,-,0,1,M,2018,DODG,D,22,,W,,-,-,2021
8462926,1,1,Y,-,998,G,G,W,-,-,,-,-,-,-,"- ",,,N,-,0,0,B,2005,TOYOTA,A,01,,,,-,-,2017
8462926,2,1,N,F,36,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2004,DODGE,A,08,,H,,-,-,2017
8462926,3,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2002,GMC,D,22,,,,-,-,2017
9149583,1,4,Y,M,72,G,G,W,-,-,N,-,3,-,,00,22100,3,A,F,0,1,E,,-,L,04,,W,-,-,-,2020
9149583,2,1,N,F,52,A,-,W,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2004,FORD,D,22,,A,,-,-,2020
92314007,1,1,N,M,32,A,-,N,M,F,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,HOND,A,07,,H,,-,-,2023
92314007,2,2,Y,M,39,G,G,N,-,-,O,-,4,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2023
91331693,1,1,N,M,64,A,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,1984,MOTO,C,02,,W,,-,-,2020
91331693,2,1,N,M,41,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2006,MERB,A,01,,H,,-,-,2020
91262183,1,1,Y,M,18,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2020,TOYOTA,A,01,,H,,-,-,2020
90352280,1,1,Y,M,17,-,I,E,M,G,Y,-,3,-,-,"- ",,,N,-,2,2,C,2004,DODGE,D,22,,O,,-,-,2016
91214180,1,1,Y,M,61,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,1999,HOND,A,01,,H,,-,-,2020
94422668,1,1,Y,M,65,A,-,S,M,H,Y,-,3,-,-,"- ",,,N,-,0,1,B,2001,HOND,A,01,,H,,-,-,2024
94422668,2,1,N,M,70,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2022,FORD,D,22,,W,,-,-,2024
91596647,1,1,Y,M,33,B,-,W,L,H,Y,-,4,-,,31,22107,,A,-,0,1,C,2007,HOND,A,01,,H,,-,-,2021
91084214,1,1,Y,M,29,A,I,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2002,FORD,A,07,,W,,-,-,2019
91084214,2,1,N,M,29,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,FORD,A,07,,H,,-,-,2019
6931792,1,1,Y,M,22,B,-,E,M,B,Y,-,3,-,,31,22107,,A,-,0,2,B,1999,HONDA,A,01,,W,,-,-,2015
94816170,1,1,Y,M,23,G,G,N,M,H,N,-,4,-,-,"- ",,,N,-,1,0,C,1988,CHEV,D,22,,H,,-,-,2025
91720815,1,1,Y,M,65,A,I,S,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,2013,NISS,A,01,,H,,-,-,2022
94374226,1,1,Y,M,16,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2020,RAM,D,22,,W,,-,-,2024
94374226,2,1,N,F,73,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2008,TOYT,A,01,,H,,-,-,2024
91059826,1,1,Y,F,34,-,E,E,P,G,N,-,3,-,,31,22107,,A,-,0,1,C,1988,HONDA,A,01,,W,,-,-,2019
6363418,1,1,Y,M,78,A,-,W,M,G,Y,-,3,-,-,"- ",,,J,-,0,1,E,2001,FORD,D,22,,W,,-,-,2014
6363418,2,1,N,F,50,A,-,W,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,1991,FORD,D,22,,W,,-,-,2014
92025290,1,1,Y,M,25,A,-,S,M,H,Y,-,4,-,-,"- ",,,N,-,1,0,C,2003,TOYT,D,22,,H,,-,-,2022
91323343,1,1,Y,M,37,A,I,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2007,BMW,A,01,,W,,-,-,2020
91323343,2,1,N,F,23,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2019,HOND,A,01,,H,,-,-,2020
91715470,1,1,Y,F,28,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2013,CHEV,A,01,,W,,-,-,2022
92405569,1,1,Y,F,61,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,NISS,A,01,,H,,-,-,2023
92405569,2,2,N,F,15,H,H,S,-,-,O,-,1,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2023
94508497,1,1,Y,M,42,A,-,S,L,G,N,-,4,-,-,"- ",,,N,-,0,1,C,2007,MAZD,A,07,,H,,-,-,2024
90855657,1,1,Y,M,18,A,E,E,L,G,Y,-,3,-,,31,22107,,A,-,0,1,C,2005,FORD,D,22,,W,,-,-,2018
9151090,1,1,Y,M,16,A,-,N,L,G,Y,-,3,-,,47,12500,A,A,-,0,1,F,2014,-,A,07,,H,,-,-,2020
9151090,2,1,N,F,47,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,1999,FORD,A,01,,W,,-,-,2020
8787016,1,4,Y,M,82,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,04,,H,,-,-,2018
8787016,2,1,N,M,18,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2009,TOYOTA,A,01,,W,,-,-,2018
91290522,1,1,Y,M,30,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,2,M,2004,BMW,A,01,,H,,-,-,2020
90246558,1,1,Y,F,35,-,E,W,P,H,Y,-,3,-,,31,22107,,A,N,1,1,C,1993,HOND,A,01,,W,,-,-,2016
91639808,1,1,Y,M,26,B,-,W,L,G,N,-,3,-,,31,22107,,A,-,0,1,C,2003,NISS,D,22,,H,,-,-,2021
94590697,1,1,Y,M,44,G,G,N,L,H,Y,-,4,-,,24,22450,A,A,-,2,0,B,2015,FORD,D,22,,W,,-,-,2024
90842898,1,1,Y,M,29,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2017,VOLVO,G,25,35,W,,-,-,2018
90842898,2,1,N,M,34,A,-,N,B,G,Y,-,3,-,-,"- ",,,N,-,1,0,B,2016,CHEVY,D,22,,W,,-,-,2018
91790394,1,1,Y,F,48,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2000,HOND,C,02,,W,,-,-,2022
91158931,1,1,Y,F,25,A,-,W,M,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,2014,MITS,A,01,,H,,-,-,2019
9254881,1,4,Y,M,44,A,-,W,-,-,N,-,3,-,,31,22108,,A,-,0,1,E,,-,L,04,,A,,-,-,2021
9254881,2,1,N,F,42,A,-,N,M,C,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,-,A,01,,W,,-,-,2021
91357807,1,1,Y,F,55,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2016,NISS,A,01,,W,,-,-,2020
91357807,2,1,N,F,78,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2002,CHEV,D,22,,W,,-,-,2020
92013052,1,1,Y,M,61,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,0,E,2013,KW,G,25,33,B,,-,-,2022
92013052,2,1,N,M,59,A,-,S,L,H,N,-,3,-,-,"- ",,,N,-,1,0,B,2015,NISS,A,07,,W,,-,-,2022
91523366,1,1,Y,F,43,A,-,N,L,G,N,-,3,-,-,"- ",,,N,-,0,1,M,2017,GMC,D,22,,W,,-,-,2021
91523366,2,1,N,M,22,A,-,S,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2000,TOYT,A,07,,W,,-,-,2021
90758414,1,1,Y,M,55,A,I,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2012,DODGE,E,22,35,W,,-,-,2018
91995436,1,1,Y,F,72,B,-,E,L,G,Y,-,3,-,,31,22107,,A,-,1,0,C,2020,TOYT,A,01,,W,,-,-,2022
