CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6854622,2015,2015-05-19,9126,2015-03-11,0300,20558,,3,3,9,1200,0,1,2,,2,022,"RT 101","FED G SEP 4-114",528.00,S,N,A,-,Y,HUM,1,101,-,-,35.000,H,-,N,Y,1,1,1,1,C,-,18,,,N,E,I,A,A,H,-,D,D,1,,,,,Y,Y,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",40.342689999999997,-123.93183000000001,HUMBOLDT,UNINCORPORATED,-123.93177333,40.343417080000002
6903307,2015,2016-11-02,9126,2015-04-26,1913,020607,,7,2,9,1200,0,1,3,,1,020,"RT 254","MYERS AV",2640.00,N,N,A,-,Y,HUM,1,254,-,-,12.920,H,-,N,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,UNINCORPORATED,-123.87745692,40.271703989999999
90685569,2017,2018-03-20,9126,2017-12-31,1717,021507,,7,2,9,1200,0,1,2,,2,044,"US-101 N/B","DIMMICK ROAD",2112.00,N,N,A,-,Y,,,101,,,,,,N,Y,1,1,0,2,A,-,08,22107,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",40.209850000000003,-123.79206000000001,HUMBOLDT,UNINCORPORATED,-123.79217715,40.209835079999998
91396075,2020,2021-01-28,9125,2020-12-18,1955,021450,,5,2,9,1200,0,1,2,,2,044,"US-101 NORTHBOUND","LOLETA DRIVE",3168.00,S,N,B,-,Y,,,101,,,,,,N,Y,1,1,0,3,A,-,00,21461,,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",40.633628845214844,-124.21333312988281,HUMBOLDT,UNINCORPORATED,-124.21334838867188,40.633640289306641
92442775,2024,2024-07-18,9126,2024-06-23,1830,022731,,7,2,9,1200,0,3,5,,2,222,"MATTOLE ROAD","CUNEO ROAD",1584.00,W,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",40.32958984375,-123.035400390625,HUMBOLDT,UNINCORPORATED,,
92444359,2024,2024-07-22,9125,2024-07-11,2155,023875,,4,2,9,1200,0,1,2,,2,019,"US-101 (NB)","AIRPORT ROAD",1005.00,S,N,A,-,Y,HUM,,101," ",R,93.661,H,,R,Y,2,0,1,1,A,-,01,23152,G,N,A,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",40.965930938720703,-124.11582946777344,HUMBOLDT,UNINCORPORATED,-124.1158447265625,40.965930938720703
6961178,2015,2016-11-05,9125,2015-06-01,1820,013699,,1,2,9,1200,0,1,3,,1,061,"RT 299","CEDAR CREEK RD",2640.00,E,N,C,-,Y,HUM,1,299,-,-,31.320,H,-,E,Y,2,0,4,1,A,-,03,22350,,N,E,I,A,B,H,-,A,A,0,,,,,Y,,A,07,1,0,3,0,0,0,0,0,0,"- ","- ",40.904229999999998,-123.7415,HUMBOLDT,UNINCORPORATED,-123.73946237,40.905124630000003
8447933,2017,2017-11-29,1203,2017-10-30,1505,4044,,1,5,4,1203,0,0,0,,0,003,"MYRTLE AV","8TH ST",184.00,E,N,A,-,N,,,,,,,,,,N,2,0,2,3,A,-,16,29003,A,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,B,07,1,1,0,0,2,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.15050139,40.801060679999999
9209555,2020,2021-02-12,1203,2020-12-03,2311,4019,P39,4,5,4,1203,0,0,0,,0,022,"BROADWAY ST","HAWTHORNE ST",11.00,W,N,A,-,Y,HUM,1,101,-,-,77.140,I,5,N,Y,2,0,2,1,A,-,03,22350,,N,E,J,A,A,H,-,C,A,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.789051055908203,-124.1798095703125,HUMBOLDT,EUREKA,-124.17973327636719,40.789043426513672
90512887,2017,2017-07-31,9125,2017-07-21,1445,021514,,5,2,9,1200,0,1,3,,1,052,SR-96,"CEDAR CAMP RD",5861.00,S,N,A,-,Y,,,96,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",41.275599999999997,-123.60760000000001,HUMBOLDT,UNINCORPORATED,-123.60758199999999,41.275595899999999
