CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
7198486,2015,2016-03-16,1302,2015-02-02,1106,534,1302,1,5,4,1302,0,0,0,,0,003,"3RD ST","ROCKWOOD AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,IMPERIAL,CALEXICO,-115.49630005,32.667760080000001
90175074,2016,2016-05-09,9625,2016-05-05,1347,018792,,4,1,9,1300,0,3,5,,2,010,"AZURE AVE","SAN MARINO ST",72.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",33.298029999999997,-115.97478,IMPERIAL,UNINCORPORATED,-115.97472082,33.297983100000003
91167069,2020,2020-01-29,9625,2020-01-06,2124,018773,,1,2,9,1300,0,1,3,,2,053,"SR-111 SOUTHBOUND",SR-86,0.00,,Y,A,-,Y,,,111,,,,,,S,Y,1,1,4,2,A,-,09,21453,C,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,2,2,0,0,0,0,0,0,0,"- ","- ",32.730609893798828,-115.50054931640625,IMPERIAL,UNINCORPORATED,-115.50040435791016,32.730613708496094
91593137,2021,2021-10-11,9625,2021-10-03,1120,017727,,7,1,9,1300,0,1,3,,1,021,SR-111,"RUTHERFORD ROAD",0.00,,Y,A,-,Y,,,111,,,,,,,Y,2,0,4,2,A,-,09,21801,A,F,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,2,0,0,0,0,0,0,"- ","- ",33.044498443603516,-115.52729797363281,IMPERIAL,UNINCORPORATED,-115.52733612060547,33.044502258300781
94635792,2025,2025-04-03,9625,2025-02-15,"543 ",018773,,6,3,9,1300,0,2,4,,2,057,SR-115,"EVAN HEWES HIGHWAY",0.00,,Y,A,-,Y,IMP,,115," ",L,11.392,H,,R,Y,1,1,2,3,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",32.805770874023438,-115.40608215332031,IMPERIAL,UNINCORPORATED,-115.40606689453125,32.805751800537109
94684343,2025,2025-05-12,9625,2025-04-18,"930 ",017727,,5,1,9,1300,0,1,3,,1,012,"SR-86 (N/B)","POE ROAD",5280.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,F,26,1,0,0,0,0,0,0,0,0,"- ","- ",33.072540283203125,-115.73896789550781,IMPERIAL,UNINCORPORATED,-115.7393798828125,33.07293701171875
90048711,2015,2015-11-20,9625,2015-10-30,0615,012219,,5,1,9,1300,0,1,3,,1,012,"SR-86 (S/B)","BRAWLEY AVENUE",362.00,S,N,A,-,Y,,,86,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",33.373440000000002,-116.02544,IMPERIAL,UNINCORPORATED,-116.02541505000001,33.373454850000002
90362839,2016,2017-01-27,9625,2016-11-14,1505,018464,,1,2,9,1300,0,3,5,,2,020,"WILKINS ROAD","ENGLISH ROAD",5058.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",33.309620000000002,-115.55646,IMPERIAL,UNINCORPORATED,-115.5569191,33.309779890000002
91045706,2019,2019-08-05,9625,2019-03-01,1425,018279,,5,2,9,1300,0,3,5,,2,010,"LINDSEY RD","HATFIELD RD",1132.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,G,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",33.147518157958984,-115.59221649169922,IMPERIAL,UNINCORPORATED,-115.59212493896484,33.147563934326172
91414407,2021,2021-02-24,9625,2021-02-12,1725,018930,,5,2,9,1300,0,3,5,,2,050,"WARE ROAD","FAWCETT ROAD",290.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,A,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",32.721298217773438,-115.52559661865234,IMPERIAL,UNINCORPORATED,-115.52562713623047,32.722587585449219
