CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6393664,2014,2014-06-18,9420,2014-02-17,1500,018555,,1,2,9,1500,0,2,4,,1,051,"MANOR ST","ROBERTS LN",420.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",35.411740000000002,-119.01261,KERN,UNINCORPORATED,-119.01279221,35.411661070000001
6660150,2014,2014-10-23,9420,2014-09-30,2120,018068,9420,2,2,9,1500,0,3,5,,2,070,"OWENS ST","GRACE ST",200.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",35.384900000000002,-118.985,KERN,UNINCORPORATED,-118.98379,35.388300000000001
6749180,2014,2015-02-03,9426,2014-12-05,0320,016828,,5,3,9,1500,0,1,1,,2,500,"RT 5","RT 46",250.00,N,N,B,-,Y,,,5,,,,,,,Y,2,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",35.61694,-119.65407,KERN,UNINCORPORATED,-119.65401079999999,35.616984379999998
9102867,2020,2020-11-20,1500,2020-04-12,1659,201083,WA02,7,5,3,1510,0,0,0,,0,4401,"RT 46","VALLEY ROSE PKWY",0.00,,Y,A,-,Y,KER,6,46,-,-,47.380,H,-,W,Y,2,0,2,2,A,-,09,21803,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",,,KERN,WASCO,-119.39609527587891,35.601497650146484
9176680,2020,2020-12-15,1508,2020-10-21,1132,126,6B,3,5,2,1508,0,0,0,,0,,"RT 33","CADET RD",12.00,S,N,A,-,Y,KER,6,33,-,-,14.430,H,-,N,Y,2,0,1,2,A,-,09,21802,A,N,D,D,A,A,H,-,A,D,0,,,,Y,Y,,G,27,1,0,0,0,0,0,0,0,0,"- ","- ",35.142601013183594,-119.46321105957031,KERN,TAFT,-119.41078948974609,35.095855712890625
81575107,2021,2021-09-21,1502,2021-09-08,0541,1062,,3,5,6,1502,0,0,0,,0,North,"OLIVE DR","SANTA FE WY",2040.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,08,22107,,N,A,C,A,A,H,-,B,D,0,,,,,Y,,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",35.420341491699219,-119.17215728759766,KERN,BAKERSFIELD,-118.22359466552734,33.968177795410156
92057025,2023,2023-04-28,9420,2023-01-12,1733,021534,,4,2,9,1500,0,1,3,,2,223,"STATE ROUTE 223","ROCKPILE ROAD",5000.00,E,N,A,-,Y,KER,,223," "," ",24.218,H,,R,Y,1,1,1,2,A,-,08,22107,,N,A,2,A,A,H,-,D,D,0,,,,Y,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",35.209339141845703,-118.77004241943359,KERN,UNINCORPORATED,-118.77004241943359,35.2093505859375
94419220,2024,2025-06-23,9420,2024-07-09,"10  ",021870,,2,3,9,1500,0,3,5,,2,050,"MINNER AVE","HURRLE AVE",295.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,1,D,A,H,-,D,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",35.418930053710938,-119.02890014648438,KERN,UNINCORPORATED,-119.02880859375,35.4189453125
94652204,2025,2025-04-16,9420,2025-03-16,"33  ",022464,,7,3,9,1500,0,1,3,,2,096,"SR-99 N/B","DAVID ROAD O/C",91.00,N,N,A,-,Y,KER,,99," "," ",5.361,H,,R,N,2,0,1,2,A,-,03,22350,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",35.094718933105469,-118.97940826416016,KERN,UNINCORPORATED,-118.97942352294922,35.094718933105469
91134702,2019,2019-12-03,9830,2019-11-29,0728,019271,,5,1,9,1500,0,1,3,,1,022,"SR-58 E/B","BORON AVE",6864.00,W,N,A,-,Y,,,58,,,,,,E,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",35.006820678710938,-117.67153167724609,KERN,UNINCORPORATED,-117.67153167724609,35.006526947021484
