CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6393664,1,1,Y,M,48,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
92057025,1,1,Y,M,27,C,-,W,L,G,Y,-,4,-,-,"- ",,,N,-,1,1,N,2018,MAZD,A,07,,H,,-,-,2023
92057025,2,1,N,M,31,A,-,E,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2022,PTRB,G,25,40,W,,-,-,2023
94419220,1,1,Y,-,998,G,G,W,B,B,N,-,4,-,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2024
94419220,2,2,N,M,59,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2024
94652204,1,1,Y,-,998,G,G,N,B,B,Y,-,4,-,-,"- ",,,N,-,0,0,J,,HYUN,A,01,,,,-,-,2025
94652204,2,2,N,M,36,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2025
91134702,1,1,Y,M,41,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2005,CHEV,D,22,,W,,-,-,2019
91350121,1,1,Y,M,36,G,G,E,-,W,Y,-,3,-,-,"- ",,,N,-,1,0,B,2006,HARL,C,02,,H,,-,-,2020
7008461,1,1,Y,M,75,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2008,FORD,A,01,,W,,-,-,2015
7008461,2,1,N,M,51,A,-,N,M,G,,-,3,-,-,"- ",,,N,-,0,1,B,2014,DODGE,A,08,,W,,-,-,2015
92022165,1,1,Y,M,28,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2002,HOND,C,02,,W,,-,-,2023
94666239,1,1,Y,F,21,C,-,E,L,G,N,-,3,-,-,"- ",,,N,-,0,3,B,2008,CADI,A,01,,H,,-,-,2025
94666239,2,3,N,-,998,H,H,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1994,THOR,M,47,,,,-,-,2025
94749233,1,1,Y,M,36,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,1,B,1994,TOYT,D,22,,H,,-,-,2025
94749233,2,1,N,M,19,A,-,E,M,G,Y,-,4,-,-,"- ",,,N,-,0,1,B,2010,LNDR,A,07,,H,,-,-,2025
94587793,1,1,Y,M,21,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2018,VOLK,A,01,,W,,-,-,2025
94587793,2,1,N,M,52,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2021,FRHT,G,25,31,H,,-,-,2025
92436124,1,1,Y,M,35,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,R,2008,TRIU,C,02,,W,,-,-,2024
94773781,1,1,Y,M,22,G,G,E,P,W,N,-,3,-,-,"- ",,,N,-,1,0,B,2025,HOND,C,02,,H,,-,-,2025
94773781,2,1,N,M,36,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,CHEV,D,22,,H,,-,-,2025
91588023,1,1,Y,-,998,G,G,N,B,B,N,-,3,-,-,"- ",,,N,-,0,0,B,,FORD,A,01,,,,-,-,2021
91588023,2,2,N,M,42,A,-,N,-,-,O,-,1,-,-,"- ",,,-,-,1,0,-,,-,N,60,,H,,-,-,2021
91588023,3,5,N,-,998,H,H,-,-,-,O,-,-,-,-,"- ",,,-,-,0,0,A,1998,DODGE,D,22,,,,-,-,2021
9826631,1,1,Y,M,28,G,G,N,L,G,,-,3,-,-,"- ",,,N,-,0,5,L,2003,-,A,01,,H,,-,-,2025
9826631,2,1,N,M,31,A,-,S,L,G,,-,-,E,-,"- ",,,N,-,0,1,B,2013,-,A,01,,H,,-,-,2025
91795659,1,1,Y,F,31,A,-,S,L,G,N,-,4,-,-,"- ",,,N,-,1,0,C,2012,NISS,A,01,,H,,-,-,2022
9313795,1,1,Y,F,47,G,G,W,L,B,,-,-,-,-,"- ",,,N,-,0,1,B,2021,-,A,01,,H,,-,-,2021
9313795,2,1,N,M,26,A,-,N,M,H,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,-,A,01,,W,,-,-,2021
8310124,1,1,Y,M,45,A,-,S,M,G,N,-,3,-,,43,24002,A,A,-,0,0,B,2000,FORD,E,22,35,H,,-,-,2017
8310124,2,1,N,M,64,A,-,N,M,B,N,-,3,-,-,"- ",,,N,-,0,1,B,2002,FORD,A,08,,W,,-,-,2017
8048394,1,1,N,M,31,-,-,S,L,G,Y,-,-,-,-,"- ",,,F,-,0,1,B,2016,CHEVROLET,A,01,,H,-,-,-,2016
8048394,2,1,N,M,65,A,-,S,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2001,FORD,A,07,,H,,-,-,2016
90015234,1,1,Y,M,31,A,-,N,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2011,YAMA,C,02,,,,-,-,2015
90015234,2,1,N,M,43,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,NISS,A,07,,H,,-,-,2015
90872746,1,1,Y,M,23,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,2,C,2015,CHRY,A,01,,H,,-,-,2018
90680140,1,1,Y,M,23,A,I,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,N,2013,HYUN,A,01,,B,,-,-,2018
90680140,2,1,N,M,64,G,G,N,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,B,1999,SATURN,A,01,,B,,-,-,2018
6336631,1,2,Y,F,45,C,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,N,60,,W,,-,-,2014
6336631,2,1,N,M,35,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,1998,FORD,A,07,,H,,-,-,2014
9520682,1,1,Y,M,35,A,-,W,L,G,Y,-,3,-,,44,23109,A,A,-,0,1,N,2016,FORD,A,01,,,,-,-,2022
9520682,2,1,N,-,998,G,G,W,-,-,,-,3,-,,44,23109,A,A,-,0,1,B,,-,-,99,,,,-,-,2022
9520682,3,1,N,F,19,A,-,E,L,G,N,-,3,-,-,"- ",,,N,-,1,0,B,2012,FORD,A,01,,H,,-,-,2022
9520682,4,1,N,F,31,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2015,-,A,01,,B,,-,-,2022
90214502,1,1,Y,M,17,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2003,CHEV,A,01,,W,,-,-,2016
84434169,1,1,Y,M,48,B,-,S,L,G,N,-,3,-,-,"- ",,,A,-,0,0,M,2015,BMW,A,01,,B,,-,-,2024
84434169,2,3,N,-,998,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,O,2022,FORD,D,22,,,,-,-,2024
84429068,1,1,Y,M,46,-,E,W,L,G,N,-,3,-,-,"- ",,,A,-,0,1,B,2013,CHRYSLER,A,01,,B,,-,-,2024
84429068,2,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2016,FORD,A,01,,,,-,-,2024
90095780,1,1,N,F,36,G,G,S,B,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1992,LEXUS,A,01,,W,,-,-,2015
90095780,2,1,Y,M,56,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,FRHT,G,25,31,H,,-,-,2015
91560381,1,1,Y,M,39,G,G,W,M,H,Y,-,4,-,-,"- ",,,N,-,0,1,N,2015,CHEV,D,22,,H,,-,-,2021
91560381,2,1,N,F,26,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2012,CHEV,A,07,,H,,-,-,2021
91560381,3,1,N,M,30,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2010,DODG,A,01,,H,,-,-,2021
82265555,1,1,Y,F,18,B,-,N,L,G,N,-,3,-,-,"- ",,,A,-,0,0,J,2011,FORD,A,07,,W,,-,-,2023
82265555,2,1,N,F,28,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,6,B,2013,DODGE,A,07,,W,,-,-,2023
91943376,1,2,Y,M,27,B,-,W,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2022
91943376,2,1,N,M,998,G,G,W,L,B,N,-,4,-,-,"- ",,,N,-,0,0,B,2004,HOND,A,01,,H,,-,-,2022
91808563,1,1,Y,M,25,A,-,E,L,G,Y,-,3,-,,25,22350,,A,-,0,1,I,2007,INFI,A,01,,H,,-,-,2022
91808563,2,1,N,M,48,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2019,CHEV,D,22,,W,,-,-,2022
91390441,1,1,Y,M,44,B,-,W,L,H,Y,-,3,-,,31,22107,,A,-,1,0,C,2015,TOYT,A,01,,W,,-,-,2020
91267276,1,2,Y,F,91,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2020
91267276,2,1,N,M,45,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,TOYOTA,D,22,,W,,-,-,2020
81575107,1,1,Y,M,62,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2019,MITSUBISHI,A,07,,W,,-,-,2021
81575107,2,1,N,M,34,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2015,DODGE,A,01,,W,,-,-,2021
91023014,1,1,Y,F,34,A,-,S,L,G,N,-,3,-,-,"- ",,,N,-,0,0,E,2004,HYUN,A,07,,W,,-,-,2019
91023014,2,1,N,M,22,B,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2010,KTMX,C,02,,W,,-,-,2019
9176680,1,1,Y,M,58,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2013,-,G,27,32,,,-,-,2020
9176680,2,1,N,F,22,A,-,N,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2005,-,A,01,,W,,-,-,2020
91444895,1,1,Y,M,19,A,-,W,M,G,N,-,3,-,-,"- ",,,N,-,0,0,E,2013,FORD,A,01,,B,,-,-,2021
91444895,2,1,N,M,19,A,-,E,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2007,YAMAHA,C,02,,W,,-,-,2021
6292092,1,2,Y,M,52,A,E,W,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2014
6292092,2,1,N,M,62,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,GMC,D,22,,W,,-,-,2014
9102867,1,1,Y,F,21,A,-,S,L,B,Y,-,1,-,-,"- ",,,N,-,0,1,E,2015,HONDA,A,01,,H,,-,-,2020
9102867,2,1,N,M,72,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2010,CHEVROLET,D,22,,H,,-,-,2020
6718187,1,1,Y,M,61,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,1995,MITSUBISHI,D,22,,H,,-,-,2014
6718187,2,1,N,M,44,A,-,E,P,W,N,-,3,-,-,"- ",,,N,-,1,0,B,1997,KAWASAKI,C,02,,W,,-,-,2014
6854696,1,1,Y,M,30,B,-,E,L,G,Y,-,3,-,,25,22350,,A,-,0,0,B,2007,CHEVROLET,D,22,,H,,-,-,2015
6854696,2,1,N,M,59,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,1,0,A,2014,DODGE,D,22,,W,,-,-,2015
6889762,1,1,Y,F,25,G,G,S,M,G,N,-,3,-,,25,22350,,A,-,0,3,M,1994,HONDA,A,01,,H,,-,-,2015
6889762,2,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2006,DODGE,D,22,,,,-,-,2015
6749180,1,1,Y,M,24,B,-,S,M,H,,-,3,-,,31,22107,,A,-,0,1,R,2000,HYUNDAI,A,01,,W,,-,-,2014
6749180,2,1,N,M,77,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,VOLVO,G,25,40,W,,-,-,2014
6660150,1,1,Y,-,998,G,G,S,B,-,,-,3,-,-,"- ",,,N,-,0,0,M,,LINCOLN,-,99,,,,-,-,2014
6660150,2,2,N,M,27,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2014
90549334,1,2,Y,F,60,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2017
90549334,2,1,N,M,68,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2004,TOYT,A,08,,H,,-,-,2017
90884275,1,1,Y,M,32,A,-,E,L,G,Y,-,3,-,-,"- ",,,E,N,0,1,B,2009,HOND,A,01,,H,,-,-,2018
90884275,2,1,N,M,59,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,FORD,E,22,32,H,,-,-,2018
91297097,1,1,Y,M,73,B,-,E,L,H,Y,-,3,-,,25,22350,,A,-,0,1,C,2003,DODGE,D,22,,W,,-,-,2020
91705751,1,1,Y,F,19,A,-,W,M,G,N,-,3,-,-,"- ",,,N,-,0,3,M,2009,VOLK,A,01,,W,,-,-,2022
91924265,1,2,Y,F,35,G,G,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2022
91924265,2,1,N,F,45,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,GMC,F,26,,H,,-,-,2022
91598632,1,1,Y,M,30,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,2,E,2004,MITS,A,07,,H,,-,-,2021
91598632,2,1,N,M,27,D,-,S,P,W,N,-,3,-,-,"- ",,,N,-,1,0,B,2006,HOND,C,02,,W,,-,-,2021
91835003,1,2,Y,M,60,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2022
91835003,2,1,N,M,20,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,VOLK,A,01,,W,,-,-,2022
80993524,1,1,Y,M,23,B,-,W,L,D,Y,-,3,-,-,"- ",,,A,-,0,1,B,2007,HONDA,A,01,,H,,-,-,2019
90834937,1,2,Y,M,6,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2018
90834937,2,1,N,F,47,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,NISS,D,22,,H,,-,-,2018
81386431,1,2,Y,M,33,G,G,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2020
81386431,2,1,N,M,32,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,MERCEDES-BENZ,A,01,,B,,-,-,2020
91293634,1,1,Y,M,27,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,PTRB,G,25,33,W,,-,-,2020
91293634,2,1,N,M,27,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2010,INFI,A,01,,H,,-,-,2020
91296645,1,1,Y,M,23,B,-,N,L,H,N,-,3,-,,25,22350,,A,-,2,0,M,2004,CHEV,A,07,,H,,-,-,2020
91296645,2,3,N,-,998,H,H,W,-,-,O,-,-,-,-,"- ",,,-,-,0,0,O,2014,CHEV,A,07,,,,-,-,2020
91296645,3,3,N,-,998,H,H,W,-,-,O,-,-,-,-,"- ",,,-,-,0,0,O,2016,KIA,A,07,,,,-,-,2020
82107686,1,2,Y,F,38,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2023
82107686,2,1,N,M,61,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2014,GMC,D,22,,W,,-,-,2023
91536163,1,1,Y,M,22,G,G,W,L,G,Y,-,4,-,-,"- ",,,N,-,1,0,E,2006,CHRY,A,07,,W,,-,-,2021
91536163,2,1,N,M,32,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2018,KW,G,25,28,H,,-,-,2021
84679731,1,1,Y,M,30,B,-,W,L,H,Y,-,3,-,-,"- ",,,A,-,0,1,M,2020,KIA,A,01,,H,,-,-,2025
90028964,1,1,Y,F,20,B,-,W,M,H,N,-,3,-,,25,22350,,A,-,1,2,C,2007,GMC,D,22,,W,,-,-,2015
90201579,1,1,Y,M,25,B,-,E,P,W,Y,-,3,-,,25,22350,,A,N,1,0,B,2000,HOND,C,02,,W,,-,-,2016
90201579,2,1,N,F,60,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2000,CHEV,D,22,,H,,-,-,2016
90237419,1,1,Y,M,27,A,-,N,M,H,N,-,3,-,,27,21650,,A,-,0,1,B,1996,HOND,A,01,,H,,-,-,2016
90237419,2,1,N,M,44,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,E,2004,CHEV,D,22,,H,,-,-,2016
82047219,1,1,Y,M,47,B,-,S,L,G,N,-,-,-,-,"- ",,,A,-,0,1,B,2010,FORD,A,07,,W,,-,-,2023
82047219,2,1,N,M,33,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,GMC,D,22,,H,,-,-,2023
82047219,3,1,N,F,58,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2023,TOYOTA,A,01,,W,,-,-,2023
82047219,4,1,N,M,49,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2007,FORD,A,07,,H,,-,-,2023
82047219,5,1,N,F,39,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1997,CHEVROLET,A,07,,W,,-,-,2023
82047219,6,1,N,M,55,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,MERCEDES-BENZ,A,01,,H,,-,-,2023
82047219,7,1,N,F,44,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,NISSAN,A,01,,H,,-,-,2023
90599192,1,1,Y,F,24,A,-,E,M,F,N,-,2,-,-,"- ",,,N,-,0,2,C,2001,CHEVY,A,07,,B,,-,-,2017
