CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6854046,2015,2015-03-23,9440,2015-02-08,1120,13492,,7,1,9,1600,0,2,4,,1,050,"KANSAS AV","19TH AV",2284.00,W,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,G,25,0,0,0,0,0,0,0,0,0,"- ","- ",36.211469999999998,-119.80691,KINGS,UNINCORPORATED,-119.80588689,36.211457119999999
8311009,2017,2018-02-17,1600,2017-01-01,0453,111,A1,7,5,3,1690,0,0,0,,0,001,"RT 269","HYDRIL AV",5280.00,N,N,A,-,Y,KIN,6,269,-,-,1.890,H,-,S,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,KINGS,AVENAL,-120.11784539,36.019733989999999
94449201,2024,2024-10-29,9440,2024-10-23,"555 ",018840,,3,3,9,1600,0,2,4,,1,050,"KANSAS AVE","14TH AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,08,22107,,N,A,C,A,A,H,-,D,A,0,,,,,Y,,A,07,3,0,1,0,0,0,0,0,0,"- ","- ",36.211101531982422,-119.70854187011719,KINGS,UNINCORPORATED,-119.70858001708984,36.21112060546875
9336147,2021,2021-09-21,1602,2021-08-18,0843,1425,48,3,5,4,1602,0,0,0,,0,002,"N PHILLIPS ST","7TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",36.325878143310547,-119.6505126953125,KINGS,HANFORD,-119.65045928955078,36.325889587402344
91028673,2019,2019-07-11,9495,2019-06-28,1715,020250,,5,2,9,1600,0,1,1,,2,004,"INTERSTATE 5 (SOUTHBOUND)","STATE ROUTE 41",5808.00,N,N,A,-,Y,,,5,,,,,,,Y,2,0,1,1,C,-,18,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",35.999351501464844,-119.97881317138672,KINGS,UNINCORPORATED,-119.97872924804688,35.999423980712891
91170649,2019,2020-01-22,9440,2019-12-04,2350,016870,,3,3,9,1600,0,3,5,,2,020,"JERSEY AVENUE","17TH AVENUE",1056.00,W,N,B,-,N,,,,,,,,,,N,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",36.240070343017578,-119.76728820800781,KINGS,UNINCORPORATED,-119.766357421875,36.240039825439453
91596700,2021,2021-10-14,9440,2021-08-18,1310,018450,,3,1,9,1600,0,3,5,,2,030,"PLYMOUTH AVENUE","30TH AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,F,A,A,A,H,-,A,A,0,,,,Y,Y,,G,25,0,0,0,0,0,0,0,0,0,"- ","- ",36.072429656982422,-120.00299072265625,KINGS,UNINCORPORATED,-120.00365447998047,36.072460174560547
91977309,2022,2023-01-25,9495,2022-06-20,0328,021213,,1,3,9,1600,0,1,1,,2,004,"INTERSTATE 5 (NORTHBOUND)","MILHAM AVE.",12672.00,N,N,A,-,Y,KIN,,5,,,21.467,H,,R,N,1,1,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,1,0,1,0,0,0,0,0,"- ","- ",36.030548095703125,-120.02233123779297,KINGS,UNINCORPORATED,-120.02235412597656,36.030525207519531
9045630,2019,2020-02-15,1602,2019-12-31,1740,1429,47,2,5,4,1602,0,0,0,,0,003,"11TH AV","6TH ST",75.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",36.322669982910156,-119.65522766113281,KINGS,HANFORD,-119.65518951416016,36.3238525390625
9676393,2023,2024-07-02,1601,2023-12-08,1104,188,3,5,5,3,1601,0,0,0,,0,00N,"NORTH AV","GARDNER AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.105319976806641,-119.55561828613281,KINGS,CORCORAN,-119.55564880371094,36.105308532714844
91250942,2020,2020-06-11,9440,2020-05-29,1508,019755,,5,2,9,1600,0,2,4,,1,065,"12TH AVENUE","IDAHO AVE.",1280.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",36.27301025390625,-119.67288970947266,KINGS,UNINCORPORATED,-119.67269897460938,36.272804260253906
91314355,2020,2020-09-29,9440,2020-06-09,1015,016585,,2,1,9,1600,0,2,4,,1,062,"10TH AVE","KENT AVE",471.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,D,22,0,0,0,0,0,0,0,1,0,"- ","- ",36.224800109863281,-119.63688659667969,KINGS,UNINCORPORATED,-119.63684844970703,36.224876403808594
9505856,2022,2022-11-22,1603,2022-09-20,2113,1162,LJ2,2,5,3,1603,0,0,0,,0,0L2,"OPAL DR","PEARL DR",81.00,N,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,21,22106,,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",36.313461303710938,-119.7735595703125,KINGS,LEMOORE,-119.77413940429688,36.311290740966797
9746114,2024,2024-10-29,1602,2024-10-12,1100,1429,16,6,5,4,1602,0,0,0,,0,001,"DOUTY ST","BIRCH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21801,,N,A,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,1,0,1,0,0,0,0,0,1,"- ","- ",36.355430603027344,-119.64602661132812,KINGS,HANFORD,-119.64604187011719,36.355464935302734
90012226,2015,2015-10-19,9440,2015-08-20,1840,018994,,4,2,9,1600,0,2,4,,1,046,"LACEY BOULEVARD","CAROLYN AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",36.327840000000002,-119.61271000000001,KINGS,UNINCORPORATED,-119.61266996000001,36.328000039999999
91927745,2022,2022-11-28,9440,2022-11-16,0848,018639,,3,1,9,1600,0,2,4,,1,061,"6TH AVENUE","KANSAS AVENUE",792.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.208839416503906,-119.56449127197266,KINGS,UNINCORPORATED,-119.56453704833984,36.208904266357422
92333704,2024,2024-03-08,9495,2024-03-07,1455,021351,,4,2,9,1600,0,1,1,,2,004,"INTERSTATE 5 (NORTHBOUND)","QUEBEC AVENUE",13728.00,S,N,A,-,Y,KIN,,5," "," ",21.644,H,,R,Y,2,0,2,2,A,-,02,22400,A,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",36.031951904296875,-120.02497100830078,KINGS,UNINCORPORATED,-120.02495574951172,36.031967163085938
9413098,2021,2022-03-15,1601,2021-09-10,2056,171,8,5,5,3,1601,0,0,0,,0,00N,"DAIRY AV","PATTERSON AV",1.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,D,D,0,Y,,,,Y,Y,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",36.101119995117188,-119.57274627685547,KINGS,CORCORAN,-119.57208251953125,36.101711273193359
91395186,2021,2021-01-27,9440,2021-01-16,0925,016585,,6,1,9,1600,0,1,3,,1,410,"SR-41 S/B","KINGS RIVER BRIDGE",75.00,N,N,A,-,Y,,,41,,,,,,S,Y,2,0,2,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,1,0,0,0,0,0,0,2,"- ","- ",36.180599212646484,-119.83426666259766,KINGS,UNINCORPORATED,-119.83428192138672,36.180610656738281
9691566,2024,2024-04-26,1602,2024-03-10,1951,14127,57,7,5,4,1602,0,0,0,,0,002,"RT 198","9TH AV",164.00,E,N,A,-,Y,KIN,6,198,-,R,19.990,H,-,E,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,KINGS,HANFORD,-119.61847686767578,36.324352264404297
6606242,2014,2015-01-29,9440,2014-07-22,0515,16774,,2,3,9,1600,0,2,4,,1,045,"GRANGEVILLE BL","16TH AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,D,0,,,Y,,Y,,D,22,0,0,0,0,0,0,0,1,0,"- ","- ",36.342590000000001,-119.74473,KINGS,UNINCORPORATED,-119.74474991,36.342590110000003
90676818,2018,2018-03-07,9495,2018-02-26,1548,020250,,1,2,9,1600,0,1,1,,2,004,"INTERSTATE 5 SOUTHBOUND","25TH AVENUE",581.00,N,N,C,-,Y,,,5,,,,,,S,Y,2,0,3,2,A,-,01,23152,A,N,A,D,A,B,H,-,A,D,0,,,,,Y,Y,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",35.960090637207031,-119.93798065185547,KINGS,UNINCORPORATED,-119.93819427490234,35.959869384765625
91861088,2022,2022-09-09,9440,2022-05-26,1940,021086,,4,2,9,1600,0,3,5,,2,030,"LANSING AVENUE","19TH AVENUE",330.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,B,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.196731567382812,-119.80191802978516,KINGS,UNINCORPORATED,-119.79930877685547,36.196731567382812
8810634,2019,2019-03-07,1602,2019-02-21,1811,1480,36,4,5,4,1602,0,0,0,,0,002,"N 10TH AV","E GRANGEVILLE BL",0.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,N,H,G,A,A,H,-,C,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",36.342681884765625,-119.63690185546875,KINGS,HANFORD,-119.63706207275391,36.342689514160156
91091641,2019,2019-10-07,9440,2019-10-01,1630,017630,,2,2,9,1600,0,3,5,,2,020,"IDAHO AVENUE","12TH AVENUE",3168.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.269371032714844,-119.68341064453125,KINGS,UNINCORPORATED,-119.68345642089844,36.269294738769531
91620155,2021,2021-11-09,9440,2021-10-31,0518,016774,,7,3,9,1600,0,1,3,,1,410,SR-41,"KENT AVE",1584.00,S,N,B,-,Y,,,41,,,,,,,Y,2,0,3,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,1,1,0,0,0,0,0,0,"- ","- ",36.226089477539062,-119.816162109375,KINGS,UNINCORPORATED,-119.816162109375,36.226089477539062
6427087,2014,2014-06-26,9440,2014-03-05,2250,18576,,3,3,9,1600,0,2,4,,1,065,"12TH AV","HUME AV",528.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,01,23152,A,F,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",36.303620000000002,-119.67282,KINGS,UNINCORPORATED,-119.67282152,36.304210769999997
8700417,2018,2018-09-20,1603,2018-07-21,0612,1816,LO5,6,5,3,1603,0,0,0,,0,0L3,"SOUTH 19TH AV","SILVERADO DR",82.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,KINGS,LEMOORE,-119.79888916015625,36.288955688476562
9520017,2022,2022-11-04,1602,2022-10-13,0839,1429,47,4,5,4,1602,0,0,0,,0,001,"5TH ST","11TH AV",234.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,03,22350,,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,A,07,0,0,0,1,0,0,0,0,0,"- ","- ",36.322280883789062,-119.65583801269531,KINGS,HANFORD,-119.656005859375,36.323219299316406
9677973,2024,2024-06-21,1602,2024-04-17,1441,1497,49,3,5,4,1602,0,0,0,,0,002,"E 6TH ST","GREEN ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,D,A,H,-,A,A,0,Y,,Y,,Y,,C,02,1,0,0,0,1,0,0,0,0,"- ","- ",36.326591491699219,-119.64048767089844,KINGS,HANFORD,-119.64060211181641,36.326313018798828
90517596,2017,2017-08-07,9440,2017-06-26,2500,012806,,1,4,9,1600,0,2,4,,1,062,"10TH AVE","WHITLEY AVE",3168.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",36.107810000000001,-119.64418999999999,KINGS,UNINCORPORATED,-119.64431225,36.106655320000002
92149752,2023,2023-08-22,9440,2023-08-12,1120,016774,,6,1,9,1600,0,3,5,,2,020,"13TH AVE","HOUSTON AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",36.298358917236328,-119.69126892089844,KINGS,UNINCORPORATED,-119.69120788574219,36.298351287841797
90125730,2015,2016-02-29,9495,2015-12-12,0835,018639,,6,1,9,1600,0,1,1,,2,004,"INTERSTATE 5 SOUTHBOUND","UTICA AVENUE",12144.00,S,N,A,-,Y,,,5,,,,,,S,Y,1,1,1,2,A,-,08,22107,,N,C,E,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",35.908969999999997,-119.88612000000001,KINGS,UNINCORPORATED,-119.88611358,35.908976539999998
6858731,2015,2016-10-20,9440,2015-03-09,1733,015399,,1,2,9,1600,0,1,3,,1,198,"RT 198","HANFORD ARMONA RD",480.00,W,N,A,-,Y,KIN,6,198,-,R,15.660,H,-,E,Y,2,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,5,,,,,Y,,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",36.31344,-119.69444,KINGS,UNINCORPORATED,-119.69449707,36.313473760000001
