CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90250026,2016,2016-08-22,9151,2016-08-09,2240,021152,,2,3,9,1700,0,2,4,,2,043,"LAKESHORE BLVD","COLLIER AVE",120.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,01,23152,A,N,D,C,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.121079999999999,-122.86293000000001,LAKE,UNINCORPORATED,-122.86283096,39.121053230000001
91767686,2022,2022-05-09,9151,2022-05-04,0642,017904,,3,1,9,1700,0,3,5,,2,008,"SPRUCE GROVE RD.","OLD SPRUCE GROVE RD.",528.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,F,N,E,I,A,A,H,-,B,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.888618469238281,-122.59349060058594,LAKE,UNINCORPORATED,-122.59308624267578,38.888362884521484
91264463,2020,2020-07-07,9151,2020-06-30,0700,017300,,2,1,9,1700,0,1,3,,1,012,SR-20,SR-53,2112.00,W,N,A,-,Y,,,20,,,,,,,Y,2,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.012649536132812,-122.63014984130859,LAKE,UNINCORPORATED,-122.63016510009766,39.012584686279297
94592840,2025,2025-02-28,9151,2025-02-22,"345 ",023182,,6,3,9,1700,0,3,5,,2,001,"POST STREET","HYDE STREET",500.00,N,N,A,-,N,,,,,,,,,,N,2,0,2,2,B,-,22,,,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",2,0,0,0,0,0,0,0,2,"- ","- ",39.143009185791016,-122.86338043212891,LAKE,UNINCORPORATED,-122.86241912841797,39.142169952392578
90589493,2017,2017-11-07,9151,2017-10-31,1917,021793,,2,2,9,1700,0,1,3,,1,011,SR-20,"9TH ST",0.00,,Y,A,-,Y,,,20,,,,,,,Y,2,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",39.090200000000003,-122.79559999999999,LAKE,UNINCORPORATED,-122.79572306999999,39.090137249999998
91613579,2021,2021-11-02,9151,2021-10-30,0505,021255,,6,3,9,1700,0,1,3,,1,012,SR-20,"HIGH VALLEY ROAD",2.00,E,N,A,-,Y,,,20,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.0277099609375,-122.66686248779297,LAKE,UNINCORPORATED,-122.66685485839844,39.027675628662109
6644199,2014,2016-04-23,9151,2014-09-18,1031,18337,,4,1,9,1700,0,1,3,,1,011,"RT 20","BRUNER DR",2112.00,W,N,B,C,Y,LAK,1,20,-,-,20.670,H,-,W,Y,2,0,2,2,A,-,08,22107,,N,A,C,A,B,H,-,A,D,0,,,,,Y,,J,48,1,1,0,0,0,0,0,0,0,"- ","- ",39.047939999999997,-122.77821,LAKE,UNINCORPORATED,-122.77767135000001,39.046582600000001
9621074,2023,2024-02-26,1702,2023-10-11,1152,196,B,3,5,3,1702,0,0,0,,0,,"OLYMPIC DR","PINE ST",469.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,A,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.961109161376953,-122.64423370361328,LAKE,CLEARLAKE,-122.64366912841797,38.960968017578125
91657755,2021,2021-12-21,9151,2021-12-13,1500,020326,,1,2,9,1700,0,1,3,,1,016,"SIEGLER CANYON ROAD","PERINI ROAD",1056.00,S,N,B,C,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.901371002197266,-122.64243316650391,LAKE,UNINCORPORATED,-122.64240264892578,38.902156829833984
91324797,2020,2020-10-15,9151,2020-10-05,1755,021793,,1,2,9,1700,0,1,3,,1,011,SR-20,"RECLAMATION ROAD",1056.00,E,N,A,-,Y,,,20,,,,,,,Y,2,0,5,5,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,3,0,2,0,0,0,0,0,0,"- ","- ",39.147018432617188,-122.88632965087891,LAKE,UNINCORPORATED,-122.88632965087891,39.147022247314453
