CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90981338,2019,2019-05-23,9165,2019-03-30,0650,018243,,6,1,9,1800,0,1,3,,2,063,US-395,"RED ROCK ROAD",780.00,S,N,A,-,Y,,,395,,,,,,,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.907371520996094,-120.01283264160156,LASSEN,UNINCORPORATED,-120.01268005371094,39.907367706298828
92139015,2022,2023-08-08,9140,2022-09-09,2104,016169,,5,2,9,1800,0,1,2,,2,014,US-395,"MILFORD OLD HIGHWAY ROAD",792.00,S,N,A,-,Y,LAS,,395,,,39.206,H,,R,Y,1,1,2,2,A,-,01,23152,,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",40.158191680908203,-120.32450866699219,LASSEN,UNINCORPORATED,-120.32450866699219,40.158199310302734
92023309,2023,2023-03-21,9140,2023-03-13,"538 ",017925,,1,3,9,1800,0,1,3,,2,034,SR-44,"FOREST ROUTE 33N09",2640.00,W,N,B,-,Y,LAS,,44," "," ",6.681,H,,R,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,C,H,-,D,A,0,,,,Y,Y,,G,25,1,1,0,0,0,0,0,0,0,"- ","- ",40.654361724853516,-121.20487213134766,LASSEN,UNINCORPORATED,-121.20487213134766,40.654361724853516
6895726,2015,2016-11-02,9135,2015-04-08,1500,018026,,3,2,9,1800,0,1,3,,2,651,"RT 299","CENTER SCHOOL HOUSE RD",0.00,,Y,A,-,Y,LAS,2,299,-,-,21.810,H,-,E,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-121.0140428,41.15791763
90304492,2016,2016-10-28,9140,2016-10-13,0420,016279,,4,3,9,1800,0,1,2,,2,021,"US 395","BYERS PASS RD",1584.00,S,N,B,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-120.48820000000001,40.37556
91425315,2021,2021-03-11,9140,2021-03-06,0720,020458,,6,1,9,1800,0,1,3,,2,032,SR-44,SR-36,17952.00,W,N,B,D,Y,,,44,,,,,,,Y,2,0,4,1,A,-,03,22350,,N,E,I,A,C,H,-,A,D,0,,,,,Y,,A,07,4,0,0,0,0,0,0,0,0,"- ","- ",40.425788879394531,-120.80767822265625,LASSEN,UNINCORPORATED,-120.80776214599609,40.426219940185547
91566742,2021,2021-09-09,9140,2021-08-22,1526,020458,,7,2,9,1800,0,1,3,,2,034,"STATE ROUTE 44","FOREST ROAD 33N02",528.00,W,N,A,-,Y,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-121.11410522460938,40.612899780273438
92007219,2023,2023-03-01,9165,2023-02-26,1445,018243,,7,2,9,1800,0,1,3,,2,062,"US-395 S/B",SR-70,3168.00,S,N,B,-,Y,LAS,,395," ",R,3.998,H,,L,N,2,0,1,1,C,-,18,,,N,E,8,A,A,H,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",39.766189575195312,-120.03914642333984,LASSEN,UNINCORPORATED,-120.03920745849609,39.766189575195312
6459145,2014,2015-11-20,9140,2014-04-29,2328,018094,,2,3,9,1800,0,1,2,,2,014,"RT 395","MILFORD GRD",10190.00,S,N,A,-,Y,LAS,2,395,-,-,40.820,H,-,S,Y,2,0,1,1,A,-,03,22350,,N,H,A,A,A,H,-,D,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,LASSEN,UNINCORPORATED,-120.34778881,40.164759940000003
92173381,2023,2024-02-01,9140,2023-09-09,1530,022170,,6,2,9,1800,0,1,3,,2,041,SR-36,SR-147,1320.00,W,N,A,-,Y,LAS,,36," "," ",0.689,H,,R,Y,2,0,1,1,D,-,00,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",40.310901641845703,-121.04991149902344,LASSEN,UNINCORPORATED,-121.0499267578125,40.310813903808594
