CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90545919,2017,2017-09-12,9456,2017-08-14,1605,017711,,1,2,9,2000,0,1,3,,1,052,"STATE ROUTE 41","COUNTY ROAD 426",18.00,N,N,A,-,Y,,,41,,,,,,,Y,1,1,0,3,A,-,12,21453,A,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.332949999999997,-119.65071,MADERA,UNINCORPORATED,-119.65073418999999,37.333020210000001
91337766,2020,2020-11-03,9456,2020-10-29,1927,020944,,4,2,9,2000,0,1,3,,1,052,"SR-41 N/B","CIVIC CIR",57.00,S,N,A,-,Y,,,41,,,,,,N,Y,2,0,1,3,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",37.331798553466797,-119.65428161621094,MADERA,UNINCORPORATED,-119.65428924560547,37.331825256347656
90145126,2016,2016-03-28,9450,2016-03-19,1445,016486,,6,2,9,2000,0,3,5,,2,010,"AVENUE 18","COUNTY ROAD 21",2112.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.011040000000001,-120.1575,MADERA,UNINCORPORATED,-120.17330033,37.011005869999998
91339699,2020,2020-11-04,9456,2020-10-29,1155,017677,,4,1,9,2000,0,3,5,,2,050,"COUNTY ROAD 426","ELLIOTT DRIVE",570.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.326641082763672,-119.64501953125,MADERA,UNINCORPORATED,-119.64508056640625,37.326587677001953
91953159,2022,2022-12-27,9450,2022-12-25,2330,021188,,7,3,9,2000,0,3,5,,2,040,"AVENUE 9","COUNTY ROAD 40",430.00,E,N,E,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.880119323730469,-119.81997680664062,MADERA,UNINCORPORATED,-119.81996154785156,36.880012512207031
6434785,2014,2014-06-26,2002,2014-03-17,1812,3650,CITY,1,5,4,2002,0,0,0,,0,002,"WESSMITH WY","FOUNTAIN WY",367.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21956,A,N,G,B,D,A,H,-,-,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,MADERA,MADERA,-120.04855576999999,36.978543979999998
6539783,2014,2014-08-15,9450,2014-06-30,1655,018612,,1,2,9,2000,0,3,5,,2,020,"AVENUE 17","COUNTY ROAD 26",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,3,A,-,12,21453,A,N,D,C,A,A,H,-,A,C,0,,,,,Y,,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",36.996450000000003,-120.07438999999999,MADERA,UNINCORPORATED,-120.07424985999999,36.99635009
6855372,2015,2016-09-15,9450,2015-02-16,1525,016486,,1,2,9,2000,0,1,3,,2,031,"RT 99","AVE 9",4744.00,N,N,A,-,Y,MAD,6,99,-,-,4.440,H,-,S,Y,2,0,2,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,1,,,Y,,Y,,A,01,2,0,0,0,0,0,0,0,2,"- ","- ",36.892189999999999,-119.98832,MADERA,UNINCORPORATED,-119.98650694,36.890415789999999
8204906,2016,2017-01-11,2002,2016-12-09,0600,4263,,5,5,4,2002,0,0,0,,0,004,"GARY LN WEST","SENECA DR",27.00,E,N,B,-,N,,,,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,E,J,A,B,H,-,C,A,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",,,MADERA,MADERA,-120.05853766,36.941929999999999
8939482,2019,2020-01-10,2001,2019-11-08,2040,068,A,5,5,3,2001,0,0,0,,0,,"N 5TH ST","VENTURA AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,3,2,A,-,01,23152,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,Y,D,22,2,0,1,0,0,0,0,0,0,"- ","- ",,,MADERA,CHOWCHILLA,-120.26799011230469,37.125068664550781
