CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91337766,1,2,Y,M,57,D,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2020
91337766,2,1,N,F,73,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,SUBA,A,07,,W,,-,-,2020
91337766,3,1,N,F,53,A,-,N,M,G,Y,-,3,-,,25,22350,,A,-,0,0,B,2016,TOYOTA,A,07,,W,,-,-,2020
90145126,1,1,Y,M,64,B,-,E,M,H,Y,-,3,-,,31,22107,,A,-,0,1,C,2008,CHEV,D,22,,W,,-,-,2016
91953159,1,1,Y,F,27,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2008,HOND,A,01,,H,,-,-,2022
8204906,1,1,Y,M,20,D,-,N,-,L,,-,3,-,-,"- ",,,N,-,0,2,D,2000,BMW,A,01,,H,,-,-,2016
8939482,1,1,Y,M,24,B,-,W,L,G,Y,-,-,-,,24,22450,,A,-,0,0,E,2015,CHEVROLET,D,22,,H,,-,-,2019
8939482,2,1,N,F,18,G,G,S,M,G,,-,-,-,-,"- ",,,-,-,1,3,B,2006,SUZUKI,A,01,,H,,-,-,2019
91369587,1,1,Y,F,61,A,-,S,P,G,Y,A,3,-,-,"- ",,,N,-,0,1,R,2013,FREI,G,25,33,W,,-,-,2020
91369587,2,1,N,F,23,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2018,TOYO,A,01,,H,,-,-,2020
91864634,1,2,Y,F,67,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2022
91864634,2,1,N,M,56,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,FORD,A,07,,W,,-,-,2022
92066087,1,4,Y,M,57,A,-,W,-,V,O,-,3,-,-,"- ",,,N,-,1,0,J,,SPECIALIZED,L,04,,W,,-,-,2023
92066087,2,1,N,M,41,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,DODG,D,22,,W,,-,-,2023
91286419,1,1,Y,M,27,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,FORD,D,22,,H,,-,-,2020
91286419,2,1,N,M,56,A,-,E,P,D,Y,-,3,-,-,"- ",,,N,-,0,2,B,2012,"JOHN ",M,46,,H,,-,-,2020
