CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90009784,2015,2015-10-19,9350,2015-08-11,1700,015765,,2,2,9,2100,0,2,4,,2,017,"ATHERTON AVE","ATHERTON OAKS DR.",150.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,J,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.106549999999999,-122.5254,MARIN,UNINCORPORATED,-122.5284127,38.107880000000002
91508653,2021,2021-06-29,9350,2021-06-17,1153,015964,,4,1,9,2100,0,2,4,,1,016,"LUCAS VALLEY ROAD","WESTGATE DRIVE",3696.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,06,21750,A,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",38.041980743408203,-122.60874176025391,MARIN,UNINCORPORATED,-122.60777282714844,38.040824890136719
92204589,2023,2023-10-20,9350,2023-10-08,1035,022532,,7,1,9,2100,0,1,3,,1,052,SR-1,"SNAKE RD",6336.00,S,N,A,-,Y,MRN,,1," "," ",43.234,H,,R,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.218059539794922,-122.92337799072266,MARIN,UNINCORPORATED,-122.92337036132812,38.218055725097656
6594632,2014,2014-09-05,2109,2014-07-17,1836,500,7,4,5,5,2109,0,0,0,,0,,"2ND ST","D ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,12,21453,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,MARIN,"SAN RAFAEL",-122.53230994,37.971559919999997
9165857,2020,2021-03-08,2107,2020-08-31,1931,103,3,1,5,1,2107,0,0,0,,0,003,"OAK AV","UPPER RD",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21801,A,N,A,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",37.9676513671875,-122.56877136230469,MARIN,ROSS,-122.56867980957031,37.967479705810547
90132754,2016,2016-03-09,9350,2016-02-29,1327,013450,,1,1,2,2110,0,1,2,,2,020,"PED/BIKE PATH ADJACENT TO N/B US 101","SAUSALITO LATERAL",528.00,S,N,A,-,N,,,,,,,,,,N,2,0,2,2,B,-,22,,,N,H,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,1,0,0,0,0,2,0,0,"- ","- ",,,MARIN,SAUSALITO,,
90742079,2018,2019-02-15,9350,2018-03-26,2210,021087,,1,3,2,2102,0,1,2,,2,050,"US-101 S/B","TAMALPAIS DR",3891.00,S,N,A,-,Y,,,101,,,,,,S,Y,2,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,C,D,0,,,Y,,Y,,A,07,1,0,0,0,0,0,0,0,1,"- ","- ",37.914089202880859,-122.51210021972656,MARIN,"CORTE MADERA",-122.51215362548828,37.914100646972656
90840665,2018,2018-10-22,9350,2018-10-20,0905,021704,,6,1,9,2100,0,2,4,,1,014,"PANORAMIC HWY","GRAVITY CAR RD",220.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,C,-,18,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",1,0,0,0,0,0,1,0,0,"- ","- ",37.910400390625,-122.57704162597656,MARIN,UNINCORPORATED,-122.57704162597656,37.910400390625
91965861,2023,2023-01-11,9350,2023-01-04,1755,017978,,3,2,9,2100,0,3,5,,2,002,"MESA RD","OLEMA BOLINAS RD",511.00,N,N,C,G,N,,,,,,,,,,Y,2,0,1,1,C,-,18,,,N,H,J,A,B,H,-,D,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",37.911781311035156,-122.692138671875,MARIN,UNINCORPORATED,-122.69039916992188,37.912059783935547
6811989,2015,2015-03-04,9350,2015-01-24,0955,19777,,6,1,9,2100,0,3,5,,2,006,"NICASIO VALLEY RD","LUCAS VALLEY RD",135.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",38.055109999999999,-122.69353,MARIN,UNINCORPORATED,-122.69355677,38.05503015
