CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6594632,1,1,Y,M,74,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,TOYOTA,A,01,,W,,-,-,2014
6594632,2,2,N,M,22,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2014
9165857,1,1,Y,M,53,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2001,-,A,01,,H,,-,-,2020
9165857,2,4,N,M,44,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2020
90742079,1,1,Y,M,998,G,G,S,M,G,Y,-,1,-,-,"- ",,,F,-,0,0,B,2004,CHEV,A,07,,W,A,-,-,2018
90742079,2,1,N,F,29,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,YAMA,C,02,,W,,-,-,2018
6811989,1,4,Y,M,58,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,C,,-,L,04,,W,,-,-,2015
91236462,1,1,N,F,33,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2017,TOYT,A,01,,W,,-,-,2020
91236462,2,1,Y,M,46,G,G,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,HARL,C,02,,W,,-,-,2020
94512721,1,1,N,M,42,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,HOND,A,07,,A,,-,-,2024
94512721,2,2,Y,F,71,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2024
91379427,1,1,Y,F,18,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2007,TOYOTA,A,01,,W,,-,-,2020
6587439,1,4,N,M,43,A,-,N,-,-,O,-,3,-,,31,22107,,A,-,0,0,D,,-,L,04,,,,-,-,2014
