CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
92241704,2023,2023-11-21,9455,2023-11-11,2300,021511,,6,3,9,2200,0,1,3,,1,005,SR-49,"CHOWCHILLA MOUNTAIN ROAD",1584.00,N,N,A,-,Y,MPA,,49," "," ",5.478,H,,R,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.464088439941406,-119.78312683105469,MARIPOSA,UNINCORPORATED,-119.78313446044922,37.464012145996094
90198334,2016,2016-06-09,9425,2016-06-06,1205,017461,,1,1,9,2200,0,1,3,,1,053,SR-49,"SCHILLING RD",10560.00,N,N,A,-,Y,,,49,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,1,0,0,0,0,0,0,2,"- ","- ",37.710299999999997,-120.1974,MARIPOSA,UNINCORPORATED,-120.19707686,37.710529540000003
90978981,2019,2019-04-30,9455,2019-04-26,0200,019237,,5,3,9,2200,0,1,3,,1,001,"STATE HIGHWAY 140","AQUA FRIA RD",800.00,W,N,A,-,Y,,,140,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.481769561767578,-120.02442932128906,MARIPOSA,UNINCORPORATED,-120.0244140625,37.481739044189453
92082639,2023,2023-05-31,9455,2023-05-13,2230,020156,,6,3,9,2200,0,1,3,,1,005,SR-49,"KEMBLE ROAD",160.00,N,N,A,-,Y,MPA,,49," "," ",3.444,H,,R,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.447978973388672,-119.75518035888672,MARIPOSA,UNINCORPORATED,-119.75516510009766,37.448051452636719
90699624,2018,2018-04-05,9455,2018-03-31,1215,018088,,6,1,9,2200,0,3,5,,2,010,"BEAR VALLEY RD","MOUNT GAINES RD",700.00,E,N,A,B,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.547309875488281,-120.18502807617188,MARIPOSA,UNINCORPORATED,-120.18502807617188,37.547309875488281
91200084,2020,2020-03-02,9425,2020-02-23,1250,017403,,7,1,9,2200,0,1,3,,1,053,SR-49,"PENON BLANCO RD",0.00,,Y,A,-,Y,,,49,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.736320495605469,-120.23037719726562,MARIPOSA,UNINCORPORATED,-120.23040008544922,37.736286163330078
92132253,2023,2023-07-31,9455,2023-06-06,1945,020377,,2,2,9,2200,0,3,5,,2,010,"DARRAH ROAD","DEER SPRINGS RD",528.00,N,N,A,-,N,,,,,,,,,,Y,1,1,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.497970581054688,-119.85334014892578,MARIPOSA,UNINCORPORATED,-119.85479736328125,37.495872497558594
90034923,2015,2015-10-20,9425,2015-10-11,1102,017403,,7,1,9,2200,0,1,3,,1,053,SR-49,"CROWN LEAD RD",2640.00,S,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,MARIPOSA,UNINCORPORATED,-120.17796783999999,37.688141909999999
91409877,2021,2021-02-17,9455,2021-02-11,1410,021563,,4,2,9,2200,0,3,5,,2,009,"TRIANGLE RD","RANDACK RD",100.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.510471343994141,-119.82636260986328,MARIPOSA,UNINCORPORATED,-119.82664489746094,37.510505676269531
91386546,2021,2021-01-13,9425,2021-01-04,1515,017403,,1,2,9,2200,0,3,5,,1,005,"GREELEY HILL RD","PRIEST COULTERVILLE RD",6336.00,E,N,B,C,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.736579895019531,-120.17781066894531,MARIPOSA,UNINCORPORATED,-120.18682098388672,37.735149383544922
