CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90198334,1,1,Y,M,68,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,2,C,2013,BMW,C,02,,W,,-,-,2016
90978981,1,1,Y,M,22,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2014,FORD,D,22,,W,,-,-,2019
92082639,1,1,Y,F,32,G,G,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2012,SUBA,A,01,,W,,-,-,2023
90699624,1,1,Y,M,73,A,-,E,-,W,Y,-,3,-,-,"- ",,,F,-,0,1,C,1976,HARL,C,02,,W,K,-,-,2018
91200084,1,1,Y,M,56,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,BMW,C,02,,W,,-,-,2020
91200084,2,1,N,M,66,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,0,H,2008,BMW,A,01,,W,,-,-,2020
90034923,1,1,Y,F,55,A,-,S,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,HARL,C,02,,W,,-,-,2015
91409877,1,1,Y,M,62,B,-,N,L,H,N,-,3,-,,31,22107,,A,-,0,1,C,2002,FORD,D,22,,W,,-,-,2021
91386546,1,1,Y,F,19,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,N,2011,CHEV,A,07,,H,,-,-,2021
91457890,1,1,Y,M,62,A,-,E,P,P,N,-,3,-,-,"- ",,,O,-,0,1,B,2020,CRAFTSMA,M,96,,W,,-,-,2021
91811517,1,1,Y,M,33,B,E,N,P,W,Y,-,3,-,,25,22350,,A,-,1,0,B,2004,HOND,C,02,,W,,-,-,2022
91811517,2,1,N,F,66,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2022,TOYT,D,22,,W,,-,-,2022
91134740,1,1,Y,F,47,B,-,S,M,H,Y,-,3,-,,31,22107,,A,-,0,1,C,2000,JEEP,A,07,,W,,-,-,2019
90639742,1,1,Y,M,47,B,-,E,L,B,N,-,-,-,,25,22350,,A,-,0,1,B,2003,TOYO,D,22,,W,,-,-,2018
90639742,2,1,N,M,70,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,DODGE,A,07,,W,,-,-,2018
90639742,3,1,N,F,27,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2012,CHEV,A,01,,W,,-,-,2018
91003303,1,1,Y,F,26,G,G,W,M,H,Y,-,3,-,-,"- ",,,N,-,1,0,M,2006,MITS,A,07,,H,,-,-,2019
90018357,1,1,Y,F,31,A,-,S,M,G,Y,-,3,-,-,"- ",,,F,-,0,2,M,2000,CHEV,A,07,,W,K,-,-,2015
90164910,1,1,Y,F,31,G,G,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2016,HYUN,A,01,,W,,-,-,2016
