CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91040868,2019,2019-07-29,9150,2019-07-13,1434,022220,,6,2,9,2300,0,1,3,,1,065,SR-20,20MEN3.00,0.00,,N,A,-,Y,,,20,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.415390014648438,-123.77236175537109,MENDOCINO,UNINCORPORATED,-123.77236175537109,39.415401458740234
91666395,2021,2021-12-30,9126,2021-12-15,0525,022425,,3,3,9,2300,0,1,2,,1,077,US-101,"RYAN CREEK ROAD",5966.00,N,N,B,C,Y,,,101,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,B,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.488571166992188,-123.36196136474609,MENDOCINO,UNINCORPORATED,-123.36201477050781,39.488529205322266
6871284,2015,2016-11-04,9150,2015-04-01,1330,14435,,3,1,9,2300,0,1,3,,1,051,"RT 1","VISTA POINT LT",528.00,N,N,A,-,Y,MEN,1,1,-,-,10.660,H,-,N,Y,2,0,4,3,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,3,0,0,0,0,0,0,0,"- ","- ",38.859400000000001,-123.65273999999999,MENDOCINO,UNINCORPORATED,-123.65199265,38.857689010000001
8777179,2018,2019-03-04,2303,2018-10-11,1205,4C7,2303,4,5,3,2303,0,0,0,,0,001,"DORA AV","GROVE AV",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",,,MENDOCINO,UKIAH,-123.21369171142578,39.153800964355469
90394700,2017,2017-02-16,9150,2017-01-26,1550,021208,,4,2,9,2300,0,1,3,,1,062,"SR 1","LANSING ST",300.00,N,N,A,-,Y,,,1,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.319850000000002,-123.80011,MENDOCINO,UNINCORPORATED,-123.80019347,39.319806069999998
90063896,2015,2015-12-02,9150,2015-11-16,2500,021014,,1,4,9,2300,0,2,4,,2,025,"TOMKI RD","WEST RD",23232.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,D,-,00,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",1,0,0,0,0,0,1,0,0,"- ","- ",39.371839999999999,-123.23446,MENDOCINO,UNINCORPORATED,-123.23454133,39.371570939999998
91623231,2021,2021-11-12,9150,2021-10-31,1900,021527,,7,2,9,2300,0,1,2,,1,010,US-101,"COMMISKY STATION RD",6336.00,S,N,B,-,Y,,,101,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,8,A,B,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.873828887939453,-123.04476928710938,MENDOCINO,UNINCORPORATED,-123.04479217529297,38.873821258544922
92281911,2023,2024-01-08,9126,2023-12-25,"438 ",022731,,1,3,9,2300,0,1,2,,2,011,US-101,"MPM 101 MEN 92.84",115.00,N,N,A,-,Y,MEN,,101," "," ",92.842,H,,R,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.874851226806641,-123.71041870117188,MENDOCINO,UNINCORPORATED,-123.71044921875,39.874839782714844
90872161,2018,2018-11-30,9126,2018-11-16,1515,022004,,5,2,9,2300,0,1,2,,2,011,"US-101 S/B",SR-1,2112.00,S,N,A,-,Y,,,101,,,,,,S,Y,2,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.863079071044922,-123.71365356445312,MENDOCINO,UNINCORPORATED,-123.71353912353516,39.863014221191406
90796172,2018,2018-08-22,9150,2018-08-12,1101,016075,,7,1,9,2300,0,1,3,,1,037,"SR-20 W/B","PEPPERWOOD WAY",27456.00,E,N,A,-,Y,,,20,,,,,,W,Y,2,0,1,1,A,-,13,22515,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.392620086669922,-123.44744110107422,MENDOCINO,UNINCORPORATED,-123.4471435546875,39.392650604248047
