CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6592210,2014,2016-04-09,9460,2014-07-24,1815,020156,,4,2,5,2406,0,1,3,,2,003,"RT 99","MISSION AV",1320.00,N,N,A,-,Y,MER,10,99,-,R,11.890,H,-,S,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.277349999999998,-120.44243,MERCED,MERCED,-120.44028183,37.27632689
8631600,2018,2018-06-13,2401,2018-05-08,0903,728,2401,2,5,3,2401,0,0,0,,0,003,"BUHACH RD","CASTLEWOOD AV",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,Y,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,MERCED,ATWATER,-120.57663726806641,37.359058380126953
8648161,2018,2020-05-26,2406,2018-03-24,1952,156,MERCE,6,5,5,2406,0,0,0,,0,"3 30","EAST 16TH ST","RT 99",150.00,W,N,B,-,Y,MER,10,99,-,-,13.715,R,4,S,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ",EO,,,MERCED,MERCED,-120.46611022949219,37.29339599609375
9594467,2023,2023-06-29,2406,2023-04-29,2109,321,2,6,5,5,2406,0,0,0,,0,020,"M ST","WEST 22ND ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,7,3,A,-,07,21658,A,N,D,C,A,A,H,-,C,D,0,,,,,Y,,A,07,1,6,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.48200225830078,37.306961059570312
91029603,2019,2019-07-12,9461,2019-06-23,2300,020385,,7,3,9,2400,0,1,3,,1,265,"STATE ROUTE 165 NORTHBOUND","MIDDLE ROAD",150.00,S,N,A,-,Y,,,165,,,,,,N,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",37.032569885253906,-120.83580017089844,MERCED,UNINCORPORATED,-120.83597564697266,37.032573699951172
91420939,2021,2021-03-04,9460,2021-02-28,1605,020822,,7,2,9,2400,0,3,5,,2,010,"COLUMBUS AVE","AUGUST AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.418861389160156,-120.86817169189453,MERCED,UNINCORPORATED,-120.86817169189453,37.41888427734375
91770775,2022,2022-05-12,9460,2022-04-19,1653,018292,,2,2,9,2400,0,3,5,,2,100,"WESTSIDE BOULEVARD","GRIFFITH AVENUE",298.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.360439300537109,-120.81289672851562,MERCED,UNINCORPORATED,-120.81316375732422,37.360431671142578
91983136,2023,2023-01-31,9461,2023-01-28,2250,021785,,6,3,9,2400,0,3,5,,2,040,"HUTCHINS RD","CARLUCCI RD",3960.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",37.089809417724609,-120.67025756835938,MERCED,UNINCORPORATED,-120.67105865478516,37.090957641601562
92207088,2023,2023-10-24,9460,2023-09-21,"5   ",021704,,4,3,9,2400,0,3,5,,2,020,"OAKDALE ROAD","TURLOCK ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,D,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",37.476978302001953,-120.64466094970703,MERCED,UNINCORPORATED,-120.64462280273438,37.476970672607422
92325754,2023,2024-02-28,9460,2023-12-13,2115,018422,,3,2,9,2400,0,1,3,,2,002,"SR-99 (S/B)","SULTANA DRIVE",3696.00,S,N,A,-,Y,MER,,99," "," ",26.418,H,,L,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.368480682373047,-120.67093658447266,MERCED,UNINCORPORATED,-120.67092895507812,37.368495941162109
92428380,2024,2024-07-02,9461,2024-06-29,"150 ",023015,,6,3,9,2400,0,3,5,,2,010,"FAHEY RD","CHEROKEE RD",1056.00,W,N,A,-,N,,,,,,,,,,N,2,0,2,1,A,-,01,23152,A,F,H,J,A,D,H,-,D,D,0,,,,,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",37.122360229492188,-120.98342895507812,MERCED,UNINCORPORATED,-120.98162841796875,37.122413635253906
6822024,2015,2016-09-14,9460,2015-01-29,2000,019005,,4,2,9,2400,0,1,3,,1,591,"RT 59","SANDY MUSH RD",240.00,S,N,E,-,Y,MER,10,59,-,-,7.010,H,-,N,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.184620000000002,-120.48849,MERCED,UNINCORPORATED,-120.48829250999999,37.184976030000001
8788161,2018,2019-01-31,2406,2018-12-13,2035,260,1,4,5,5,2406,0,0,0,,0,010,"G ST","ALPINE DR",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,MERCED,MERCED,-120.4693603515625,37.311859130859375
9714794,2023,2024-07-19,2405,2023-11-03,2233,PD63,6,5,5,3,2405,0,0,0,,0,B4/2,"MERCY SPRINGS RD","DOVE ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,03,22350,,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,M,94,1,1,0,0,1,0,0,0,0,"- ","- ",37.082759857177734,-120.83493804931641,MERCED,"LOS BANOS",-120.83495330810547,37.082763671875
9714866,2023,2024-07-19,2405,2023-12-05,"800 ",PD68,,2,5,3,2405,0,0,0,,0,0B3,"ORTIGALITA RD","MICHELOTTI DR",215.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,00,21954,,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,MERCED,"LOS BANOS",,
9714895,2023,2024-07-26,2405,2023-12-16,1744,PD55,2,6,5,3,2405,0,0,0,,0,0B2,RT165,"ROMERO ST",39.00,N,N,A,-,Y,MER,10,165,-,-,9.350,H,-,S,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",37.066818237304688,-120.83518981933594,MERCED,"LOS BANOS",-120.83522796630859,37.065017700195312
90866709,2018,2018-11-26,9461,2018-07-17,0155,021126,,2,3,9,2400,0,1,1,,2,105,"INTERSTATE 5 NORTHBOUND","TAGLIO ROAD",2274.00,S,N,A,-,Y,,,5,,,,,,N,Y,1,3,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,G,25,2,0,0,0,0,0,0,0,0,"- ","- ",37.229640960693359,-121.08383178710938,MERCED,UNINCORPORATED,-121.08443450927734,37.229488372802734
91477720,2021,2021-05-27,9461,2021-05-10,0008,021854,,1,3,9,2400,0,1,1,,2,205,"I-5 S/B","CANYON RD.",30.00,N,N,A,-,Y,,,5,,,,,,S,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,Y,A,08,1,1,0,0,0,0,0,0,0,"- ","- ",36.992321014404297,-120.90863800048828,MERCED,UNINCORPORATED,-120.90865325927734,36.9923095703125
7132585,2015,2015-12-21,2406,2015-12-06,0905,136,1,7,5,5,2406,0,0,0,,0,011,"M ST","LOUGHBOROUGH DR",0.00,,Y,B,-,N,,,,,,,,,,Y,2,0,2,2,A,-,17,21451,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.47838989,37.322700060000003
