CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90529017,2017,2017-08-23,9170,2017-08-11,0736,021683,,5,1,9,2500,0,1,3,,1,004,"SR-299 E/B","COUNTY ROAD 195 (SKI TOW ROAD)",4752.00,E,N,A,-,Y,,,299,,,,,,E,Y,2,0,8,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,F,26,1,7,0,0,0,0,0,0,0,"- ","- ",41.532800000000002,-120.20486,MODOC,UNINCORPORATED,-120.20488087,41.53274322
91219870,2020,2020-04-02,9170,2020-03-17,1700,020570,,2,2,9,2500,0,1,3,,2,006,"STATE ROUTE 139","LOVENESS RD",3696.00,S,N,D,-,Y,,,139,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,D,C,A,C,E,-,A,D,0,,,,Y,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",41.493598937988281,-120.96829986572266,MODOC,UNINCORPORATED,-120.96836090087891,41.493606567382812
91963838,2023,2023-01-09,9145,2023-01-03,"826 ",018254,,2,1,9,2500,0,1,3,,1,090,SR-139,"LOOKOUT ROAD",9504.00,N,N,B,-,Y,MOD,,139," "," ",19.147,H,,R,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,C,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",41.561809539794922,-121.17169952392578,MODOC,UNINCORPORATED,-121.171630859375,41.561847686767578
92377462,2024,2024-04-29,9170,2024-03-27,1225,019786,,3,1,9,2500,0,3,5,,1,023,"COUNTY ROAD 1","COUNTY ROAD 31",3168.00,S,N,G,-,N,,,,,,,,,,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",41.414241790771484,-120.12892150878906,MODOC,UNINCORPORATED,-120.1295166015625,41.415756225585938
92276649,2023,2024-01-02,9170,2023-12-26,1725,021727,,2,2,9,2500,0,3,5,,1,023,"COUNTY ROAD 1","COUNTY ROAD 225",3168.00,S,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,D,D,0,,,,,Y,Y,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",41.763439178466797,-120.18473815917969,MODOC,UNINCORPORATED,-120.189453125,41.75457763671875
6921532,2015,2015-06-01,9170,2015-05-01,1952,020152,,5,2,9,2500,0,3,5,,2,024,"COUNTY ROAD 236","PENCIL RD",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,MODOC,UNINCORPORATED,,
91866908,2022,2022-09-16,9170,2022-09-08,1420,019274,,4,2,9,2500,0,1,2,,1,003,"RT 395","COUNTY ROAD 47E",20170.00,S,N,A,-,Y,MOD,,395,,,50.104,H,,R,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",41.834629058837891,-120.35769653320312,MODOC,UNINCORPORATED,-120.35765838623047,41.834644317626953
90874645,2018,2019-05-13,9170,2018-11-25,0001,021139,,7,3,9,2500,0,3,5,,2,025,"COUNTY ROAD 91","COUNTY ROAD 91A",756.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.20941162109375,-121.14566040039062,MODOC,UNINCORPORATED,-121.14824676513672,41.213699340820312
6635877,2014,2015-12-21,9170,2014-09-23,2000,015617,,2,2,9,2500,0,3,5,,2,025,"RT 299","COUNTY RD 175",6600.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,MODOC,UNINCORPORATED,,
91715466,2021,2022-03-04,9145,2021-09-15,1930,018254,,3,2,9,2500,0,1,3,,1,081,SR-139,"COUNTY ROAD 112",528.00,S,N,A,-,Y,,,139,,,,,,,Y,1,1,2,3,A,-,08,22107,,N,A,2,A,A,H,-,D,D,0,,,,Y,Y,,A,08,0,1,1,0,0,0,0,0,0,"- ","- ",41.899269104003906,-121.39723205566406,MODOC,UNINCORPORATED,-121.39727020263672,41.899219512939453
