CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91323614,2020,2020-10-14,9820,2020-10-06,1400,019933,,2,2,9,2600,0,3,5,,2,020,"UN-NAMED DIRT TRAIL","TWIN LAKES RD.",2640.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,B,-,22,,,N,F,A,A,A,G,-,A,D,0,,,Y,,Y,,C,06,1,0,0,0,0,0,0,0,1,"- ","- ",38.179000854492188,-119.343017578125,MONO,UNINCORPORATED,,
6291421,2014,2014-12-09,9820,2014-08-03,1110,19763,,7,1,9,2600,0,1,2,,1,041,"RT 395","PICNIC GROUNDS RD",4.00,S,N,B,-,Y,MNO,9,395,-,-,53.070,H,-,S,Y,1,1,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,1,0,"- ","- ",37.97672,-119.1357,MONO,UNINCORPORATED,-119.13557272,37.976681200000002
91340986,2020,2020-12-04,9825,2020-09-06,2230,015522,,7,3,9,2600,0,1,2,,1,023,"US-395 S/B","LOWER ROCK CREEK ROAD",26136.00,S,N,A,-,Y,,,395,,,,,,S,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",37.518241882324219,-118.59667205810547,MONO,UNINCORPORATED,-118.59666442871094,37.518260955810547
90023070,2015,2015-10-19,9820,2015-09-18,1015,019766,,5,1,9,2600,0,1,3,,1,039,SR-158,"NORTHSHORE DRIVE",899.00,S,N,A,-,Y,,,158,,,,,,,N,2,0,1,2,A,-,03,22350,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,D,22,1,0,0,0,0,0,1,0,0,"- ","- ",37.771169999999998,-119.08741000000001,MONO,UNINCORPORATED,-119.08739927000001,37.771142009999998
90523047,2017,2017-08-14,9825,2017-08-06,0626,017565,,7,1,9,2600,0,1,2,,1,009,"RT 6","DAWSON RANCH RD",216.00,S,N,A,-,Y,,,6,,,,,,,Y,2,0,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.668689999999998,-118.4028,MONO,UNINCORPORATED,-118.40277847999999,37.668698050000003
92036447,2023,2023-04-04,9820,2023-03-27,1000,022327,,1,1,9,2600,0,3,5,,2,055,"US FOREST SERVICE ROAD 2S04","OWENS RIVER RD",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,2,1,A,-,03,38305,,N,F,A,A,C,H,-,A,D,0,,,,,Y,,M,96,1,0,1,0,0,0,0,0,0,"- ","- ",37.747699737548828,-118.93879699707031,MONO,UNINCORPORATED,,
90209225,2016,2016-06-24,9820,2016-06-15,1512,020600,,3,2,9,2600,0,1,2,,1,041,US-395,"PICNIC GROUNDS RD",448.00,S,N,A,-,Y,,,395,,,,,,,Y,2,0,2,3,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,D,22,1,0,1,0,0,0,0,0,2,"- ","- ",37.97287,-119.13372,MONO,UNINCORPORATED,-119.1335839,37.972900289999998
90294259,2016,2016-10-18,9820,2016-10-09,0440,020241,,7,3,9,2600,0,1,3,,1,013,SR-89,US-395,3168.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,Y,Y,,G,25,1,0,0,0,0,0,0,0,0,"- ","- ",38.383600000000001,-119.3215,MONO,UNINCORPORATED,-119.52764000000001,38.642629999999997
90242910,2016,2016-08-15,9820,2016-08-08,0300,020309,,1,3,9,2600,0,1,2,,1,042,"US 395 N/B","GLASS CREEK RD",1584.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.556600000000003,-118.9853,MONO,UNINCORPORATED,-118.98571045,37.756026310000003
6290416,2014,2014-05-02,9820,2014-01-14,1220,19627,,2,1,9,2600,0,1,2,,1,022,"RT 395","GREEN CREEK RD",5280.00,N,N,A,-,Y,MNO,9,395,-,-,72.990,H,-,N,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.208930000000002,-119.23018,MONO,UNINCORPORATED,-119.22974634000001,38.208442609999999
6908306,2015,2016-12-19,9820,2015-04-17,1530,018674,,5,2,9,2600,0,1,2,,1,011,"RT 395","RT 89",5808.00,N,N,A,-,Y,MNO,9,395,-,-,118.070,H,-,N,Y,2,0,2,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,1,0,0,0,0,0,1,"- ","- ",38.657040000000002,-119.53751,MONO,UNINCORPORATED,-119.5374504,38.655888480000002
91337745,2020,2020-11-03,9825,2020-10-31,1800,020183,,6,2,9,2600,0,3,5,,2,030,"UNNAMED DIRT ROAD","SACRAMENTO ST",5280.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,38305,,N,F,A,A,A,A,-,A,D,0,,,Y,,Y,,C,06,1,0,0,0,0,0,0,0,1,"- ","- ",37.538921356201172,-118.36695098876953,MONO,UNINCORPORATED,,
90642526,2017,2018-01-29,9820,2017-12-13,1630,016150,,3,2,9,2600,0,1,2,,1,022,US-395,SR-270,3696.00,S,N,A,-,Y,,,395,,,,,,,Y,1,2,1,2,A,-,08,22107,,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.166460000000001,-119.19277,MONO,UNINCORPORATED,-119.19278994,38.166450449999999
91353746,2020,2020-11-25,9820,2020-11-20,1635,021335,,5,2,9,2600,0,1,2,,1,012,US-395,"EASTSIDE LN",19008.00,S,N,A,-,Y,,,395,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,B,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.471210479736328,-119.46153259277344,MONO,UNINCORPORATED,-119.46160888671875,38.471176147460938
