CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6990617,2015,2015-08-29,9730,2015-07-09,0644,016537,,4,1,9,2700,0,3,5,,2,003,"RIVER RD","PINE CANYON RD",350.00,N,N,B,-,N,,,,,,,,,,Y,2,0,1,2,A,-,06,21750,,N,D,C,A,B,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.597920000000002,-121.62633,MONTEREY,UNINCORPORATED,-121.62610436999999,36.5978353
8021890,2016,2016-04-28,2708,2016-03-09,0943,97440,,3,5,6,2708,0,0,0,,0,,FREEDOM,"NORTH SANBORN RD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,-,,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.60134986,36.692130040000002
8617451,2017,2018-05-24,2708,2017-03-23,0558,37663,,4,5,6,2708,0,0,0,,0,010,"JOHN ST","MAGNOLIA ST",0.00,,Y,B,-,N,,,,,,,,,,,2,0,1,2,D,-,00,,,F,-,B,-,A,H,-,C,D,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.62834991,36.669380070000003
8737946,2018,2018-11-27,2708,2018-10-29,1053,12507,,1,5,6,2708,0,0,0,,0,006,"NORTH MAIN ST","MENKE ST",270.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,3,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,-,,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.65335083007812,36.682888031005859
8986056,2019,2019-12-03,2708,2019-10-21,0735,34273,SALIN,1,5,6,2708,0,0,0,,0,005,"EAST LAUREL DR","LASSEN DR",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,,
9301714,2021,2021-10-07,2708,2021-08-09,2108,52823,,1,5,6,2708,0,0,0,,0,006,"NORTH DAVIS RD","WEST ROSSI ST",414.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,I,A,A,H,-,C,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.67103576660156,36.689300537109375
90862784,2018,2018-11-19,9735,2018-11-01,1630,020710,,4,2,9,2700,0,2,4,,2,010,"ARROYO SECO ROAD","CLARK ROAD",5280.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,1,0,0,0,0,0,0,"- ","- ",36.334918975830078,-121.31671142578125,MONTEREY,UNINCORPORATED,-121.31663513183594,36.334579467773438
91633508,2021,2021-11-23,9730,2021-11-15,0945,019239,,1,1,9,2700,0,1,3,,2,062,"SR-1 SB","SR-218 U.C.",1584.00,N,N,A,-,Y,,,,,,,,,,N,2,0,1,2,A,-,07,21658,A,F,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.613201141357422,-121.85379791259766,MONTEREY,UNINCORPORATED,-121.85402679443359,36.613002777099609
91751626,2022,2022-04-19,9730,2022-03-21,1530,019239,,1,2,9,2700,0,2,4,,2,063,"WEST BLANCO ROAD","WEST ALISAL STREET",800.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,F,D,C,A,A,H,-,A,A,0,,,Y,,Y,Y,A,08,0,0,0,0,0,0,0,1,0,"- ","- ",36.665081024169922,-121.68061828613281,MONTEREY,UNINCORPORATED,-121.68062591552734,36.665031433105469
92341991,2024,2024-03-19,9730,2024-03-15,2055,022137,,5,2,9,2700,0,3,5,,2,002,"MIRAMONTE RD","CARMEL VALLEY RD",300.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",36.511459350585938,-121.76976013183594,MONTEREY,UNINCORPORATED,-121.76914215087891,36.510955810546875
8609578,2018,2018-04-27,2708,2018-03-07,1845,85123,SALIN,3,5,6,2708,0,0,0,,0,010,"E MARKET","N HEBBRON AV",4.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,-,,1,0,0,0,1,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.63173675537109,36.676551818847656
84755909,2025,2025-07-14,2712,2025-06-16,2256,1360,,1,5,3,2712,0,0,0,,0,01B,"RESERVATION RD","BLANCO RD",634.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,E,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.666660308837891,-121.75695037841797,MONTEREY,MARINA,-121.75853729248047,36.667831420898438
90114894,2016,2016-02-15,9730,2016-01-22,1654,019981,,5,2,4,2710,0,1,3,,2,062,"SR-1 N/B","TIOGA O/C",200.00,S,N,C,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SEASIDE,-121.84910585999999,36.61728703
90440074,2017,2018-05-25,9730,2017-04-16,1810,021120,,7,2,9,2700,0,1,3,,1,074,SR-1,"DOLAN RD.",0.00,,Y,C,-,N,,,1,,,,,,,Y,1,1,0,2,A,-,09,21801,A,N,A,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",36.804110000000001,-121.78377999999999,MONTEREY,UNINCORPORATED,-121.7837966,36.804110999999999
90819626,2018,2018-09-24,9730,2018-09-14,1416,019127,,5,2,9,2700,0,3,5,,2,003,"ALTA ST","OLD STAGE RD",50.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,A,08,1,1,0,0,0,0,0,0,0,"- ","- ",36.521881103515625,-121.46389007568359,MONTEREY,UNINCORPORATED,-121.46321105957031,36.521400451660156
92100171,2023,2023-06-22,9730,2023-05-27,"945 ",019315,,6,1,9,2700,0,1,3,,1,068,"SR-68 (W/B)","RESERVATION RD",1056.00,E,N,B,-,Y,MON,,68," ",R,17.504,H,,L,Y,1,1,0,1,A,-,08,22107,,N,E,8,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.627571105957031,-121.67771911621094,MONTEREY,UNINCORPORATED,-121.67765808105469,36.62750244140625
92435461,2024,2024-07-10,9730,2024-06-30,1140,020335,,7,1,9,2700,0,1,3,,1,012,SR-1,"NACIMIENTO-FERGUSSON RD.",31680.00,N,N,A,-,Y,MON,,1," "," ",24.821,H,,R,N,2,0,1,1,A,-,08,22107,,N,F,A,A,A,D,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.030738830566406,-121.57485198974609,MONTEREY,UNINCORPORATED,-121.57485961914062,36.030735015869141
94545469,2025,2025-01-22,9730,2025-01-12,1802,023651,,7,2,9,2700,0,2,4,,1,023,"CARMEL VALLEY ROAD","LAURELES GRADE",35.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,B,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.500999450683594,-121.75679016113281,MONTEREY,UNINCORPORATED,-121.75665283203125,36.500980377197266
94687739,2025,2025-05-14,9735,2025-05-07,1800,024377,,3,2,9,2700,0,3,5,,2,002,"JOLON ROAD","NEW PLEYTO ROAD",681.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",35.905509948730469,-120.98629760742188,MONTEREY,UNINCORPORATED,-120.98624420166016,35.905448913574219
6290627,2014,2014-06-12,9730,2014-03-27,0610,18350,,4,1,9,2700,0,1,3,,1,068,"RT 68","TORERO DR",1056.00,E,N,B,-,Y,MON,5,68,-,-,14.890,H,-,W,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.598050000000001,-121.69922,MONTEREY,UNINCORPORATED,-121.70184891,36.595294129999999
6962101,2015,2015-06-23,9730,2015-05-30,1135,016537,,6,1,9,2700,0,3,5,,2,004,"RIVER RD","COREY RD",528.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,11,21956,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",36.590530000000001,-121.60675000000001,MONTEREY,UNINCORPORATED,-121.60695092,36.590463
9092274,2020,2020-07-20,2705,2020-03-26,0633,23717,,4,5,3,2705,0,0,0,,0,901,"S MILDREO ST","BROADWAY ST",5.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,-,H,-,C,A,0,Y,,,,Y,,I,19,1,0,0,0,1,0,0,0,0,"- ","- ",,,MONTEREY,"KING CITY",-121.131963,36.209629999999997
82054279,2023,2023-04-27,2708,2023-04-11,"22  ",85065,,2,5,6,2708,0,0,0,,0,011,"GARNER AVE","PACIFIC AVE",175.00,W,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21804,A,F,D,G,A,A,H,-,C,D,0,,Y,Y,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.61679077148438,36.688129425048828
90199572,2016,2016-06-13,9730,2016-06-05,1232,019569,,7,1,9,2700,0,3,5,,2,006,"BLANCO RD","DAVIS RD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21453,C,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.68510999,36.666800000000002
90758427,2018,2018-06-28,9735,2018-06-22,1615,020168,,5,2,9,2700,0,3,5,,2,001,"NACIMIENTO-FERGUSSON RD","VASQUEZ CREEK RD",217.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",35.980461120605469,-121.25697326660156,MONTEREY,UNINCORPORATED,-121.25749206542969,35.980316162109375
91194378,2020,2020-02-26,9730,2020-02-16,0235,022151,,7,3,9,2700,0,2,4,,2,063,"BLANCO RD","RESERVATION RD",6.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.666660308837891,-121.75713348388672,MONTEREY,UNINCORPORATED,-121.75669097900391,36.66693115234375
91455015,2021,2021-04-21,9735,2021-04-18,1215,017257,,7,1,9,2700,0,1,3,,2,031,SR25,SR198,14256.00,N,N,A,-,Y,,,25,,,,,,,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.209869384765625,-120.85980987548828,MONTEREY,UNINCORPORATED,-120.85980224609375,36.209785461425781
93171827,2024,2024-08-01,9730,2024-07-23,1600,023651,,2,2,9,2700,0,2,4,,1,073,"HALL ROAD","PINI ROAD",1320.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,2,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.863910675048828,-121.71208953857422,MONTEREY,UNINCORPORATED,-121.71235656738281,36.863929748535156
9000498,2019,2019-12-19,2708,2019-10-23,1632,30347,,3,5,6,2708,0,0,0,,0,002,"E ALVIN",MCKINNON,0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,,1,0,0,0,1,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.64585113525391,36.707229614257812
