CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8402422,2017,2017-07-17,2801,2017-06-20,1700,178,5,2,5,2,2801,0,0,0,,0,,"GRANT ST","MORA AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,NAPA,CALISTOGA,-122.58783989,38.58800995
9495423,2022,2022-10-24,2802,2022-09-25,1611,320313,9,7,5,5,2802,0,0,0,,0,04A,"SOLANO AV","REDWOOD RD",1320.00,N,N,A,-,N,,,,,,,,,,Y,2,0,4,3,A,-,05,21651,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,2,1,0,0,0,0,0,0,"- ","- ",,,NAPA,NAPA,-122.31217193603516,38.324298858642578
90539178,2017,2017-09-01,9325,2017-08-26,0930,021605,,6,1,9,2800,0,1,3,,1,044,SR-29,"ROBERT LOUIS STEVENSON STATE PARK",1056.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,05,21460,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.598700000000001,-122.59869999999999,NAPA,UNINCORPORATED,,
8632071,2018,2018-08-22,2802,2018-05-12,2256,199,74,6,5,5,2802,0,0,0,,0,04B,"RT 12","RT 29",0.00,,Y,A,-,Y,NAP,4,12,-,-,0.000,I,6,W,Y,2,0,7,4,A,-,01,23153,A,F,C,C,A,A,H,-,D,A,0,,,,,Y,Y,A,07,2,1,4,0,0,0,0,0,0,"- ","- ",,,NAPA,NAPA,-122.25788879394531,38.223167419433594
90662459,2018,2018-02-15,9325,2018-02-03,1920,020893,,6,2,9,2800,0,3,5,,2,001,"SOSCOL FERRY RD","DEVLIN RD.",985.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.240398406982422,-122.27429962158203,NAPA,UNINCORPORATED,-122.27413177490234,38.240467071533203
84603261,2025,2025-03-18,2800,2025-02-17,1848,545,,1,5,2,2805,0,0,0,,0,,"SB HIGHWAY 29","DONALDSON WAY",326.00,N,N,A,-,Y,,,,,,,,,,N,2,0,1,2,A,-,00,23105,A,N,G,B,E,A,H,-,D,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,NAPA,"AMERICAN CANYON",-122.25367736816406,38.172157287597656
90638552,2018,2018-07-03,9325,2018-01-01,1152,015674,,1,1,9,2800,0,3,5,,1,008,"POPE CANYON RD","BERRYESSA KNOXVILLE  RD",8448.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.628170013427734,-122.32874298095703,NAPA,UNINCORPORATED,-122.31560516357422,38.619503021240234
91037441,2019,2019-07-25,9325,2019-07-20,1745,019847,,6,2,9,2800,0,2,4,,1,082,"BERRYESSA KNOXVILLE ROAD",SR-128,9504.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,1,1,0,0,0,0,0,0,"- ","- ",38.510910034179688,-122.22360229492188,NAPA,UNINCORPORATED,-122.232421875,38.511669158935547
91620214,2021,2021-11-09,9325,2021-10-29,1427,017746,,5,2,9,2800,0,2,4,,1,023,"SILVERADO TRAIL","YOUNTVILLE CROSS ROAD",10560.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,2,0,0,0,0,0,0,0,2,"- ","- ",38.40142822265625,-122.32776641845703,NAPA,UNINCORPORATED,-122.32783508300781,38.401401519775391
91625675,2021,2021-11-16,9325,2021-11-06,2000,021083,,6,2,9,2800,0,1,3,,1,011,SR-29,"SOSCOL FERRY RD",100.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",33.894199371337891,-118.29820251464844,NAPA,UNINCORPORATED,-122.26951599121094,38.241466522216797
