CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8402422,1,4,Y,M,40,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,H,,-,L,04,,H,,-,-,2017
9495423,1,1,Y,M,56,A,-,S,L,B,Y,-,3,-,-,"- ",,,N,-,0,3,B,1998,-,D,22,,H,,-,-,2022
9495423,2,1,N,F,86,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,Q,2014,-,A,01,,W,,-,-,2022
9495423,3,1,N,F,67,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,-,A,01,,W,,-,-,2022
8632071,1,1,Y,F,36,B,-,S,L,G,Y,-,3,-,-,"- ",,,F,-,0,3,B,2007,TOYOTA,A,07,,H,-,-,-,2018
8632071,2,1,N,F,29,D,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,H,2013,HYUNDAI,A,01,,W,,-,-,2018
8632071,3,1,N,M,23,B,-,S,L,C,,-,3,-,-,"- ",,,N,-,0,0,H,2012,MAZDA,A,01,,W,,-,-,2018
8632071,4,1,N,F,55,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,2004,HONDA,A,07,,A,,-,-,2018
84603261,1,1,Y,M,34,A,-,S,M,G,Y,-,-,-,-,"- ",,,A,-,0,0,I,2021,FORD,A,01,,W,,-,-,2025
84603261,2,2,N,F,20,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2025
90638552,1,1,Y,M,25,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2017,KAWK,C,02,,W,,-,-,2018
91071114,1,1,N,M,28,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2008,HARL,C,02,,W,,-,-,2019
91771747,1,1,Y,M,25,B,-,S,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,2017,FORD,F,26,,H,,-,-,2022
92429921,1,1,N,M,51,G,G,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2015,BMW,C,02,,W,,-,-,2024
93732124,1,1,Y,M,81,A,I,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2017,HOND,A,01,,A,,-,-,2024
6959059,1,1,Y,M,49,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2003,YAMAHA,C,02,,W,,-,-,2015
84479497,1,1,Y,F,47,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2024,HYUNDAI,A,07,,W,,-,-,2024
84479497,2,1,N,M,56,A,-,N,P,-,Y,-,3,-,-,"- ",,,N,-,0,1,B,2003,SUZUKI,C,02,,W,,-,-,2024
90743785,1,1,Y,M,55,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,FREI,F,27,,W,,-,-,2018
90743785,2,1,N,F,22,A,-,N,L,G,Y,-,3,-,-,"- ",,,F,N,0,3,A,2005,HOND,A,01,,H,K,-,-,2018
90834136,1,1,Y,M,33,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,FORD,D,22,,H,,-,-,2018
90834136,2,4,N,M,58,A,-,E,P,W,O,-,3,-,-,"- ",,,N,-,0,1,B,,UNK,L,04,,W,,-,-,2018
90835493,1,1,Y,M,46,B,-,N,L,G,Y,-,3,-,,27,21460,A,A,-,0,0,N,2002,DODGE,A,08,,H,,-,-,2018
90835493,2,1,N,M,56,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2018,HONDA,A,07,,W,,-,-,2018
91549455,1,1,Y,M,35,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2016,GMC,D,22,,B,,-,-,2021
91549455,2,1,N,M,22,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013,SCIO,A,01,,H,,-,-,2021
92430913,1,1,N,M,51,A,-,N,L,H,Y,-,4,-,,27,21460,,A,-,0,1,N,2004,NISS,A,01,,W,,-,-,2024
92430913,2,1,N,M,61,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1999,FORD,D,22,,W,,-,-,2024
