CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6858320,2015,2015-04-02,9230,2015-02-03,1115,13002,,2,1,9,2900,0,3,5,,2,030,"COMBIE RD","HIGGINS RD",1056.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.042760000000001,-121.09076,NEVADA,UNINCORPORATED,-121.08846049,39.04301461
91897484,2022,2022-10-24,9230,2022-09-30,1455,020425,,5,2,9,2900,0,2,4,,2,073,"ROUGH & READY HIGHWAY","RIDGE ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",1,1,0,0,0,0,0,0,0,"- ","- ",39.228790283203125,-121.08544921875,NEVADA,UNINCORPORATED,-121.085205078125,39.228595733642578
90727035,2018,2018-05-15,9230,2018-04-18,0135,016868,,3,3,9,2900,0,3,5,,2,070,"BITNEY SPRINGS RD","MYSTIC MINE RD",102.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.239479064941406,-121.10697937011719,NEVADA,UNINCORPORATED,-121.10707092285156,39.239650726318359
91889274,2022,2022-10-13,9230,2022-10-06,2110,020411,,4,2,9,2900,0,3,5,,2,060,"TYLER FOOTE ROAD","ALBION WAY",405.00,W,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",39.332149505615234,-121.10250091552734,NEVADA,UNINCORPORATED,-121.10240173339844,39.3321533203125
90307784,2016,2016-10-31,9230,2016-10-18,1625,014789,,2,2,9,2900,0,1,3,,1,031,"SR-49 S/B","GAUTIER DR",313.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,3,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,1,1,1,0,0,0,0,0,0,"- ","- ",39.022219999999997,-121.99420000000001,NEVADA,UNINCORPORATED,-121.09953849,39.021994169999999
91777977,2022,2022-06-20,9230,2022-05-19,1420,018771,,4,2,9,2900,0,1,3,,1,041,SR-174,"REDBERRY ROAD",365.00,N,N,A,-,Y,NEV,,174,,,0.437,H,,R,Y,1,1,0,1,A,-,08,22107,,N,E,8,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.1361083984375,-120.96375274658203,NEVADA,UNINCORPORATED,-120.96375274658203,39.136112213134766
91888141,2022,2022-10-12,9222,2022-10-05,1920,015913,,3,2,9,2900,0,1,1,,2,021,"I-80 E/B","DONNER PASS RD. (SODA SPRINGS)",500.00,W,N,A,-,Y,NEV,,80,,,2.080,H,,R,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",39.323169708251953,-120.39952850341797,NEVADA,UNINCORPORATED,-120.39952087402344,39.323135375976562
91981987,2023,2023-01-30,9230,2023-01-01,1205,018107,,7,1,9,2900,0,2,4,,2,072,"RIDGE RD","CAREY DR",137.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21801,A,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",39.231239318847656,-121.07530212402344,NEVADA,UNINCORPORATED,-121.07535552978516,39.231292724609375
90579384,2017,2017-10-26,9230,2017-10-08,1720,016588,,7,2,9,2900,0,3,5,,2,050,"WASHINGTON ROAD","MYHRER WAY",250.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,F,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,2,0,0,0,0,0,0,0,0,"- ","- ",39.326749999999997,-120.80204999999999,NEVADA,UNINCORPORATED,-120.80189796000001,39.326370590000003
90773621,2018,2018-08-23,9230,2018-06-25,1550,017889,,1,2,9,2900,0,3,5,,2,070,"PENN VALLEY DR","LAZY VALLEY RD",25.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",39.200641632080078,-121.172119140625,NEVADA,UNINCORPORATED,-121.17276763916016,39.200183868408203
90973032,2019,2019-04-23,9230,2019-03-27,1405,016258,,3,2,9,2900,0,1,3,,1,031,"SR-49 S/B","ALTA SIERRA DR",15.00,N,N,B,C,Y,,,49,,,,,,S,Y,2,0,1,2,A,-,01,23152,F,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.141269683837891,-121.07122039794922,NEVADA,UNINCORPORATED,-121.07114410400391,39.141254425048828
92321960,2024,2024-02-23,9222,2024-02-16,"120 ",020259,,5,3,3,2908,0,1,S,,2,901,SR-89,"DEERFIELD DRIVE",1048.00,S,N,A,-,Y,NEV,,89," "," ",0.138,H,,R,Y,2,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.31787109375,-120.20575714111328,NEVADA,TRUCKEE,-120.20578765869141,39.317852020263672
6914221,2015,2015-05-22,9230,2015-03-08,1600,16569,,7,2,9,2900,0,2,4,,2,072,"RIDGE RD","NEVADA CITY HWY",44.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,1,B,-,22,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",39.248440000000002,-121.02881000000001,NEVADA,UNINCORPORATED,-121.02841617999999,39.248479070000002
9274379,2021,2021-07-12,2901,2021-05-15,1149,JOH10,23,6,5,2,2901,0,0,0,,0,,"BRUNSWICK RD","RT 49",0.00,,Y,A,-,Y,NEV,3,20,-,R,14.662,R,4,W,Y,2,0,1,4,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,NEVADA,"GRASS VALLEY",-121.03844451904297,39.233757019042969
90130845,2015,2016-03-07,9222,2015-10-15,1400,019272,,4,2,9,2900,0,1,1,,2,021,"I-80 WESTBOUND","CASTLE PEAK U/C",1584.00,W,N,A,-,Y,,,80,,,,,,W,Y,1,1,1,4,A,-,08,22107,,N,C,C,A,A,D,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",39.337850000000003,-120.35227,NEVADA,UNINCORPORATED,-120.35229618,39.337884299999999
90760282,2018,2018-07-02,9222,2018-06-22,1220,017091,,5,1,3,2908,0,1,1,,2,023,"INTERSTATE 80 WESTBOUND","OVERLAND TRAIL ROAD",3168.00,E,N,A,-,Y,,,80,,,,,,W,Y,2,0,1,1,A,-,01,23152,F,N,E,I,A,A,H,-,A,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.360679626464844,-120.13670349121094,NEVADA,TRUCKEE,-120.13652801513672,39.360088348388672
91546873,2021,2021-08-17,9230,2021-07-21,1054,018098,,3,1,9,2900,0,1,3,,1,031,"SR-49 N/B","COMBIE ROAD",15.00,S,N,A,-,Y,,,49,,,,,,N,Y,2,0,1,3,A,-,11,21954,A,N,G,C,B,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,0,0,0,0,0,0,0,"- ","- ",39.042518615722656,-121.09464263916016,NEVADA,UNINCORPORATED,-121.09465026855469,39.042522430419922
91569704,2021,2021-09-14,9230,2021-09-03,1929,017539,,5,2,9,2900,0,1,3,,1,071,"SR-20 E/B","PENN VALLEY DRIVE",885.00,W,N,A,-,Y,,,20,,,,,,E,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,A,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.201469421386719,-121.22557830810547,NEVADA,UNINCORPORATED,-121.22557067871094,39.201492309570312
91658533,2021,2021-12-22,9230,2021-12-17,1744,020059,,5,2,2,2901,0,1,3,,1,031,"STATE ROUTE 49","MCKNIGHT WAY",1400.00,S,N,B,-,Y,,,,,,,,,,N,2,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.197101593017578,-121.05029296875,NEVADA,"GRASS VALLEY",-121.05632781982422,39.197437286376953
94423161,2024,2024-10-25,9230,2024-10-05,"117 ",021433,,6,3,9,2900,0,3,5,,2,030,"MCCOURTNEY RD","BONNIE VIEW WAY",603.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,I,A,A,H,-,C,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.202579498291016,-121.08091735839844,NEVADA,UNINCORPORATED,-121.08096313476562,39.202678680419922
94719624,2025,2025-06-10,9222,2025-05-28,1959,023587,,3,2,9,2900,0,3,5,,2,020,"DONNER PASS ROAD (SODA SPRINGS)","RT 80",264.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,8,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.325611114501953,-120.39385223388672,NEVADA,UNINCORPORATED,-120.19365692138672,39.325630187988281
6558475,2014,2014-08-13,9230,2014-05-28,0130,016588,,3,3,9,2900,0,3,5,,2,030,"WOLF RD","HAWKEYE LN",75.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,E,J,A,A,H,-,D,D,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",39.080080000000002,-121.13341,NEVADA,UNINCORPORATED,-121.13319328,39.080116029999999
90008097,2015,2015-10-19,9230,2015-08-05,2025,016843,,3,2,9,2900,0,1,3,,1,071,"STATE ROUTE 20","PENN VALLEY DRIVE",3168.00,E,N,A,-,Y,,,20,,,,,,,Y,2,0,2,2,C,-,18,,,N,D,H,A,A,H,-,D,D,0,,,Y,,Y,,-,"- ",1,1,0,0,0,0,0,0,2,"- ","- ",39.205060000000003,-121.15956,NEVADA,UNINCORPORATED,-121.15958286999999,39.205151809999997
91367347,2020,2020-12-15,9230,2020-12-11,1330,020059,,5,1,9,2900,0,3,5,,2,030,"MCCOURTNEY RD","BONNIE VIEW WAY",220.00,E,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.202548980712891,-121.08268737792969,NEVADA,UNINCORPORATED,-121.08229827880859,39.202713012695312
6484066,2014,2014-07-29,9230,2014-05-04,1810,14289,,7,2,9,2900,0,3,5,,2,070,"INDIAN SPRINGS RD","EDDY RANCH RD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,J,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.177100000000003,-121.18516,NEVADA,UNINCORPORATED,-121.1850499,39.177059989999997
6865759,2015,2015-04-09,9230,2015-03-21,1710,017889,,6,2,9,2900,0,3,5,,2,060,"TYLER FOOTE RD","BLACK SANDS MINE RD",577.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,01,23152,A,F,A,C,A,A,B,-,A,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,NEVADA,UNINCORPORATED,-120.97254137,39.390885590000003
90009193,2015,2015-10-19,9230,2015-07-30,0020,016665,,4,3,9,2900,0,1,3,,1,061,"SR-49 N/B","N EDGE OF YUBA RIVER BRIDGE",4224.00,N,N,A,-,Y,,,49,,,,,,N,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.296100000000003,-121.10496000000001,NEVADA,UNINCORPORATED,-121.10495616,39.296100600000003
