CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90727035,1,1,Y,M,67,B,-,E,M,H,Y,-,3,-,,31,22107,,A,-,0,1,C,2006,TOYT,A,07,,W,,-,-,2018
90307784,1,1,Y,M,25,G,G,S,L,H,Y,-,3,-,-,"- ",,,N,-,0,3,B,1995,FORD,A,07,,H,,-,-,2016
91777977,1,1,Y,M,76,A,-,S,M,H,Y,-,3,-,-,"- ",,,N,-,1,0,C,2002,GMC,D,22,,W,,-,-,2022
91888141,1,1,N,M,37,A,I,E,L,G,N,-,3,-,-,"- ",,,N,-,0,1,C,2005,FORD,A,01,,W,,-,-,2022
90773621,1,1,Y,M,60,A,-,S,L,G,Y,-,3,-,-,"- ",,,E,-,0,1,E,2016,DODG,D,22,,W,,-,-,2018
90773621,2,1,N,M,54,C,-,N,L,G,N,-,3,-,-,"- ",,,E,-,0,1,B,2004,DODG,A,07,,W,,-,-,2018
90973032,1,1,Y,M,34,-,E,S,L,G,N,-,3,-,,25,22350,,A,-,0,0,B,2015,TOYT,A,01,,W,,-,-,2019
90973032,2,1,N,M,26,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,1,A,2014,NISS,A,01,,W,,-,-,2019
92321960,1,1,Y,M,33,B,-,N,L,H,N,-,4,-,,25,22350,,A,-,0,1,B,2006,HUMM,A,07,,H,,-,-,2024
92321960,2,5,N,M,50,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,0,B,2003,CATERPILLER,K,45,,W,,-,-,2024
6914221,1,1,N,M,64,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,SUZUKI,C,02,,W,,-,-,2015
9274379,1,1,Y,M,65,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,-,A,01,,W,,-,-,2021
9274379,2,1,N,M,44,A,-,W,M,-,Y,-,3,-,-,"- ",,,N,-,0,0,A,2016,-,D,22,,W,,-,-,2021
9274379,3,1,N,M,46,A,-,W,M,-,Y,-,3,-,-,"- ",,,N,-,0,0,A,2004,-,A,01,,W,,-,-,2021
9274379,4,1,N,F,57,A,-,W,M,-,Y,-,3,-,-,"- ",,,N,-,0,0,A,2013,HYUNDAI,A,01,,W,,-,-,2021
90130845,1,1,Y,M,53,G,G,W,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,R,2007,CHEV,D,22,,W,,-,-,2015
90130845,2,1,N,M,58,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2008,JDEER,K,45,,W,,-,-,2015
90130845,3,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2013,INTL,K,45,,,,-,-,2015
90130845,4,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1996,FORD,K,45,,,,-,-,2015
90760282,1,1,Y,M,63,-,E,W,L,B,Y,-,3,-,,31,22107,,A,-,0,1,R,2004,NISS,A,07,,W,,-,-,2018
91569704,1,1,Y,M,28,A,-,E,L,B,Y,-,4,-,-,"- ",,,N,-,0,1,B,1997,SUBA,A,01,,W,,-,-,2021
91569704,2,1,N,M,32,A,-,E,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,PTRB,F,27,,H,,-,-,2021
91658533,1,1,Y,M,20,B,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,DODG,A,01,,W,,-,-,2021
91658533,2,1,N,M,76,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2007,TOYT,A,01,,W,,-,-,2021
94423161,1,1,Y,M,22,B,-,W,L,G,N,-,4,-,,31,22107,,A,-,0,1,M,2006,TOYT,A,07,,W,,-,-,2024
94719624,1,1,Y,M,23,A,-,W,L,G,Y,-,3,-,-,"- ",,,H,-,0,1,B,2013,BMW,A,01,,H,,-,-,2025
6558475,1,1,Y,M,20,B,-,E,L,G,Y,-,3,-,,31,22107,,A,-,0,2,N,2001,VOLKSWAGEN,A,01,,W,,-,-,2014
90008097,1,1,N,F,48,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,"TOYOTA ",A,01,,W,,-,-,2015
