CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291546,2014,2016-01-07,3003,2014-09-06,2047,1124,35,6,5,5,3003,0,0,0,,0,001,"COMMONWEALTH AV","INDIANA AV",31.00,W,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",33.521299999999997,-117.59220000000001,ORANGE,"BUENA PARK",-117.98961189000001,33.869909999999997
6664894,2014,2014-11-06,3015,2014-09-27,1459,1515,51,6,5,6,3015,0,0,0,,0,001,"CHAPMAN AV","FELDNER ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,ORANGE,ORANGE,-117.87051004,33.787900059999998
6856798,2015,2015-03-28,3019,2015-03-04,1639,2875,SE,3,5,7,3019,0,0,0,,0,003,"SANTA ANA BL","BRISTOL ST",11.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,D,-,00,,,N,H,G,A,A,H,-,A,A,0,,Y,Y,,Y,,-,"- ",1,0,0,0,0,0,1,0,0,"- ","- ",,,ORANGE,"SANTA ANA",-117.8852061,33.74794
6867443,2015,2016-09-19,9675,2015-03-15,2357,020594,,7,3,7,3019,0,1,1,,2,502,"RT 5","RT 55",40.00,N,N,A,-,Y,ORA,12,5,-,-,31.311,R,2,S,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,C,D,1,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,TO,"- ",,,ORANGE,"SANTA ANA",-117.84557198,33.750902240000002
8034909,2016,2016-05-09,3000,2016-03-24,2330,2742,992J4,4,5,5,3017,0,0,0,,0,778,"SOUTH EL CAMINO REAL","AVENIDA GRANADA",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,Y,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,ORANGE,"SAN CLEMENTE",-117.6121301,33.427030049999999
8132707,2016,2017-03-03,3000,2016-10-02,1719,7734,921-J,7,5,5,3028,0,0,0,,0,752,"ALICIA PKWY","RT 5",96.00,E,N,A,-,Y,ORA,12,5,-,-,17.297,R,4,N,Y,2,0,1,3,A,-,07,21658,A,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ",NF,,,ORANGE,"MISSION VIEJO",-117.68798733,33.603064609999997
91480835,2021,2021-05-25,9675,2021-05-16,1842,020923,,7,2,9,3000,0,1,3,,2,241,"SR-241 N/B","BEE CYN RD",900.00,N,N,B,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",33.719959259033203,-117.19773101806641,ORANGE,UNINCORPORATED,,
91726605,2022,2022-03-18,9675,2022-03-09,1851,021633,,3,2,7,3019,0,1,3,,2,222,"SR-22 E/B TO I-5 S/B","LA VETA AVENUE",1885.00,E,N,A,-,Y,ORA,,5,,,33.803,H,,L,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",33.776348114013672,-117.87454223632812,ORANGE,"SANTA ANA",-117.87439727783203,33.776432037353516
91978006,2022,2023-01-26,9675,2022-11-08,2113,022536,,2,2,6,3015,0,1,1,,2,502,"I-5 NORTHBOUND","CHAPMAN AVENUE",765.00,S,N,B,-,Y,ORA,,5,,,34.825,H,,R,Y,1,1,2,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",33.787590026855469,-117.88545227050781,ORANGE,ORANGE,-117.88548278808594,33.787574768066406
82233854,2023,2023-11-14,3008,2023-09-26,"659 ",1582,"ZONE ",2,5,6,3008,0,0,0,,0,,"CHAPMAN AVE","ACACIA AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,07,1,0,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,FULLERTON,-117.89833068847656,33.874164581298828
