CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6291546,1,2,Y,M,58,B,-,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,R,,-,N,60,,H,,-,-,2014
6291546,2,1,N,F,24,A,-,W,M,G,Y,-,3,-,,25,22350,,A,-,0,0,B,2012,FIAT,A,01,,H,,-,-,2014
6664894,1,4,Y,M,37,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,Q,,-,L,04,,W,,-,-,2014
6664894,2,1,N,M,40,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,TOYOTA,-,,,H,,-,-,2014
6856798,1,1,N,M,43,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,HARLEY-DAVIDSON,O,05,,A,,-,-,2015
6856798,2,4,N,M,61,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2015
8034909,1,2,N,F,23,D,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2016
8034909,2,1,Y,M,22,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1998,HONDA,A,01,,O,,-,-,2016
8132707,1,1,N,M,55,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,NISSAN,D,22,,H,,-,-,2016
8132707,2,1,N,M,17,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,BMW,A,07,,W,,-,-,2016
8132707,3,1,Y,M,33,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2011,VOLKSWAGEN,A,01,,O,,-,-,2016
91480835,1,1,Y,F,35,B,-,S,L,G,Y,-,3,-,,31,22107,,A,-,0,1,R,2015,HOND,A,01,,H,,-,-,2021
91726605,1,1,Y,M,25,A,-,E,P,W,Y,-,3,-,-,"- ",,,H,-,0,1,R,2022,KAWA,C,02,,H,,-,-,2022
84664532,1,1,Y,M,27,A,-,N,M,-,Y,-,3,-,-,"- ",,,N,-,0,1,B,2019,KAWASAKI,C,02,,,,-,-,2025
84664532,2,1,N,F,31,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2017,JEEP,A,07,,,,-,-,2025
90324846,1,1,N,M,19,A,-,N,P,W,Y,-,3,-,,25,22350,,A,-,0,1,B,1999,HARL,C,02,,W,,-,-,2016
90324846,2,1,Y,-,998,G,G,N,B,B,N,-,3,-,-,"- ",,,N,-,0,0,J,,-,-,99,,,,-,-,2016
90324846,3,1,N,F,42,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1999,HOND,A,07,,H,,-,-,2016
90600521,1,1,Y,M,49,B,-,E,L,H,Y,-,3,-,,25,22350,,A,-,0,3,B,2017,SUBA,A,01,,H,,-,-,2017
90600521,2,1,N,F,20,D,-,E,L,H,Y,-,3,-,-,"- ",,,I,-,0,1,A,2012,HONDA,A,01,,W,,-,-,2017
82112446,1,1,Y,M,36,G,G,E,M,-,N,-,3,-,-,"- ",,,A,-,0,1,B,1993,JEEP,A,07,,W,,-,-,2023
82112446,2,1,N,F,29,A,-,N,L,G,Y,-,2,-,-,"- ",,,N,-,0,1,B,2018,JEEP,A,07,,W,,-,-,2023
82112446,3,1,N,M,37,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2020,TOYOTA,A,07,,A,,-,-,2023
82112446,4,1,N,F,43,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,1999,CHEVROLET,D,22,,W,,-,-,2023
9098682,1,1,Y,F,49,A,-,W,M,G,Y,-,3,-,,31,22100,A,A,-,0,0,D,2015,-,A,01,,A,,-,-,2020
