CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8896813,2017,2019-07-12,3105,2017-04-11,1335,369,,2,5,5,3105,0,0,0,,0,001,"ROSEVILLE PKWY","GALLERIA BL",0.00,,Y,B,-,N,,,,,,,,,,Y,2,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",,,PLACER,ROSEVILLE,-121.26589996,38.76887
9593503,2023,2023-10-20,3105,2023-06-12,"930 ",1172,,1,5,5,3105,0,0,0,,0,003,"WHYTE AV","AUBURN RD",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,PLACER,ROSEVILLE,-121.29043579101562,38.722087860107422
90473679,2017,2017-06-08,9220,2017-05-20,1720,012773,,6,2,9,3100,0,1,3,,1,267,"SR-65 S/B","RIOSA RD",200.00,S,N,A,-,Y,,,65,,,,,,S,Y,2,0,2,2,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",38.978079999999999,-121.38208,PLACER,UNINCORPORATED,-121.38232956,38.977972940000001
90574902,2017,2017-10-20,9220,2017-10-06,2050,013856,,5,2,9,3100,0,1,1,,2,282,"I-80 W/B","OPHIR RD.",422.00,W,N,A,-,Y,,,80,,,,,,W,Y,2,0,1,1,A,-,03,22350,,N,E,J,A,A,C,-,D,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.88391,-121.10218999999999,PLACER,UNINCORPORATED,-121.10226394999999,38.884031129999997
90946298,2019,2019-03-14,9220,2019-03-11,1650,017818,,1,2,3,3101,0,1,1,,2,283,"I-80 E/B","ELM AVE.",125.00,E,N,A,-,Y,,,80,,,,,,E,Y,2,0,2,2,A,-,01,23152,A,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,2,0,0,0,0,0,0,0,2,"- ","- ",38.903911590576172,-121.07131958007812,PLACER,AUBURN,-121.07138061523438,38.9039306640625
91115008,2019,2019-11-06,9220,2019-11-02,1240,016429,,6,1,9,3100,0,2,4,,2,024,"EUREKA RD","HILLSBOROUGH DR",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",38.44110107421875,-121.13230133056641,PLACER,UNINCORPORATED,-121.22319793701172,38.736640930175781
91800789,2022,2022-06-22,9220,2022-02-05,0024,020072,,6,3,5,3105,0,1,1,,2,281,"I-80 W/B","ROSEVILLE PARKWAY",1.00,W,N,A,-,Y,PLA,,80,,,3.425,H,,L,Y,1,2,0,3,A,-,08,22107,,M,G,B,E,A,H,-,C,D,0,Y,,,,Y,Y,A,07,0,0,0,2,0,0,0,0,0,"- ","- ",38.762821197509766,-121.25865173339844,PLACER,ROSEVILLE,-121.25868988037109,38.762836456298828
8968924,2018,2019-11-04,3105,2018-11-13,1500,343,,2,5,5,3105,0,0,0,,0,002,"S CIRBY WY","PIEDMONT WY",173.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",38.728641510009766,-121.25370025634766,PLACER,ROSEVILLE,-121.25328826904297,38.728477478027344
90201489,2016,2016-06-14,9220,2016-06-03,0710,014343,,5,1,9,3100,0,2,4,,2,022,"DOUGLAS BLVD","QUAIL OAKS DR",563.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.743769999999998,-121.2157,PLACER,UNINCORPORATED,-121.21585594,38.743850029999997
91107073,2019,2019-10-25,9220,2019-10-18,0932,013997,,5,1,9,3100,0,3,5,,2,040,"BALD HILL ROAD","MOUNT VERNON ROAD",528.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,F,21,1,0,0,0,0,0,0,0,0,"- ","- ",38.919380187988281,-121.11541748046875,PLACER,UNINCORPORATED,-121.11491394042969,38.919574737548828
