CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6678415,2014,2016-06-13,9165,2014-10-11,1300,018506,,6,1,9,3200,0,1,3,,2,051,"RT 70","DELLEKER RD",3696.00,E,N,A,-,Y,PLU,2,70,-,-,74.830,H,-,W,Y,2,0,2,2,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,2,0,0,0,0,0,0,0,2,"- ","- ",39.808120000000002,-120.48719,PLUMAS,UNINCORPORATED,-120.48775087999999,39.808135479999997
90366681,2017,2017-02-10,9165,2017-01-03,1942,019993,,2,2,9,3200,0,1,3,,2,032,SR-70,"BUTTERFLY VALLEY ROAD",528.00,W,N,C,D,Y,,,70,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,C,H,-,D,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.008130000000001,-120.96536,PLUMAS,UNINCORPORATED,-120.96541525000001,40.008060460000003
6854619,2015,2015-05-20,9165,2015-03-16,0540,16297,,1,3,9,3200,0,1,3,,2,041,"RT 89","GREENVILLE WOLF CREEK RD",7920.00,N,N,B,-,Y,PLU,2,89,-,-,24.690,H,-,S,Y,1,1,0,1,A,-,03,22350,,N,F,A,A,A,H,-,D,D,0,,,,Y,Y,,G,27,0,0,0,0,0,0,0,0,0,"- ","- ",40.175519999999999,-120.99599000000001,PLUMAS,UNINCORPORATED,-120.98332658,40.174354200000003
91599262,2021,2021-10-18,9165,2021-09-27,1950,019282,,1,2,9,3200,0,3,5,,2,002,"OROVILLE-QUINCY HIGHWAY","USFS ROAD 23N73Y",1584.00,E,N,C,E,N,,,,,,,,,,Y,1,1,2,1,A,-,03,22350,,N,E,I,A,B,H,-,B,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.858699798583984,-121.27134704589844,PLUMAS,UNINCORPORATED,,
91899561,2022,2022-10-26,9165,2022-10-19,1502,019781,,3,2,9,3200,0,1,3,,2,055,SR-284,"CHILCOOT CAMPGROUND",3696.00,N,N,A,-,Y,PLU,,284,,,6.190,H,,R,Y,2,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",39.872570037841797,-120.17755126953125,PLUMAS,UNINCORPORATED,-120.17752075195312,39.872573852539062
91034868,2019,2019-07-22,9165,2019-07-13,1350,019416,,6,1,9,3200,0,3,5,,2,004,"PECKS VALLEY RD","COUNTRY ROAD",170.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",40.152690887451172,-120.93389129638672,PLUMAS,UNINCORPORATED,-120.93400573730469,40.152755737304688
92161632,2023,2023-09-04,9165,2023-08-29,1820,019282,,2,2,9,3200,0,1,3,,2,030,SR-70,"RODGERS FLAT",4752.00,E,N,A,-,Y,PLU,,70," "," ",10.712,H,,R,Y,2,0,1,1,A,-,03,22350,,N,F,0,A,A,C,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.969558715820312,-121.27574157714844,PLUMAS,UNINCORPORATED,-121.27574157714844,39.969562530517578
90578682,2017,2017-10-25,9165,2017-10-04,1630,018046,,3,2,9,3200,0,1,3,,2,030,SR-70,"STORRIE ROAD",1584.00,W,N,A,-,Y,,,70,,,,,,,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",39.910469999999997,-121.32928,PLUMAS,UNINCORPORATED,-121.32930408999999,39.910503480000003
92438485,2024,2024-07-15,9165,2024-07-06,1845,020569,,6,2,9,3200,0,1,3,,2,051,SR-70,"SR-89 (S)",0.00,,Y,A,-,Y,PLU,,70," ",R,66.630,H,,R,Y,2,0,1,2,A,-,09,21801,A,N,D,2,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.784370422363281,-120.62007141113281,PLUMAS,UNINCORPORATED,-120.62002563476562,39.784423828125
91077594,2019,2019-09-18,9165,2019-09-10,1737,018046,,2,2,9,3200,0,1,3,,2,011,SR-70,"CHANDLER ROAD",266.00,W,N,B,-,Y,,,70,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.936668395996094,-120.86367034912109,PLUMAS,UNINCORPORATED,-120.8636474609375,39.936550140380859
