CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6854619,1,1,Y,M,40,G,G,S,M,H,Y,-,3,-,-,"- ",,,N,-,1,0,B,2014,KENWORTH,G,27,38,W,,-,-,2015
91599262,1,1,Y,F,17,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,2,H,2004," HONDA",A,01,,W,,-,-,2021
91899561,1,1,Y,F,20,B,-,S,M,G,Y,-,3,-,,31,22107,,A,-,0,2,M,2000," CHEVROLET",A,07,,W,,-,-,2022
92161632,1,1,Y,M,22,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013," HONDA",C,02,,W,,-,-,2023
90578682,1,1,Y,F,67,G,G,E,M,G,Y,-,3,-,-,"- ",,,N,-,1,1,C,2005,DODGE,A,08,,W,,-,-,2017
91077594,1,1,Y,M,35,B,-,W,M,H,N,-,3,-,,31,22107,,A,-,0,1,B,2004,JEEP,A,07,,W,,-,-,2019
92134371,1,1,Y,M,46,A,-,E,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2022,APRILIA,C,02,,W,,-,-,2023
91193610,1,1,Y,M,45,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2014,PTRB,G,25,31,W,,-,-,2020
90622462,1,1,Y,F,36,B,-,W,M,H,N,-,3,-,,25,22350,,A,-,1,0,B,2001,CHEV,A,07,,W,,-,-,2017
90325396,1,1,Y,M,25,A,-,W,L,G,Y,-,1,-,-,"- ",,,F,-,0,1,C,2004,FORD,A,07,,W,A,-,-,2016
91958494,1,1,Y,M,34,A,-,W,P,X,N,-,3,-,-,"- ",,,J,-,0,2,M,2003,POLARIS,M,96,,B,,-,-,2022
90768565,1,1,Y,F,39,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2003,TOYOTA,A,01,,W,,-,-,2018
94407169,1,1,Y,M,23,B,-,W,P,P,N,-,3,-,,31,22107,,A,-,0,1,B,,"CLUB CAR",M,96,,W,,-,-,2024
90508549,1,1,Y,M,57,B,-,E,M,H,N,-,3,-,,33,21801,A,A,-,0,1,E,2004,JEEP,A,07,,W,,-,-,2017
90508549,2,1,N,M,53,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2006,NISSAN,D,22,,W,,-,-,2017
90288849,1,1,Y,M,51,B,-,W,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,1998,JEEP,A,07,,W,,-,-,2016
94435554,1,1,Y,M,75,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2006,HD,C,02,,W,,-,-,2024
6678281,1,1,Y,F,45,B,E,E,L,G,Y,-,3,-,,25,22350,,A,-,1,0,C,2004,TOYOTA,A,01,,W,,-,-,2014
6678281,2,1,N,M,46,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,5,B,2004,FORD,D,22,,W,,-,-,2014
6678281,3,1,N,F,57,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,FORD,A,07,,W,,-,-,2014
91471684,1,1,N,M,62,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2018," FREIGHTLINER",F,25,,W,,-,-,2021
91471684,2,1,Y,F,38,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,3,I,1992," LEXUS",A,01,,W,,-,-,2021
91844181,1,1,Y,M,42,-,E,E,M,H,N,-,3,-,,31,22107,,A,-,1,2,C,1998," SUBARU",A,01,,W,,-,-,2022
6621616,1,1,Y,M,61,A,-,S,P,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
6621616,2,1,N,M,46,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,H,2003,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
92117744,1,1,Y,F,21,A,-,S,M,G,Y,-,3,-,,34,21950,A,A,F,0,1,E,2000," TOYOTA",D,22,,W,D,-,-,2023
92117744,2,2,N,M,41,G,G,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2023
6955066,1,1,Y,M,66,B,E,E,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,1997,CHEVROLET,A,07,,W,,-,-,2015
92270191,1,1,Y,M,31,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1996," TOYOTA",A,07,,W,,-,-,2023
6791557,1,1,Y,M,24,G,G,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,1999,TOYOTA,A,01,,W,,-,-,2015
91128570,1,1,Y,M,72,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2001,DODGE,D,22,,W,,-,-,2019
91841627,1,1,Y,M,46,-,E,N,L,H,Y,-,4,-,,31,22107,,A,-,1,0,C,2005,DODG,D,22,,W,,-,-,2022
90399837,1,1,Y,F,31,A,-,N,P,V,N,-,3,-,-,"- ",,,N,-,0,2,B,1994,ARCA,M,96,,W,,-,-,2017
90906968,1,1,Y,F,31,A,-,W,L,G,Y,-,3,-,-,"- ",,,F,-,0,1,C,2017,JEEP,A,07,,B,G,-,-,2019
