CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6419821,2014,2014-06-24,3313,2014-03-21,1219,1488,N,5,5,7,3313,0,0,0,,0,M20,"14TH ST","HOWARD ST",14.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,-,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ","- ",,,RIVERSIDE,RIVERSIDE,-117.36979943,33.972171869999997
6582341,2014,2016-06-03,9685,2014-07-25,1645,012453,,5,2,3,3343,0,1,1,,2,010,"RT 15","BUNDY CANYON RD",421.00,N,N,A,-,Y,RIV,8,15,-,-,16.410,H,-,N,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",33.628019999999999,-117.27367,RIVERSIDE,WILDOMAR,-117.27347260000001,33.628011520000001
6609842,2014,2016-05-10,9685,2014-08-24,0147,016150,,7,3,4,3342,0,1,1,,2,034,"RT 215","MURRIETA HOT SPRINGS RD",750.00,S,N,A,-,Y,RIV,8,215,-,R,9.370,H,-,N,N,2,0,1,1,A,-,01,23152,A,N,H,A,A,A,H,-,D,D,1,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",33.55444,-117.18066,RIVERSIDE,MURRIETA,-117.18070758,33.554794270000002
6890119,2015,2015-05-08,3313,2015-03-21,0332,1687,WEST,6,5,7,3313,0,0,0,,0,A425,"WELLS AV","WARREN ST",117.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,A,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,RIVERSIDE,RIVERSIDE,-117.4603311,33.934693150000001
7006217,2015,2017-03-29,3300,2015-02-13,2030,N3672,916B,5,5,4,3312,0,0,0,,0,032,"PERRIS BL","NUEVO RD",325.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,RIVERSIDE,PERRIS,-117.22620999999999,33.801973150000002
7098564,2015,2015-10-20,3313,2015-10-04,0628,1683,C,7,5,7,3313,0,0,0,,0,A139,"JACKSON ST","COLORADO AV",0.00,,Y,C,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21955,,N,G,B,B,B,H,-,B,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,RIVERSIDE,RIVERSIDE,-117.44930005000001,33.936970000000002
94433644,2024,2024-10-16,9655,2024-10-07,1915,023543,,1,2,9,3300,0,1,3,,1,314,SR-74,"STRAWBERRY CREEK BRIDGE",800.00,E,N,A,-,Y,RIV,,74," "," ",53.616,H,,R,Y,2,0,1,1,A,-,01,23152,A,M,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",33.709621429443359,-116.76744842529297,RIVERSIDE,UNINCORPORATED,-116.76746368408203,33.709510803222656
91909646,2021,2022-11-04,9840,2021-10-23,0247,021042,,6,3,6,3345,0,1,3,,2,010,"SR-60 EASTBOUND","MISSION BOULEVARD",1370.00,W,N,A,-,Y,,,60,,,,,,E,Y,1,1,2,3,A,-,08,22107,,N,C,C,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",34.017848968505859,-117.53204345703125,RIVERSIDE,"JURUPA VALLEY",-117.53204345703125,34.017829895019531
91921185,2022,2022-11-18,9840,2022-11-06,2122,020659,,7,2,6,3394,0,1,3,,2,025,"SR-60 E/B","GILMAN SPRINGS RD.",1430.00,W,N,A,-,Y,RIV,,60,,,21.827,H,,R,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",33.937999725341797,-117.13149261474609,RIVERSIDE,"MORENO VALLEY",-117.13148498535156,33.938091278076172
92156146,2023,2023-08-28,9840,2023-05-03,1220,015444,,3,1,9,3300,0,2,4,,2,045,"CAJALCO RD","SEATON AVENUE",0.00,,Y,B,-,N,,,,,,,,,,Y,1,1,3,2,A,-,08,22101,D,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",33.837440490722656,-117.26158142089844,RIVERSIDE,UNINCORPORATED,-117.26158905029297,33.837371826171875
92180244,2023,2023-09-26,9840,2023-09-16,"803 ",017715,,6,1,9,3300,0,2,4,,2,045,"NORTH DR","13TH ST",582.00,N,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,F,B,C,A,A,H,-,A,D,0,,,,,Y,,-,99,1,0,0,0,0,0,0,0,0,"- ","- ",33.806171417236328,-117.13346862792969,RIVERSIDE,UNINCORPORATED,-117.13344573974609,33.806083679199219
