CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6583523,2014,2014-08-27,9252,2014-07-16,1835,016747,,3,2,9,3400,0,3,5,,2,076,"BRADSHAW RD","FLORIN RD",115.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,3,A,-,07,21658,A,F,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.495109999999997,-121.3351,SACRAMENTO,UNINCORPORATED,-121.33491336,38.495984200000002
6616900,2014,2014-09-17,9250,2014-07-29,1335,15518,,2,1,9,3400,0,2,4,,1,014,"ELKHORN BL","ELKHORN MANOR DR",85.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21650,1,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,SACRAMENTO,UNINCORPORATED,-121.45441778999999,38.683892610000001
6676089,2014,2014-11-13,9250,2014-09-29,1940,16434,,1,2,9,3400,0,3,5,,2,040,"ETHAN WY","WATERFORD WY",58.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,08,22103,,N,F,I,A,A,H,-,C,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,SACRAMENTO,UNINCORPORATED,-121.41995,38.60042928
6773475,2014,2015-02-24,340H,2014-12-25,1339,10580,1207,4,5,5,3450,0,0,0,,0,001,"LESNAR WY","LESNAR WY 9289",0.00,,N,A,-,N,,,,,,,,,,N,2,0,2,3,A,-,03,22350,,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,Y,A,01,1,0,1,0,2,0,0,0,0,"- ","- ",,,SACRAMENTO,"ELK GROVE",-121.45755351,38.41987949
7102333,2015,2015-10-26,3496,2015-10-06,1850,399,,2,5,5,3496,0,0,0,,0,001,"AUBURN BL","CREEKBED LN",239.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,11,21950,B,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,SACRAMENTO,"CITRUS HEIGHTS",-121.31862851,38.680394880000001
7125001,2015,2016-01-29,3404,2015-11-16,1822,8167,,1,5,7,3404,0,0,0,,0,04C,"RUSH RIVER DR","WINDBRIDGE DR",600.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,SACRAMENTO,SACRAMENTO,-121.53564513000001,38.485403820000002
94601394,2025,2025-03-18,9250,2025-02-21,1354,021743,,5,1,9,3400,0,2,4,,1,049,"ALTA ARDEN EXPY","WRIGHT ST",27.50,E,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,12,22450,A,F,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",38.598281860351562,-121.40622711181641,SACRAMENTO,UNINCORPORATED,-121.40603637695312,38.598255157470703
94610039,2025,2025-03-18,9250,2025-03-05,1830,021088,,3,2,9,3400,0,2,4,,1,052,"MARCONI AVENUE WESTBOUND","WALNUT AVENUE",698.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",38.617431640625,-121.34864044189453,SACRAMENTO,UNINCORPORATED,-121.34844207763672,38.617401123046875
94715123,2025,2025-06-05,9252,2025-02-13,"455 ",022766,,4,3,9,3400,0,1,1,,2,105,"I-5 S/B","LAMBERT ROAD",105.00,S,N,C,-,Y,SAC,,5," "," ",4.633,H,,L,Y,1,1,0,2,A,-,01,23152,E,N,D,C,A,B,H,-,D,D,0,,,,Y,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.320259094238281,-121.46555328369141,SACRAMENTO,UNINCORPORATED,-121.46556091308594,38.320259094238281
91478835,2021,2021-05-21,9260,2021-05-15,2255,020920,,6,3,9,3400,0,2,4,,2,302,"GREENBACK LN","FAIR OAKS BLVD",358.00,E,N,B,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,A,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.678749084472656,-121.26068878173828,SACRAMENTO,UNINCORPORATED,-121.26097106933594,38.678600311279297
