CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291891,2014,2015-02-02,3501,2014-10-01,1738,10785,3501,3,5,4,3501,0,0,0,,0,DAY,"SAN FELIPE RD","LGT POLE 881-100",645.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,B,-,22,,,N,F,J,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,,
8636134,2018,2018-06-25,3501,2018-03-15,1502,10916,3501,4,5,4,3501,0,0,0,,0,DAY,"SAN FELIPE RD","GATEWAY DR",187.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,4,A,-,08,22107,,N,A,E,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.40167999267578,36.861396789550781
9468842,2023,2023-09-12,3501,2023-06-25,"143 ",11159,3501,7,5,4,3501,0,0,0,,0,GRA,"BUENA VISTA RD","GONZALEZ DR",20.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,D,-,00,,,N,H,A,A,A,H,-,C,D,0,,,Y,,Y,Y,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.42216491699219,36.857479095458984
92018498,2023,2023-03-15,9725,2023-03-04,2050,022985,,6,2,4,3501,0,3,5,,2,005,"MCCLOSKEY ROAD","SAN FELIPE ROAD",1320.00,E,N,B,C,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,G,B,A,B,H,-,C,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",36.869251251220703,-121.39620208740234,"SAN BENITO",HOLLISTER,-121.39658355712891,36.869178771972656
92021050,2023,2023-03-17,9725,2023-03-07,2255,022869,,2,3,9,3500,0,1,2,,1,056,"US-101 N/B","SAN JUAN RD",3696.00,N,N,A,-,Y,SBT,,101," "," ",0.831,H,,R,Y,2,0,1,1,A,-,08,22107,,N,E,8,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.862720489501953,-121.61672973632812,"SAN BENITO",UNINCORPORATED,-121.61673736572266,36.862754821777344
91706839,2022,2022-03-18,9725,2022-02-18,1330,018458,,5,1,9,3500,0,1,3,,2,053,SR-156,"LUCY BROWN ROAD",2500.00,E,N,A,-,Y,SBT,,156,,,4.577,H,,R,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",36.841239929199219,-121.50569152832031,"SAN BENITO",UNINCORPORATED,-121.50569152832031,36.841224670410156
91896451,2022,2022-10-21,9725,2022-10-15,1600,022985,,6,2,4,3501,0,2,4,,1,052,"FAIRVIEW ROAD NORTHBOUND","LISA LANE",150.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,A,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",36.909969329833984,-121.36640167236328,"SAN BENITO",HOLLISTER,-121.36640930175781,36.909927368164062
90421688,2017,2017-03-27,9725,2017-03-25,2030,021660,,6,2,9,3500,0,1,3,,2,053,SR-156,"LUCY BROWN LN",318.00,W,N,B,-,Y,,,156,,,,,,,Y,2,0,2,2,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",36.841290000000001,-121.50963,"SAN BENITO",UNINCORPORATED,-121.50962848,36.84119329
90639706,2017,2019-05-24,9725,2017-09-23,0739,018473,,6,1,9,3500,0,3,5,,2,005,"FRAZER LAKE RD.","SHORE RD.",0.00,,Y,A,-,Y,,,,,,,,,,Y,1,2,4,3,A,-,12,22450,A,N,D,C,A,A,H,-,B,A,0,,,,Y,Y,,A,01,0,2,2,0,0,0,0,0,0,"- ","- ",36.938499999999998,-121.45652,"SAN BENITO",UNINCORPORATED,-121.45653994,36.938600020000003
92223043,2023,2023-10-31,9725,2023-09-24,2210,022334,,7,3,9,3500,0,1,3,,2,055,"STATE ROUTE-156","SAN FELIPE ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,12,21453,A,N,D,2,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.907920837402344,-121.40395355224609,"SAN BENITO",UNINCORPORATED,-121.40392303466797,36.907867431640625
