CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6291891,1,1,N,M,43,G,G,N,M,G,Y,-,3,-,-,"- ",,,J,-,1,0,C,2001,HONDA,A,01,,W,,-,-,2014
8636134,1,1,Y,M,58,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2002,GMC,D,22,,H,,-,-,2018
8636134,2,3,N,-,998,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2013,FORD,D,22,,,,-,-,2018
8636134,3,3,N,-,998,H,H,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2018,CHEVROLET,D,22,,,,-,-,2018
8636134,4,3,N,-,998,H,H,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2018,CHEVROLET,D,22,,,,-,-,2018
9468842,1,1,N,M,25,B,-,E,P,-,,-,3,-,-,"- ",,,-,-,0,1,R,2006,-,C,02,,H,,-,-,2023
92018498,1,1,Y,F,41,B,-,E,M,F,Y,-,3,-,,38,22515,A,A,O,0,1,O,2018,AUDI,A,07,,H,,-,-,2023
92021050,1,1,Y,M,21,A,-,N,L,G,N,-,4,-,-,"- ",,,N,-,0,1,B,2003,HOND,A,01,,H,,-,-,2023
91706839,1,1,Y,F,78,A,-,W,M,H,Y,-,3,-,-,"- ",,,N,-,1,0,C,2016,LINC,A,01,,W,,-,-,2022
91896451,1,1,Y,M,26,A,-,N,P,V,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,YAMA,A,07,,H,,-,-,2022
90421688,1,1,Y,F,23,B,-,E,M,G,N,-,3,-,,27,21460,A,A,-,0,0,N,2012,CHEV,A,01,,H,,-,-,2017
90421688,2,1,N,M,50,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2006,BMW,A,01,,W,,-,-,2017
90639706,1,1,Y,F,56,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,2,0,B,2014,KIA,A,01,,H,,-,-,2017
90639706,2,1,N,M,48,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2017,GMC,A,07,,H,,-,-,2017
90639706,3,1,N,M,27,A,-,E,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2018,KENW,G,25,31,H,,-,-,2017
92223043,1,1,Y,M,31,G,G,S,L,H,Y,-,3,-,-,"- ",,,N,-,1,0,B,2016,HOND,A,01,,H,,-,-,2023
