CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292844,2015,2017-03-27,3608,2015-03-06,2156,4202,3608,5,5,5,3608,0,0,0,,0,,"RT 38","JUDSON ST",0.00,,Y,A,-,Y,SBD,8,38,-,-,2.070,I,5,W,Y,1,1,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,Y,C,02,0,0,1,0,0,0,0,1,0,"- ","- ",,,"SAN BERNARDINO",REDLANDS,-117.15632017999999,34.070089719999999
6546658,2014,2016-04-15,9860,2014-05-09,1725,020559,,5,2,4,3603,0,1,1,,2,103,"RT 10","MT VERNON AV",400.00,E,N,A,-,Y,SBD,8,10,-,R,23.330,H,-,E,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",34.064799999999998,-117.31229999999999,"SAN BERNARDINO",COLTON,-117.31229229,34.064829160000002
7006535,2015,2015-12-30,3601,2015-10-08,1025,P74,VVSUP,4,5,3,3601,0,0,0,,0,PATROL,"N 1ST AV","LAWRENCE DALE DR",91.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,Y,A,08,0,0,0,0,0,0,0,1,0,"- ","- ",,,"SAN BERNARDINO",BARSTOW,-117.02407569,34.905296980000003
8328605,2017,2017-03-23,3609,2017-02-05,0423,0773,3609,7,5,5,3609,0,0,0,,0,002,"N TERRACE RD","N MERIDIAN AV",50.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,03,22349,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",34.656820000000003,-117.18864000000001,"SAN BERNARDINO",RIALTO,-117.34841529000001,34.120800000000003
8404918,2018,2020-05-26,3609,2018-01-28,2124,7565,,7,5,5,3609,0,0,0,,0,004,"LILAC AV","ORCHARD ST",55.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.089870452880859,-117.22447204589844,"SAN BERNARDINO",RIALTO,-117.37906646728516,34.089908599853516
8826527,2019,2019-06-20,3600,2019-01-23,0059,C9389,CH049,3,5,5,3630,0,0,0,,0,CH3,"RT 142","EDISON POLE #1525122E",135.00,N,N,A,-,Y,SBD,8,142,-,-,3.690,H,-,W,Y,2,0,1,1,A,-,03,22350,,F,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN BERNARDINO","CHINO HILLS",-117.74294281005859,33.978794097900391
91744047,2022,2022-04-08,9855,2022-03-26,0013,021715,,6,3,5,3611,0,1,1,,2,103,"I-10 E/B (SAN BERNARDINO FWY)","EUCLID AVE.",1500.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,5,2,A,-,03,22350,,N,C,C,A,A,D,-,C,D,0,,,,,Y,Y,A,01,1,3,1,0,0,0,0,0,0,"- ","- ",34.08258056640625,-117.65904998779297,"SAN BERNARDINO",UPLAND,-117.65109252929688,34.087268829345703
92105164,2023,2023-06-29,9850,2023-06-21,1205,019278,,3,1,9,3600,0,3,5,,2,002,"SUMMIT VALLEY ROAD",SR-138,3696.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",34.332809448242188,-117.39868927001953,"SAN BERNARDINO",UNINCORPORATED,-117.39842987060547,34.332466125488281
92160569,2023,2023-09-01,9860,2023-08-19,"318 ",022736,,6,3,6,3610,0,1,1,,2,214,"I-215 S/B","2ND ST",1901.00,S,N,A,-,Y,SBD,,215," "," ",6.501,H,,L,Y,2,0,1,2,A,-,01,23152,A,M,C,C,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",34.098308563232422,-117.30204772949219,"SAN BERNARDINO","SAN BERNARDINO",-117.30204772949219,34.098308563232422
92246849,2023,2023-11-28,9865,2023-11-21,1320,018881,,2,1,9,3600,0,1,3,,2,015,SR-189,"GREENWAY DRIVE",260.00,E,N,A,-,N,,,,,,,,,,N,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",34.249969482421875,-117.19629669189453,"SAN BERNARDINO",UNINCORPORATED,-117.19635009765625,34.24993896484375
