CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6505324,2014,2014-07-31,3710,2014-05-15,1334,OC1095,,4,5,6,3710,0,0,0,,0,017,DOUGLAS,"VIA MALAGUENA",1490.00,S,N,A,-,N,,,,,,,,,,Y,2,0,5,2,A,-,08,22107,,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,2,3,0,0,0,0,0,0,0,"- ","- ",,,"SAN DIEGO",OCEANSIDE,-117.30580902,33.268295500000001
6576591,2014,2016-05-28,9680,2014-07-14,1820,019490,,1,2,5,3705,0,1,1,,2,082,"RT 8","2ND ST",2640.00,W,N,A,-,Y,SD,11,8,-,-,16.850,H,-,E,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",32.802909999999997,-116.94286,"SAN DIEGO","EL CAJON",-116.94448831,32.802964350000003
6718631,2017,2018-02-20,3701,2017-12-18,1854,CB5363,,1,5,5,3701,0,0,0,,0,006,"PASEO DEL NORTE","PALOMAR AIRPORT RD",862.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN DIEGO",CARLSBAD,-117.31909097,33.119604809999998
6854289,2014,2015-04-23,9650,2014-08-02,1540,18321,,6,2,6,3706,0,1,1,,2,023,"RT 15","RT 78",62.00,N,N,B,C,Y,SD,11,15,-,R,31.470,H,-,S,Y,1,1,4,2,A,-,03,22350,,N,A,C,A,B,H,-,A,D,1,,,,,Y,,D,22,0,0,4,0,0,0,0,0,0,"- ","- ",33.127360000000003,-117.10495,"SAN DIEGO",ESCONDIDO,-117.10488839999999,33.126872540000001
6856753,2015,2016-10-11,9680,2015-03-14,0652,18152,,6,1,5,3708,0,1,1,,2,081,"RT 8","SPRING ST",102.00,W,N,A,-,Y,SD,11,8,-,-,10.940,H,-,E,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",32.770820000000001,-117.02417,"SAN DIEGO","LA MESA",-117.02417147,32.770935450000003
6938545,2015,2016-11-17,9645,2015-05-12,1345,19054,,2,1,7,3711,0,1,1,,2,021,"RT 5","NATIONAL AV",165.00,S,N,A,-,Y,SD,11,15,-,R,0.289,R,2,S,Y,2,0,2,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,1,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,FR,"- ",32.695239999999998,-117.12093,"SAN DIEGO","SAN DIEGO",-117.12100676999999,32.696814869999997
92326840,2023,2024-02-29,9645,2023-07-23,"659 ",015270,,7,1,7,3711,0,1,1,,2,017,"INTERSTATE 15 SOUTHBOUND","STATE ROUTE-52 FREEWAY",1795.00,N,N,B,-,Y,SD,,15," ",R,10.948,H,,L,Y,1,1,0,1,A,-,08,22107,,N,E,8,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",32.846530914306641,-117.11789703369141,"SAN DIEGO","SAN DIEGO",-117.11811828613281,32.846637725830078
94658009,2025,2025-04-22,9650,2025-04-10,1050,022588,,4,1,6,3710,0,3,5,,2,006,"DE LUZ RD","HARRIS TRAIL",1500.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,06,21750,A,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",33.407951354980469,-117.26966094970703,"SAN DIEGO",OCEANSIDE,-117.26962280273438,33.407691955566406
91685934,2022,2022-01-26,9650,2022-01-20,1840,020673,,4,2,9,3700,0,1,3,,1,028,SR-76,"RINCON RANCH RD.",1980.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",33.173931121826172,-116.56479644775391,"SAN DIEGO",UNINCORPORATED,-116.94149780273438,33.294044494628906
91807155,2022,2022-08-16,9645,2022-06-28,0800,016766,,2,1,7,3711,0,1,1,,2,027,"I-15 N/B","BALBOA AVE",1320.00,S,N,A,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",32.810920715332031,-117.13925170898438,"SAN DIEGO","SAN DIEGO",-117.11557769775391,32.819461822509766
