CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6505324,1,1,Y,F,24,A,-,S,L,G,Y,-,3,-,,25,22350,,A,F,0,1,N,2001,FORD,A,01,,W,-,-,-,2014
6505324,2,1,N,M,25,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,B,2013,VOLKSWAGEN,A,01,,W,,-,-,2014
6718631,1,2,Y,F,68,G,G,E,-,-,O,-,-,-,-,"- ",,,N,-,1,0,L,,-,N,60,,A,,-,-,2017
6718631,2,1,N,M,52,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,MERCEDES-BENZ,A,01,,W,,-,-,2017
6854289,1,1,Y,M,46,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2004,CHEVROLET,D,22,,H,,-,-,2014
6854289,2,1,N,M,52,A,-,S,L,G,N,-,3,-,-,"- ",,,N,-,1,3,B,2005,TOYOTA,A,01,,W,,-,-,2014
94658009,1,1,Y,M,70,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,I,2022,HD,C,02,,W,,-,-,2025
91685934,1,1,Y,F,72,A,-,W,L,H,Y,-,4,-,-,"- ",,,N,-,0,1,M,2005,TOYT,D,22,,W,,-,-,2022
91807155,1,1,Y,M,36,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,S,2000,KAWK,C,02,,B,,-,-,2022
91807155,2,1,N,M,61,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2016,TOYT,A,08,,A,,-,-,2022
91920703,1,1,Y,F,64,A,-,S,L,G,Y,-,4,-,-,"- ",,,N,-,0,1,R,2012,FORD,A,01,,A,,-,-,2022
91920703,2,3,N,-,998,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,O,2020,DODG,J,48,,,,-,-,2022
91965818,1,1,Y,M,33,G,G,N,L,G,N,-,4,-,-,"- ",,,N,-,0,1,R,2007,FORD,A,01,,H,,-,-,2022
91965818,2,1,N,M,76,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2010,LEXS,A,01,,W,,-,-,2022
92307119,1,4,N,F,33,A,-,W,-,P,O,-,3,-,-,"- ",,,M,-,0,1,B,,CANNONDALE,L,04,,A,,-,-,2023
91376354,1,1,Y,F,62,A,-,W,L,G,Y,-,3,-,-,"- ",,,H,-,1,0,B,2007,TOYT,A,01,,B,,-,-,2020
91376354,2,1,N,M,30,A,-,W,L,G,Y,-,3,-,-,"- ",,,H,-,0,1,A,2020,HOND,A,01,,H,,-,-,2020
91376354,3,1,N,M,39,A,-,W,M,G,Y,-,3,-,-,"- ",,,H,-,0,0,H,2014,MAZD,A,01,,W,,-,-,2020
91474731,1,1,Y,M,32,B,-,N,L,G,N,-,3,-,,31,22107,,A,-,0,2,R,2008,HOND,A,01,,W,,-,-,2021
91525687,1,1,Y,M,29,A,-,W,L,H,N,-,3,-,-,"- ",,,N,-,0,1,R,2015,HOND,A,01,,H,,-,-,2021
91617726,1,1,Y,M,34,B,-,E,M,G,N,-,3,-,,25,22350,,A,-,0,0,B,2019,KIA,A,01,,H,,-,-,2021
91617726,2,1,N,M,81,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2017,NISS,A,01,,O,,-,-,2021
91682809,1,1,Y,M,48,A,-,N,M,G,N,-,3,-,-,"- ",,,F,-,0,3,B,2004,MERZ,A,01,,H,K,-,-,2021
90793923,1,1,Y,F,44,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,NISS,A,07,,B,,-,-,2018
