CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9505941,2022,2022-11-10,3801,2022-10-09,1721,1544,CENTR,7,5,7,3801,0,0,0,,0,3A14D,FRANCISCO,"LARKIN ST",0.00,,Y,-,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,A,N,H,J,A,A,H,-,A,D,0,,,Y,,Y,,C,03,1,0,0,0,0,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42164611816406,37.803520202636719
9506574,2022,2022-10-10,3801,2022-08-19,2025,1817,TENDE,5,5,7,3801,0,0,0,,0,COJ,"ELLIS ST","JONES ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,04,21703,,F,-,G,A,-,H,-,C,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41278076171875,37.784896850585938
9603692,2023,2023-09-06,3801,2023-07-13,1700,2400,BAYVI,4,5,7,3801,0,0,0,,0,3CAR,"INGALLS ST","PALOU AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21752,D,N,D,-,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.38343811035156,37.729747772216797
9610670,2023,2023-09-22,3801,2023-08-01,1417,877,CENTR,2,5,7,3801,0,0,0,,0,3A44C,"MARKET ST","1ST ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,08,22101,D,N,D,B,-,A,H,-,A,A,0,Y,,Y,,Y,,C,02,1,0,1,0,1,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.39913940429688,37.791053771972656
9640282,2024,2024-07-23,3801,2024-01-31,"518 ",262,TRAFF,3,5,7,3801,0,0,0,,0,4B1E,"FULTON ST","ARGUELLO BL",13.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,C,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,08,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45839691162109,37.774284362792969
9668454,2024,2024-05-01,3801,2024-02-08,1829,1620,RICHM,4,5,7,3801,0,0,0,,0,,"FULTON ST","7TH AV",112.00,W,N,A,-,N,,,,,,,,,,,2,0,1,1,D,-,00,,,N,H,A,A,A,H,-,C,D,0,,,Y,,Y,Y,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.46521759033203,37.773448944091797
6573168,2014,2014-08-09,3801,2014-04-09,1631,000395,,3,5,7,3801,0,0,0,,0,3160,"TURK ST","WEBSTER ST",8.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,I,11,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.43051737,37.780686660000001
7006175,2015,2015-09-24,3801,2015-08-31,0723,120,"BAY V",1,5,7,3801,0,0,0,,0,4B6C,"GAVEN ST","SAN BRUNO AV",121.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,F,G,B,E,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40692933,37.733929510000003
8360082,2017,2017-05-11,3801,2017-03-30,2058,481,NORTH,4,5,7,3801,0,0,0,,0,3E12D,"GOUGH ST","GROVE ST",0.00,,Y,A,-,N,,,,,,,,,,,2,0,1,2,A,-,10,21950,A,N,B,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42316,37.777809920000003
8382204,2017,2017-06-15,3801,2017-05-27,0309,2481,C0F,6,5,7,3801,0,0,0,,0,003,"STANYAN ST","TURK ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,B,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45522986,37.777589910000003
