CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6573168,1,1,Y,M,70,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2013,FORD,I,11,,W,,-,-,2014
6573168,2,2,N,F,77,D,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2014
7006175,1,1,Y,F,998,G,G,E,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,1992,ACURA,A,01,,B,,-,-,2015
7006175,2,2,N,M,64,G,G,E,-,-,O,-,-,-,-,"- ",,,N,-,1,0,O,,-,N,60,,A,,-,-,2015
8360082,1,1,Y,M,54,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2010,HYUNDAI,A,01,,A,,-,-,2017
8360082,2,2,N,M,64,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2017
90362057,1,1,Y,M,18,A,-,N,M,G,Y,-,3,-,-,"- ",,,J,-,0,0,J,2016,MAZD,A,07,,A,,-,-,2017
90362057,2,1,N,M,41,A,-,N,-,Y,Y,-,3,-,-,"- ",,,N,-,0,1,B,2000,HD,C,02,,W,,-,-,2017
90749311,1,2,Y,M,44,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2018
90749311,2,1,N,-,998,G,G,S,B,B,N,-,-,E,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2018
91163071,1,1,Y,M,33,A,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,J,2016,TRIU,C,02,,A,,-,-,2020
91163071,2,1,N,M,33,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,INTL,F,26,,H,,-,-,2020
91163071,3,1,N,-,998,G,G,W,B,B,N,-,-,E,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2020
91936270,1,1,Y,M,26,B,-,S,L,G,Y,-,3,-,,25,22350,,A,-,0,1,B,2019,CHEV,A,01,,H,,-,-,2022
91936270,2,1,N,M,36,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,A,2013,HOND,A,07,,B,,-,-,2022
91936270,3,1,N,F,69,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2007,TOYT,A,01,,W,,-,-,2022
91936270,4,1,N,M,58,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2014,JEEP,A,07,,B,,-,-,2022
9610670,1,1,Y,M,33,A,-,S,P,A,N,-,3,-,-,"- ",,,N,-,0,1,E,2018,-,C,02,,H,,-,-,2023
9610670,2,2,N,M,61,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2023
9640282,1,2,N,M,63,G,G,N,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,B,,-,-,2024
9640282,2,1,Y,M,61,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,-,A,08,,A,,-,-,2024
9729039,1,5,Y,-,998,G,G,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,M,94,,,,-,-,2024
9729039,2,1,N,M,30,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2018,-,A,01,,H,,-,-,2024
