CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6854391,2014,2015-04-28,9265,2014-11-27,0136,19657,,4,3,9,3900,0,1,3,,1,061,"RT 26","THOMPSON RD",346.00,W,N,A,-,Y,SJ,10,26,-,-,5.970,H,-,E,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",37.99579,-121.16461,"SAN JOAQUIN",UNINCORPORATED,-121.16439594000001,37.995765310000003
6989589,2015,2015-07-17,3906,2015-06-30,2019,1376,30,2,5,5,3906,0,0,0,,0,002,"SYCAMORE PKWY","DOVE DR",363.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,B,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,"SAN JOAQUIN",TRACY,-121.43947804,37.716193050000001
9727891,2024,2024-08-23,3903,2024-06-06,1657,3929,,4,5,4,3903,0,0,0,,0,,"MAIN ST","LATHROP RD",450.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,1,0,0,0,0,0,0,2,"- ","- ",37.826419830322266,-121.21877288818359,"SAN JOAQUIN",MANTECA,-121.21851348876953,37.825477600097656
84726153,2025,2025-06-16,3905,2025-05-08,1446,3115,,4,5,6,3905,0,0,0,,0,,"WAKEMAN DR","HOLMAN RD",307.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,H,A,A,A,G,-,A,D,0,,Y,,,Y,,M,91,1,0,0,0,0,0,1,0,0,"- ","- ",38.023941040039062,-121.27150726318359,"SAN JOAQUIN",STOCKTON,-121.27034759521484,38.023796081542969
90937926,2019,2019-03-01,9265,2019-02-27,0300,020651,,3,3,9,3900,0,3,5,,2,010,"HENRY RD","SANTA FE RD",0.00,,Y,C,-,N,,,,,,,,,,Y,2,0,3,2,A,-,01,23152,A,N,D,C,A,B,H,-,D,A,0,,,,Y,Y,Y,A,01,1,0,2,0,0,0,0,0,0,"- ","- ",37.7470703125,-120.94097137451172,"SAN JOAQUIN",UNINCORPORATED,-120.94097137451172,37.747020721435547
90953428,2019,2019-04-11,9265,2019-02-06,0533,020513,,3,3,6,3905,0,1,1,,2,503,"I-5 N/B","8TH ST",1310.00,N,N,A,-,Y,,,5,,,,,,N,Y,1,2,0,1,A,-,01,23152,G,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.930438995361328,-121.29551696777344,"SAN JOAQUIN",STOCKTON,-121.29564666748047,37.930393218994141
91322162,2020,2020-10-12,9265,2020-09-27,0845,015756,,7,1,9,3900,0,3,5,,2,010,"LONE TREE RD","SEXTON RD",3907.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,D,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.5277099609375,-121.02192687988281,"SAN JOAQUIN",UNINCORPORATED,-121.02120971679688,37.827659606933594
91358297,2020,2020-12-03,9265,2020-09-18,2144,019413,,5,2,2,3920,0,1,3,,2,025,"SR-120 E/B","YOSEMITE AVE",1003.00,W,N,A,-,Y,,,120,,,,,,E,N,1,1,0,3,A,-,11,21954,A,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.789859771728516,-121.29055023193359,"SAN JOAQUIN",LATHROP,-121.29055023193359,37.789894104003906
91663383,2021,2021-12-28,9265,2021-11-06,2215,021661,,6,3,9,3900,0,2,4,,1,053,"WILSON WAY","VAIL AVE",207.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,03,22350,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,A,08,0,0,0,1,0,0,0,0,0,"- ","- ",37.984649658203125,-121.27063751220703,"SAN JOAQUIN",UNINCORPORATED,-121.27057647705078,37.984619140625
92243142,2023,2023-11-22,9265,2023-10-20,"557 ",015629,,5,3,9,3900,0,1,3,,1,067,"STATE ROUTE 88","STATE ROUTE 12",0.00,,Y,A,-,Y,SJ,,88," "," ",19.176,H,,R,Y,1,1,2,2,A,-,09,21453,C,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",38.197868347167969,-121.06816864013672,"SAN JOAQUIN",UNINCORPORATED,-121.06816101074219,38.197868347167969
