CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6621502,2014,2016-05-04,9745,2014-09-02,1235,017968,,2,1,9,4000,0,1,2,,1,101,"RT 101","OLD STAGECOACH RD",2112.00,N,N,A,-,Y,SLO,5,101,-,-,33.160,H,-,N,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,5,,,,Y,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",35.323549999999997,-120.62085,"SAN LUIS OBISPO",UNINCORPORATED,-120.62125967999999,35.32298385
82157958,2023,2023-08-30,4004,2023-07-01,1706,1381,,6,5,3,4004,0,0,0,,0,,"RT 46E","GOLDEN HILL RD",872.00,E,N,A,-,Y,SLO,,46," "," ",31.316,H,,R,Y,1,1,0,2,A,-,01,23152,B,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",35.644428253173828,-120.657958984375,"SAN LUIS OBISPO","PASO ROBLES",-120.657958984375,35.64447021484375
90211318,2016,2016-06-28,9740,2016-06-18,1349,015167,,6,1,9,4000,0,1,3,,1,015,"STATE ROUTE 1","MONTEREY COUNTY LINE",168.00,S,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN LUIS OBISPO",UNINCORPORATED,,
90589565,2017,2017-11-07,9740,2017-11-04,1235,013984,,6,1,9,4000,0,3,5,,2,016,"PANORAMA ROAD","ELKHRON RD",1056.00,N,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,C,C,A,A,B,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",35.146740000000001,-119.66473000000001,"SAN LUIS OBISPO",UNINCORPORATED,-119.6648562,35.14667575
90047051,2015,2015-11-09,9745,2015-11-07,2008,020144,,6,2,9,4000,0,2,4,,1,051,"LOS BERROS RD","PHELAN RANCH WAY",528.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,D,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",35.084400000000002,-120.55476,"SAN LUIS OBISPO",UNINCORPORATED,-120.55561064,35.08528476
90767863,2018,2018-07-12,9745,2018-06-29,1825,020689,,5,2,9,4000,0,1,3,,1,032,SR-227,"CRESTMONT DR",443.00,S,N,A,-,Y,,,227,,,,,,,Y,2,0,1,2,A,-,08,22107,,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",35.22650146484375,-120.62712860107422,"SAN LUIS OBISPO",UNINCORPORATED,-120.62718200683594,35.226463317871094
90877306,2018,2018-12-06,9745,2018-10-07,1646,019809,,7,2,9,4000,0,1,2,,2,505,"US 101 SOUTHBOUND","EL CAMPO ROAD",0.00,,Y,A,-,Y,,,,,,,,,,Y,1,1,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,0,0,2,0,0,0,0,1,0,"- ","- ",35.111141204833984,-120.56365966796875,"SAN LUIS OBISPO",UNINCORPORATED,,
92374970,2024,2024-04-25,9740,2024-04-18,"950 ",020057,,4,1,9,4000,0,3,5,,2,022,"VINEYARD DR.","ADELAIDA RD.",3696.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",35.630329132080078,-120.85207366943359,"SAN LUIS OBISPO",UNINCORPORATED,-120.85272216796875,35.630531311035156
9602937,2023,2023-08-07,4005,2023-07-02,1506,2626,PB5D,7,5,2,4005,0,0,0,,0,,"DOLLIVER ST","BAY ST",0.00,,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,D,72,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN LUIS OBISPO","PISMO BEACH",,
90062591,2015,2015-12-01,9740,2015-11-12,1910,013133,,4,2,9,4000,0,1,3,,2,008,SR-46,"CHOLAME CREEK",84.00,W,N,A,-,Y,,,46,,,,,,,Y,1,1,2,2,A,-,06,21751,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",35.732799999999997,-120.2906,"SAN LUIS OBISPO",UNINCORPORATED,-120.29064802000001,35.732886950000001
