CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8681235,2018,2018-10-03,4100,2018-08-02,1716,18230,MLB,4,5,3,4110,0,0,0,,0,062,"RICHMOND DR","GERALDINE DR",8.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN MATEO",MILLBRAE,-122.40431976318359,37.599613189697266
8703277,2018,2018-10-12,4106,2018-09-07,1542,2152,,5,5,6,4106,0,0,0,,0,006,"GELLERT BL","GELLERT BL 341",9.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN MATEO","DALY CITY",-122.46862030029297,37.666820526123047
9044670,2019,2020-07-13,4117,2019-12-07,0003,18SP08,17AX,6,5,5,4117,0,0,0,,0,003,"WESTBOROUGH BL","WEST ORANGE AV",160.00,E,N,C,G,Y,SM,4,82,-,-,20.650,I,6,S,Y,2,0,1,2,A,-,00,21621,B,N,A,C,A,B,H,-,C,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.653350830078125,-122.43305206298828,"SAN MATEO","SOUTH SAN FRANCISCO",-122.43437194824219,37.655143737792969
9428411,2022,2022-05-13,4102,2022-04-21,1308,25,2DG,4,5,4,4102,0,0,0,,0,002,"EL CAMINO REAL","DAVEY GLEN RD",643.00,S,N,B,-,Y,SM,4,82,-,-,8.190,H,-,S,Y,2,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,D,22,1,0,0,0,0,0,0,0,1,"- ","- ",37.525981903076172,-122.28269958496094,"SAN MATEO",BELMONT,-122.28227996826172,37.525646209716797
9454671,2022,2022-07-13,4111,2022-05-28,1202,P5164,P07,6,5,4,4111,0,0,0,,0,0P2,"PALMETTO AV","RT 1",0.00,,Y,A,-,Y,SM,4,101,-,R,44.801,R,4,S,Y,2,0,3,2,A,-,12,22450,A,N,A,C,A,B,H,-,A,A,0,,,,,Y,,D,22,2,1,0,0,0,0,0,0,0,"- ",SO,,,"SAN MATEO",PACIFICA,-122.490966796875,37.649734497070312
9738626,2024,2024-09-30,4102,2024-09-19,"730 ",26,5BR,4,5,4,4102,0,0,0,,0,002,"AVON ST","RALSTON AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",37.513309478759766,-122.29023742675781,"SAN MATEO",BELMONT,-122.29025268554688,37.513324737548828
84731811,2025,2025-06-19,4116,2025-06-08,1312,28071,,7,5,5,4116,0,0,0,,0,0DT,"SOUTH DELAWARE STREET","EAST 4TH AVENUE",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,3,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,2,0,0,0,0,0,0,"- ","- ",37.566368103027344,-122.31919860839844,"SAN MATEO","SAN MATEO",-122.31922912597656,37.566379547119141
84732257,2025,2025-06-19,4116,2025-06-05,1507,25586,,4,5,5,4116,0,0,0,,0,00A,"N HUMBOLDT ST","E SANTA INEZ",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",37.576190948486328,-122.32346343994141,"SAN MATEO","SAN MATEO",-122.32344818115234,37.576187133789062
90539525,2017,2017-09-04,9330,2017-08-26,2205,021204,,6,3,9,4100,0,1,3,,1,011,"SR-92 E/B","LOWER SR-35",3168.00,W,N,A,-,Y,,,92,,,,,,E,Y,2,0,4,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,2,0,2,0,0,0,0,0,0,"- ","- ",37.507899999999999,-122.3549,"SAN MATEO",UNINCORPORATED,-122.35489142,37.507955539999998
90865750,2018,2018-11-23,9335,2018-11-11,1250,022096,,7,1,5,4117,0,1,2,,2,012,"US-101 S/B","MITCHELL AVE U/C",2100.00,S,N,A,-,Y,,,101,,,,,,S,Y,2,0,2,1,C,-,18,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",2,0,0,0,0,0,0,0,2,"- ","- ",37.644168853759766,-122.40641021728516,"SAN MATEO","SOUTH SAN FRANCISCO",-122.40634918212891,37.644176483154297
