CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8681235,1,4,Y,M,998,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,L,04,,W,,-,-,2018
8681235,2,1,N,F,87,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,VOLVO,A,01,,W,,-,-,2018
8703277,1,1,Y,F,19,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2014,FORD,A,01,,H,,-,-,2018
8703277,2,2,N,F,24,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,,,-,-,2018
9044670,1,1,Y,F,36,A,-,W,M,G,Y,-,3,-,-,"- ",,,J,-,0,0,Q,2019,GMC,A,07,,H,,-,-,2019
9044670,2,1,N,F,47,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2019,TOYOTA,A,01,,H,,-,-,2019
9428411,1,1,Y,M,76,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2000,-,D,22,,,,-,-,2022
9428411,2,1,N,M,28,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2020,-,C,02,,,,-,-,2022
9454671,1,1,Y,M,40,A,-,N,L,G,Y,-,3,-,-,"- ",,,J,-,0,1,B,2021,-,D,22,,W,,-,-,2022
9454671,2,1,N,M,53,A,-,S,L,G,Y,-,3,-,-,"- ",,,H,-,0,2,P,2011,FORD,D,22,,W,,-,-,2022
