CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6824871,2015,2015-03-03,9755,2015-01-06,2000,18264,,2,2,9,4200,0,3,5,,2,050,"SAN MIGUELITO RD","WILLOW ST",22704.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,F,-,A,A,H,-,D,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",34.588880000000003,-120.4919,"SANTA BARBARA",UNINCORPORATED,-120.49097630999999,34.588472920000001
8151463,2016,2016-10-26,4200,2016-08-30,1811,4951,14,2,5,3,4205,0,0,0,,0,040,"LIMU DR","MALIBU DR",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SANTA BARBARA",CARPINTERIA,-119.51760994,34.404620029999997
8688125,2018,2018-09-11,4202,2018-07-11,0844,239,LOMPO,3,5,4,4202,0,0,0,,0,,"GEORGE MILLER DR","RT 1",2132.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,C,-,18,,,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",,,"SANTA BARBARA",LOMPOC,,
9268467,2021,2021-07-13,4203,2021-06-01,1955,24321,22,2,5,5,4203,0,0,0,,0,006,"CHINO ST","W SOLA ST",28.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,3,D,-,00,,,F,B,E,A,A,H,-,B,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",34.416900634765625,-119.71607971191406,"SANTA BARBARA","SANTA BARBARA",-119.71604156494141,34.416893005371094
90046858,2015,2015-11-09,9755,2015-10-29,2040,020202,,4,2,9,4200,0,3,5,,2,040,"FOXEN CANYON RD",SR-154,7920.00,N,N,A,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",34.68976,-120.12899,"SANTA BARBARA",UNINCORPORATED,-120.12952856,34.688353800000002
6589802,2014,2016-05-07,9750,2014-08-05,1514,014358,,2,2,9,4200,0,1,3,,1,021,"RT 135","RICE RANCH RD",92.00,S,N,A,-,Y,SB,5,135,-,R,9.980,H,-,S,Y,2,0,1,1,A,-,03,22350,,N,E,J,A,A,H,-,A,D,5,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",34.859119999999997,-120.43929,"SANTA BARBARA",UNINCORPORATED,-120.43917620000001,34.859217229999999
90869122,2018,2018-11-28,9755,2018-11-17,0902,018514,,6,1,9,4200,0,1,2,,2,004,SR-1,"CONSTELLATION RD",3696.00,S,N,A,-,Y,,,1,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",34.692779541015625,-120.45841217041016,"SANTA BARBARA",UNINCORPORATED,-120.45848846435547,34.692756652832031
91674430,2022,2022-01-10,9760,2022-01-04,2320,021531,,2,3,9,4200,0,3,5,,2,005,"DEL PLAYA DRIVE","EL EMBARCADERO RD",301.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,00,21221,,N,B,E,A,A,H,-,C,D,0,,,,,Y,Y,M,94,1,0,0,0,0,0,0,0,0,"- ","- ",34.409591674804688,-119.85729217529297,"SANTA BARBARA",UNINCORPORATED,-119.85722351074219,34.4095458984375
94675098,2025,2025-05-05,9760,2025-04-14,2130,022912,,1,2,9,4200,0,1,3,,1,014,SR-192,"PARK LN",540.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",34.439521789550781,-119.62033081054688,"SANTA BARBARA",UNINCORPORATED,-119.62033843994141,34.439311981201172
7032519,2015,2015-08-21,4200,2015-06-30,1529,3683,14,2,5,4,4214,0,0,0,,0,060,"PATTERSON AV","OVERPASS RD",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA",GOLETA,-119.80864993,34.439080019999999
