CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6824871,1,1,Y,M,20,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2001,MITSUBISHI,A,01,,H,,-,-,2015
8688125,1,2,N,M,39,A,-,-,-,-,O,-,-,-,-,"- ",,,M,-,0,1,A,,-,N,60,,W,,-,-,2018
8688125,2,5,N,-,998,H,H,S,-,-,O,-,-,-,-,"- ",,,O,-,0,0,B,,-,M,46,,,,-,-,2018
9268467,1,1,N,F,17,G,G,N,M,B,,-,-,-,-,"- ",,,N,-,0,1,B,2009,-,A,01,,H,,-,-,2021
9268467,2,3,N,-,998,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2019,FORD,D,22,,,,-,-,2021
9268467,3,3,N,-,998,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2002,-,A,01,,,,-,-,2021
90046858,1,1,Y,M,20,B,-,N,M,G,Y,-,3,-,,25,22350,,A,-,0,1,B,1999,DODG,D,22,,H,,-,-,2015
6589802,1,1,Y,F,45,G,G,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
90869122,1,1,Y,M,22,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2004,HOND,A,01,,H,,-,-,2018
91674430,1,1,Y,M,19,B,-,W,-,P,N,-,3,-,,31,22107,,A,-,0,1,M,,BIRD,M,94,,W,,-,-,2022
91674430,2,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2004,HOND,A,01,,,,-,-,2022
94675098,1,1,Y,M,58,A,-,W,P,W,Y,-,4,-,-,"- ",,,N,-,0,1,B,2013,TRIU,C,02,,W,,-,-,2025
7032519,1,1,Y,F,56,A,-,S,L,G,Y,-,2,-,-,"- ",,,N,-,0,1,B,2009,VOLVO,A,07,,W,,-,-,2015
7032519,2,1,N,F,53,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2000,MERCEDES-BENZ,A,01,,W,,-,-,2015
8527092,1,4,Y,F,49,A,-,S,-,-,O,-,3,-,,33,21803,A,A,-,0,1,B,,-,L,04,,W,,-,-,2017
9211695,1,1,Y,M,39,B,-,W,M,G,Y,-,3,-,,31,22107,,A,-,0,0,M,2004,-,A,01,,H,,-,-,2020
9211695,2,2,N,F,44,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2020
9211695,3,2,N,M,44,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2020
90605790,1,1,Y,M,33,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2012,CHEV,D,22,,W,,-,-,2017
90746426,1,1,Y,M,28,-,E,E,L,B,Y,-,3,-,,25,22350,,A,-,0,1,C,2012,TOYO,D,22,,W,,-,-,2018
90836910,1,1,Y,F,72,G,G,N,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,N,2014,HONDA,A,01,,W,,-,-,2018
90836910,2,1,N,M,46,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2006,CHEV,D,22,,H,,-,-,2018
90964660,1,4,N,M,54,A,-,W,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,2019,TREK,L,04,,W,,-,-,2019
90964660,2,4,N,M,25,A,-,W,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,2019,GIANT,L,04,,W,,-,-,2019
90964660,3,4,N,M,20,A,-,W,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,2019,TREK,L,04,,H,,-,-,2019
