CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291715,2014,2014-12-16,9330,2014-10-09,1115,20337,,4,1,5,4311,0,1,3,,2,076,"RT 85","STEVENS CREEK TRL",805.00,N,N,A,-,Y,SCL,4,85,-,R,21.290,H,-,N,Y,1,1,0,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.378,-122.06699999999999,"SANTA CLARA","MOUNTAIN VIEW",-122.06666715999999,37.371768410000001
6663716,2014,2014-10-20,4308,2014-09-22,0627,219,,1,5,5,4308,0,0,0,,0,004,CALAVERAS,"E CALAVERAS BL",2.00,E,N,B,-,N,,,,,,,,,,Y,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",37.436169999999997,-121.88206,"SANTA CLARA",MILPITAS,-121.88266815999999,37.435934699999997
7020384,2015,2015-09-19,4313,2015-07-15,2343,3327,SOUTH,3,5,7,4313,0,0,0,,0,0T4,"CAMDEN AV","NELSON WY",36.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,-,,1,0,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.91668819,37.258107279999997
7171620,2016,2016-02-04,4313,2016-01-22,2135,2966,WESTE,5,5,7,4313,0,0,0,,0,0F3,"FOREST AV","CIRO AV",0.00,W,N,B,C,N,,,,,,,,,,N,2,0,1,2,A,-,11,21955,,N,G,B,D,B,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.93823992,37.327050110000002
7198496,2016,2016-03-15,4313,2016-02-09,1937,4425,WESTE,2,5,7,4313,0,0,0,,0,0L4,"CANOAS GARDEN AV","MILL POND DR",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,2,3,A,-,10,21950,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,-,,1,1,0,0,2,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.87262997000001,37.291010110000002
8001963,2015,2016-03-24,4316,2015-10-02,1618,15839,61,5,5,6,4316,0,0,0,,0,61C1,"FREMONT AV","BOBWHITE AV",300.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,07,21658,A,N,B,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA",SUNNYVALE,-122.02863219,37.352064239999997
90693029,2018,2018-03-29,9330,2018-01-08,1150,015709,,1,1,9,4300,0,3,5,,2,007,"PAGE MILL ROAD EASTBOUND","COYOTE HILL ROAD",134.00,W,N,B,C,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.402400970458984,-122.15699768066406,"SANTA CLARA",UNINCORPORATED,-122.15721893310547,37.402908325195312
90848346,2018,2018-10-30,9725,2018-10-22,1445,021837,,1,2,4,4304,0,1,2,,1,010,"US-101 S/B","MONTEREY ST",50.00,S,N,A,-,Y,,,101,,,,,,S,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",36.986911773681641,-121.55857086181641,"SANTA CLARA",GILROY,-121.55860900878906,36.986915588378906
90946007,2019,2019-03-14,9340,2019-03-04,0630,021948,,1,1,7,4313,0,1,1,,2,281,"I-280 N/B","LELAND AVE",475.00,S,N,A,-,Y,,,,,,,,,,Y,2,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,B,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",37.190750122070312,-121.55300140380859,"SANTA CLARA","SAN JOSE",-121.92677307128906,37.316921234130859
91379132,2020,2021-01-01,9725,2020-12-26,2338,022111,,6,3,9,4300,0,1,2,,1,010,"US-101 NB",SR-25,3900.00,N,N,A,-,Y,,,101,,,,,,N,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.971809387207031,-121.55400085449219,"SANTA CLARA",UNINCORPORATED,-121.55392456054688,36.971832275390625
