CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6291715,1,1,Y,M,62,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,H,2012,HONDA,C,02,,W,,-,-,2014
6291715,2,1,N,M,65,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2005,TOYOTA,A,08,,W,,-,-,2014
6663716,1,1,Y,M,32,A,-,W,M,G,Y,-,-,-,-,"- ",,,E,-,0,0,B,1995,HONDA,A,01,,H,,-,-,2014
6663716,2,2,N,M,74,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,,,-,-,2014
7020384,1,1,Y,M,20,A,-,N,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2004,DODGE,-,,,,,-,-,2015
7171620,1,2,Y,M,57,A,-,N,-,-,O,-,-,-,-,"- ",,,F,-,0,1,B,,-,N,60,,,-,-,-,2016
7171620,2,1,N,M,71,A,-,E,-,-,Y,-,-,-,-,"- ",,,-,-,0,0,B,2013,NISSAN,-,,,W,,-,-,2016
7198496,1,1,Y,-,998,G,G,-,-,-,,-,3,-,,19,20001,,A,-,0,0,E,,-,-,,,,,-,-,2016
7198496,2,2,N,F,54,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2016
7198496,3,2,N,F,21,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2016
8001963,1,4,Y,M,84,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,J,,-,L,04,,W,,-,-,2015
8001963,2,1,N,M,18,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,HONDA,A,01,,O,,-,-,2015
90693029,1,1,Y,M,45,G,G,E,L,H,Y,-,3,-,-,"- ",,,N,-,1,0,C,2015,FIAT,A,01,,W,,-,-,2018
90946007,1,1,Y,F,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2006,CHRY,A,01,,H,,-,-,2019
90946007,2,1,N,M,24,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2003,YAMA,C,02,,W,,-,-,2019
91379132,1,1,Y,M,52,A,-,N,P,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,2014,ISUZU,D,22,,H,,-,-,2020
91715484,1,1,Y,M,18,A,-,E,L,H,Y,-,3,-,-,"- ",,,N,-,0,2,N,2019,HOND,A,01,,H,,-,-,2022
91715484,2,1,N,M,28,G,G,W,M,G,N,-,4,-,-,"- ",,,N,-,0,1,B,2002,CHEV,A,07,,H,,-,-,2022
94433505,1,2,Y,M,56,-,E,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2024
94433505,2,1,N,M,27,B,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,BMW,A,01,,H,,-,-,2024
9336117,1,1,Y,M,80,H,H,E,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,E,2002,-,-,,,H,,-,-,2021
9336117,2,1,N,M,21,H,H,W,L,B,N,-,-,-,-,"- ",,,N,-,0,1,B,2009,-,-,,,H,,-,-,2021
9355024,1,1,Y,F,25,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2017,-,A,01,,H,,-,-,2021
9355024,2,1,N,F,41,A,-,W,M,-,,-,3,-,-,"- ",,,N,-,0,1,B,2004,-,A,01,,W,,-,-,2021
