CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6869570,2015,2015-04-10,9720,2015-03-04,1415,015699,,3,2,9,4400,0,2,4,,1,022,"SOQUEL SAN JOSE RD","LAUREL GLEN RD",528.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,05,21460,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.015000000000001,-121.56529999999999,"SANTA CRUZ",UNINCORPORATED,-121.94786662,37.031160810000003
6981299,2015,2015-07-14,9720,2015-06-13,0330,020807,,6,3,9,4400,0,3,5,,2,200,"TREASURE ISLAND DR","WINFIELD WY",170.00,E,N,B,F,N,,,,,,,,,,N,2,0,1,3,A,-,08,22107,,F,G,B,F,A,H,-,C,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",36.972290000000001,-121.90481,"SANTA CRUZ",UNINCORPORATED,-121.90374,36.971260000000001
8482377,2017,2018-07-13,4403,2017-10-06,2108,281,2-23,5,5,4,4403,0,0,0,,0,002,"MAIN ST","GREEN VALLEY RD",80.00,S,N,A,-,Y,SCR,5,152,-,T,1.180,H,-,E,Y,2,0,1,2,A,-,09,21453,B,N,B,C,A,A,H,-,C,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.78409155,36.918696689999997
91810723,2021,2022-07-05,9720,2021-10-01,1633,021548,,5,2,9,4400,0,1,3,,1,035,SR-129,"OLD CHITTENDEN RD.",282.00,W,N,A,-,Y,,,129,,,,,,,Y,1,1,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,F,26,0,1,1,0,0,0,0,0,0,"- ","- ",36.901248931884766,-121.59883117675781,"SANTA CRUZ",UNINCORPORATED,-121.59889221191406,36.901115417480469
6718099,2014,2016-01-13,9720,2014-12-20,2314,19692,,6,3,9,4400,0,3,5,,2,300,"LAKEVIEW RD","CARLTON RD",1056.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.945010000000003,-121.71897,"SANTA CRUZ",UNINCORPORATED,-121.71984638000001,36.944043409999999
8983274,2019,2020-02-28,4403,2019-11-22,0835,358,110,5,5,4,4403,0,0,0,,0,001,"RIVERSIDE DR","UNION ST",8.00,E,N,A,-,Y,SCR,5,129,-,-,0.070,H,-,E,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.75243377685547,36.907863616943359
9059517,2020,2020-06-17,4402,2020-02-17,1320,124,4402,1,5,5,4402,0,0,0,,0,,"CALIFORNIA ST",LAUREL,0.00,,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.03481292724609,36.968940734863281
9072960,2020,2020-06-24,4403,2020-03-11,2033,281,438,3,5,4,4403,0,0,0,,0,004,"GREEN VALLEY RD","CAREY AV",0.00,,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.77420043945312,36.934200286865234
90281811,2016,2016-10-03,9720,2016-09-11,2204,021230,,7,3,9,4400,0,3,5,,2,300,"CARLTON RD","SR-129 W/B",167.00,W,N,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,01,23153,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,07,3,1,0,0,0,0,0,0,0,"- ","- ",36.924140000000001,-121.6977,"SANTA CRUZ",UNINCORPORATED,-121.69758439,36.924122339999997
90756363,2018,2018-06-26,9720,2018-06-20,1730,018650,,3,2,9,4400,0,3,5,,2,100,"LOMPICO ROAD","LAKE BLVD",1056.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.088798522949219,-122.0531005859375,"SANTA CRUZ",UNINCORPORATED,-122.05342102050781,37.090385437011719
