CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6869570,1,1,Y,F,55,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,N,2003,HARLEY-DAVIDSON,C,02,,W,,-,-,2015
6869570,2,1,N,F,79,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,HONDA,A,01,,W,,-,-,2015
91810723,1,1,Y,M,50,A,-,E,M,H,Y,-,4,-,-,"- ",,,N,-,0,1,B,2021,FRHT,F,26,,H,,-,-,2021
91810723,2,1,N,M,30,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2012,DODG,A,07,,H,,-,-,2021
91810723,3,1,N,M,44,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,1,0,B,2018,MITS,F,26,,H,,-,-,2021
6718099,1,1,Y,M,24,B,-,N,M,G,,-,1,-,,31,22107,,A,-,1,0,C,1999,FORD,D,22,,W,,-,-,2014
6718099,2,3,N,-,998,-,,E,-,-,O,-,-,-,-,"- ",,,-,-,0,0,-,2003,HYUNDAI,A,01,,,,-,-,2014
8983274,1,1,Y,F,24,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2001,DODGE,D,22,,H,,-,-,2019
8983274,2,2,N,F,56,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2019
9059517,1,1,Y,M,16,A,-,W,G,-,Y,-,3,-,-,"- ",,,N,-,0,0,E,2016,SUBARU,A,01,,W,,-,-,2020
9059517,2,1,N,M,53,A,-,S,W,-,,-,3,-,-,"- ",,,N,-,0,1,B,1999,"OTHER - MOTORCYCLE",C,02,,B,,-,-,2020
9072960,1,1,Y,F,42,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2003,-,A,01,,H,,-,-,2020
9072960,2,2,N,M,45,G,G,-,-,-,O,-,3,-,,35,21950,B,A,-,0,1,-,,-,N,60,,H,,-,-,2020
90281811,1,1,Y,M,45,B,-,S,L,G,Y,-,3,-,,27,21460,A,A,-,0,3,B,2003,SATURN,A,07,,W,,-,-,2016
90281811,2,1,N,F,65,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2015,HONDA,A,08,,A,,-,-,2016
90756363,1,1,Y,M,18,A,-,S,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,1989,NISS,A,07,,W,,-,-,2018
91220793,1,2,Y,M,40,G,G,N,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2020
91220793,2,1,N,M,48,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,AUDI,A,01,,W,,-,-,2020
91813992,1,1,Y,M,21,D,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,C,2010,TOYT,A,01,,B,,-,-,2022
92375386,1,1,Y,M,46,B,-,N,L,G,N,-,3,-,,31,22107,,A,-,0,1,B,1999,ACUR,A,01,,H,,-,-,2024
6579629,1,1,Y,M,41,B,-,W,P,G,Y,-,3,-,,31,22107,,A,-,0,2,C,1986,SUZUKI,A,07,,W,,-,-,2014
90283160,1,1,Y,M,38,B,-,S,M,G,Y,-,3,-,,31,22107,,A,-,0,1,C,2000,TOYO,A,07,,W,,-,-,2016
91745175,1,1,Y,M,29,B,-,N,P,W,Y,-,3,-,,25,22350,,A,-,0,1,B,2020,HUSQVARNA,C,02,,W,,-,-,2022
91745175,2,1,N,F,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2016,NISS,A,01,,W,,-,-,2022
92436188,1,1,Y,M,45,B,-,S,P,W,N,-,3,-,,25,22350,,A,-,0,1,B,2008,HD,C,02,,B,,-,-,2024
90014799,1,4,Y,M,63,A,-,S,-,V,O,-,3,-,-,"- ",,,F,-,0,1,B,2010,GIANT,L,04,,W,K,-,-,2015
91048019,1,1,Y,F,65,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2006,FORD,A,01,,W,,-,-,2019
91048019,2,4,N,M,35,A,-,N,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,,BYCLE,L,04,,W,,-,-,2019
91161725,1,1,Y,M,59,A,-,E,L,G,Y,-,-,-,-,"- ",,,F,-,0,2,B,2005,TOYO,A,07,,W,K,-,-,2020
91161725,2,1,N,M,52,A,-,N,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2009,FORD,D,22,,H,,-,-,2020
91293130,1,1,Y,M,24,A,-,S,P,V,N,-,-,-,-,"- ",,,N,-,0,1,C,2003,SUZUKI,C,06,,W,,-,-,2020
91522459,1,1,Y,M,24,A,-,S,L,G,N,-,3,-,-,"- ",,,N,-,0,2,M,2020,TOYT,A,01,,A,,-,-,2021
94646524,1,1,Y,M,74,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,FORD,A,07,,O,,-,-,2025
94646524,2,2,N,F,17,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2025
6467763,1,1,Y,M,998,G,G,W,-,-,,-,3,-,-,"- ",,,N,-,0,0,B,,JEEP,A,07,,H,,-,-,2014
6467763,2,2,N,F,55,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2014
9665854,1,1,Y,M,67,A,-,S,G,M,Y,-,3,-,-,"- ",,,E,N,0,0,E,2011,-,A,01,,W,,-,-,2024
9665854,2,2,N,F,72,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2024
90292558,1,4,Y,F,44,A,-,N,-,W,O,-,3,-,-,"- ",,,N,-,0,1,C,,MASI,L,04,,W,,-,-,2016
92149155,1,1,Y,M,18,A,-,N,N,G,N,-,3,-,-,"- ",,,N,-,0,1,C,1997,ACUR,A,01,,A,,-,-,2023
