CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6984242,2015,2017-01-14,9135,2015-07-06,1240,12864,,1,1,9,4500,0,1,1,,2,056,"RT 5","OBRIEN INLET RD",53.00,N,N,A,-,Y,SHA,2,5,-,R,32.090,H,-,S,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.32245498,40.807880969999999
9232522,2020,2021-03-17,4502,2020-05-07,0849,R526,R02,4,5,5,4502,0,0,0,,0,002,"VICTOR AV","RT 44",0.00,,Y,A,-,Y,SHA,2,44,-,R,1.117,R,4,E,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ",EF,40.578350067138672,-122.33866882324219,SHASTA,REDDING,-122.338684,40.578687000000002
9520341,2022,2023-02-10,4502,2022-07-20,0147,151,,3,5,5,4502,0,0,0,,0,002,"HARTNELL AV","SHOTWICK TRL",21.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,B,N,F,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.36758422851562,40.564449310302734
9786222,2024,2025-05-03,4502,2024-08-27,1554,110,,2,5,5,4502,0,0,0,,0,R02,"CHURN CREEK RD","MARAGLIA ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,1,0,"- ","- ",,,SHASTA,REDDING,-122.35308837890625,40.567428588867188
84790706,2025,2025-08-05,4502,2025-05-03,"345 ",181,,6,5,5,4502,0,0,0,,0,R05,"PINE STREET","SHASTA STREET",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39044189453125,40.586677551269531
90129311,2016,2016-03-04,9135,2016-02-25,1737,016790,,4,2,5,4502,0,3,5,,2,002,"DRY CREEK RD S/B","SAGEBRUSH TRAIL",1305.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.2425119,40.67922883
9082189,2019,2020-04-24,4502,2019-12-19,0848,530,,4,5,5,4502,0,0,0,,0,002,"HARTNELL AV","VICTOR AV",0.00,,Y,B,C,N,,,,,,,,,,Y,2,0,1,2,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",40.563728332519531,-122.3394775390625,SHASTA,REDDING,-122.33950042724609,40.563739776611328
9320600,2021,2023-06-20,4502,2021-06-24,1402,158,R02,4,5,5,4502,0,0,0,,0,002,"EAST CYPRESS AV","BECHELLI LN",201.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,F,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",40.571041107177734,-122.36271667480469,SHASTA,REDDING,-122.36346435546875,40.571048736572266
9368833,2021,2021-12-13,4502,2021-04-28,0557,R0259,R03,3,5,5,4502,0,0,0,,0,R03,"BECHELLI LN","RAFAEL ST",161.00,S,N,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,00,23153,E,N,C,C,A,A,D,-,B,D,0,,,,,Y,,D,22,1,3,0,0,0,0,0,0,0,"- ","- ",40.549411773681641,-122.36251068115234,SHASTA,REDDING,-122.36244201660156,40.547397613525391
9435908,2021,2022-04-26,4502,2021-07-23,0959,172,R05,5,5,5,4502,0,0,0,,0,005,"BUENA VENTURA AV","TETON DR",1056.00,E,N,A,-,N,,,,,,,,,,Y,2,0,3,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,2,1,0,0,0,0,0,0,0,"- ","- ",40.561031341552734,-122.40453338623047,SHASTA,REDDING,-122.40473175048828,40.561305999755859
90516702,2017,2017-08-04,9135,2017-07-29,0025,018520,,6,3,9,4500,0,3,5,,2,003,"PALM AVE","OLIVE ST",45.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.43590897999999,40.445672709999997
90606057,2017,2017-11-30,9135,2017-11-29,0800,16461,,3,1,5,4502,0,3,5,,2,002,"DRY CREEK RD","ELK TRAIL W.",2112.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",40.686489999999999,-122.24621,SHASTA,REDDING,-122.24631712999999,40.686809930000003
91303889,2020,2020-09-14,9135,2020-09-11,1157,016672,,5,1,9,4500,0,1,3,,1,302,"STATE ROUTE 273","EASTSIDE ROAD",0.00,,Y,A,-,Y,,,273,,,,,,,Y,2,0,2,3,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,23,1,1,0,0,0,0,0,0,0,"- ","- ",40.498268127441406,-122.37059783935547,SHASTA,UNINCORPORATED,-122.37079620361328,40.49798583984375
94507009,2024,2024-12-17,9135,2024-11-17,"535 ",020363,,7,3,5,4502,0,1,1,,2,054,"I-5 N/B TO CYPRESS AVE. OFF RAMP","CYPRESS AVE.",636.00,S,N,B,-,Y,SHA,,5," ",R,14.331,H,,R,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",40.569210052490234,-122.35990142822266,SHASTA,REDDING,-122.36024475097656,40.569202423095703
84772339,2024,2025-07-22,4502,2024-11-14,1215,107,,4,5,5,4502,0,0,0,,0,R04,"EAST BONNYVIEW ROAD","SOUTH BONNYVIEW ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,3,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.37425231933594,40.531681060791016
90355165,2016,2016-12-27,9135,2016-12-18,1530,016339,,7,2,9,4500,0,3,5,,2,002,"DRY CREEK RD.",SR-299,5280.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.24036,40.653182100000002
90614975,2017,2017-12-12,9135,2017-12-11,1010,016339,,1,1,5,4502,0,1,3,,2,040,"N/B I-5 TO W/B SR-44","SACRAMENTO RIVER BRIDGE",565.00,E,N,A,-,Y,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.585900000000002,-122.36450000000001,SHASTA,REDDING,,
91003287,2019,2019-06-04,9135,2019-05-23,1020,018021,,4,1,9,4500,0,1,1,,2,053,"I-5 N/B","KNIGHTON RD",5280.00,S,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,3,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",40.492500305175781,-122.32940673828125,SHASTA,UNINCORPORATED,-122.32926177978516,40.492595672607422
91498172,2021,2021-06-16,9135,2021-06-01,0824,018133,,2,1,5,4502,0,1,3,,2,040,"SR-44 E/B","HILLTOP DR",84.00,E,N,A,-,Y,,,44,,,,,,E,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",40.585121154785156,-122.35749816894531,SHASTA,REDDING,-122.35749816894531,40.585105895996094
